codice,aeroporto_partenza,numero_voli,ritardo_minimo,ritardo_massimo,ritardo_medio,tasso_cancellazione,mese
OO,ORD,386,1.0,189.0,8.27,0.26,3
WN,SRQ,27,3.0,33.0,4.3,0.0,12
DL,BUF,20,1.0,210.0,11.5,0.0,10
DL,LGA,219,1.0,234.0,15.8,0.46,12
9E,DTW,126,1.0,181.0,18.67,1.59,1
NK,FLL,202,1.0,281.0,19.87,0.0,12
WN,BNA,463,1.0,154.0,7.63,0.0,4
WN,TPA,217,1.0,270.0,14.55,1.38,4
OO,PIH,10,9.0,17.0,2.6,0.0,12
OO,ASE,63,2.0,102.0,14.41,0.0,8
YX,DCA,189,1.0,187.0,8.11,2.65,6
NK,ORD,70,1.0,256.0,7.84,1.43,9
F9,DEN,135,1.0,256.0,16.51,0.0,1
B6,PBI,77,2.0,532.0,32.43,1.3,2
AA,SDF,20,1.0,210.0,29.8,10.0,8
MQ,ABQ,12,2.0,39.0,5.5,0.0,10
AA,ILM,16,1.0,157.0,31.88,0.0,7
MQ,BNA,38,1.0,107.0,8.03,0.0,3
G4,BIL,1,0.0,-22.0,0.0,0.0,2
DL,DEN,102,1.0,161.0,8.21,0.0,11
B6,LAS,19,6.0,164.0,24.95,5.26,8
B6,DCA,69,3.0,818.0,26.12,1.45,12
HA,SMF,14,5.0,22.0,5.71,0.0,11
OO,MSN,17,5.0,60.0,5.88,5.88,1
DL,DAB,13,3.0,13.0,2.38,0.0,4
B6,PQI,5,41.0,41.0,8.2,0.0,9
DL,SDF,17,9.0,9.0,0.53,0.0,2
AA,MRY,2,58.0,72.0,65.0,0.0,12
DL,JAN,13,5.0,31.0,2.77,0.0,10
DL,CMH,16,3.0,4.0,0.44,0.0,3
YX,MSN,13,5.0,5.0,0.38,0.0,9
MQ,BIL,7,6.0,176.0,48.0,0.0,1
OH,LAN,2,0.0,-15.0,0.0,0.0,9
OO,BTV,11,7.0,7.0,0.64,0.0,10
UA,SEA,92,1.0,351.0,17.97,1.09,8
G4,SNA,9,8.0,19.0,3.0,0.0,8
9E,BWI,7,24.0,24.0,3.43,0.0,4
