codice,aeroporto_partenza,numero_voli,ritardo_minimo,ritardo_massimo,ritardo_medio,tasso_cancellazione,mese
G4,EUG,3,4.0,4.0,1.33,0.0,3
AA,OMA,23,7.0,42.0,3.26,0.0,12
MQ,MCI,21,8.0,160.0,14.1,4.76,5
MQ,BRO,7,3.0,191.0,34.71,0.0,7
AA,DTW,48,1.0,137.0,20.21,0.0,8
B6,BWI,5,40.0,40.0,8.0,0.0,2
F9,PDX,16,15.0,173.0,23.69,6.25,5
DL,EWR,46,2.0,62.0,6.13,0.0,9
AS,SCC,5,0.0,0.0,0.0,0.0,5
AA,JAC,17,1.0,1143.0,79.65,0.0,3
OO,BFF,4,164.0,164.0,41.0,25.0,8
AS,DCA,23,6.0,175.0,14.39,0.0,7
OH,ROA,2,17.0,17.0,8.5,0.0,5
DL,XNA,10,1.0,152.0,15.5,0.0,6
9E,MCI,11,4.0,730.0,86.82,0.0,6
WN,OGG,54,1.0,44.0,2.24,0.0,12
OO,STL,3,15.0,15.0,5.0,0.0,5
G4,GSP,2,0.0,-3.0,0.0,0.0,12
AS,DCA,15,3.0,144.0,20.8,0.0,6
G4,AVL,23,6.0,103.0,10.7,0.0,11
DL,TYS,13,2.0,488.0,94.31,23.08,7
OH,GSO,28,2.0,1026.0,54.82,0.0,8
OH,GRR,7,46.0,46.0,6.57,0.0,2
OH,FAY,6,11.0,215.0,47.83,0.0,8
AS,BNA,9,4.0,9.0,2.22,0.0,3
AS,TPA,9,1.0,9.0,1.11,0.0,11
DL,PSP,7,1.0,28.0,7.71,0.0,2
AA,SDF,18,5.0,299.0,62.5,0.0,7
MQ,GRK,11,2.0,207.0,43.64,0.0,5
G4,SWF,3,9.0,9.0,3.0,0.0,1
DL,ABQ,11,0.0,-5.0,0.0,0.0,6
WN,AMA,11,9.0,9.0,0.82,0.0,8
AA,SYR,12,17.0,93.0,11.42,0.0,6
OO,BRD,5,4.0,38.0,18.4,0.0,6
B6,ROC,2,0.0,-13.0,0.0,0.0,2
G4,MDT,8,9.0,171.0,22.5,0.0,4
DL,FCA,5,34.0,50.0,16.8,0.0,1
AS,MSP,5,2.0,2.0,0.4,0.0,10
G4,IAG,4,10.0,16.0,6.5,0.0,1
OO,PRC,8,3.0,118.0,18.75,0.0,2
YX,MYR,5,0.0,-10.0,0.0,20.0,5
OO,MGM,3,89.0,89.0,29.67,0.0,9
OH,MGM,1,0.0,-11.0,0.0,0.0,10
OO,SUX,4,0.0,-5.0,0.0,0.0,4
UA,SPN,4,1.0,13.0,3.5,0.0,9
OO,EKO,1,0.0,-12.0,0.0,0.0,6
MQ,CID,5,6.0,35.0,8.2,0.0,6
B6,ORD,6,12.0,225.0,52.0,0.0,4
OH,OKC,1,0.0,-15.0,0.0,0.0,1
YX,BGR,4,3.0,3.0,0.75,50.0,1
OH,MDT,1,0.0,-12.0,0.0,0.0,2
9E,LAN,3,30.0,30.0,10.0,0.0,8
G4,JAX,1,0.0,-11.0,0.0,0.0,9
G4,ELM,2,143.0,143.0,71.5,50.0,10
G4,MSO,1,253.0,253.0,253.0,0.0,3
WN,MKE,89,1.0,197.0,8.38,0.0,6
DL,LGA,236,1.0,252.0,10.4,0.85,9
DL,DTW,524,1.0,333.0,12.37,0.19,6
WN,ATL,216,1.0,161.0,5.35,0.93,9
AS,MCI,8,11.0,46.0,15.38,12.5,6
OO,DFW,202,1.0,168.0,6.99,0.0,8
WN,MCO,338,1.0,134.0,5.67,0.0,11
OO,MTJ,14,1.0,122.0,15.64,0.0,1
F9,CLT,34,2.0,1279.0,92.09,2.94,7
NK,LAX,135,1.0,450.0,22.08,6.67,7
9E,ATL,169,1.0,238.0,13.66,1.78,5
WN,TPA,186,1.0,269.0,5.05,0.54,11
9E,GSO,13,2.0,107.0,12.38,0.0,12
WN,SJC,244,1.0,212.0,11.32,0.0,7
WN,LGA,90,2.0,368.0,28.49,1.11,7
G4,SFB,79,1.0,361.0,11.75,1.27,4
WN,BUR,180,1.0,237.0,13.29,0.56,6
G4,GRI,3,41.0,53.0,31.33,0.0,12
AA,GSP,11,9.0,215.0,49.45,0.0,7
UA,CVG,15,3.0,428.0,39.4,0.0,6
DL,VPS,19,4.0,11.0,1.79,0.0,11
DL,BUF,23,12.0,46.0,3.7,0.0,4
DL,GEG,26,3.0,98.0,8.62,0.0,9
OO,TUS,57,2.0,248.0,11.91,0.0,1
YX,SYR,17,5.0,117.0,21.53,0.0,6
DL,BZN,10,3.0,19.0,5.1,0.0,4
DL,TPA,112,1.0,285.0,11.42,9.82,10
NK,STL,4,131.0,131.0,32.75,25.0,8
WN,MKE,74,1.0,113.0,6.28,0.0,11
DL,CLE,27,7.0,59.0,3.04,0.0,9
MQ,ECP,6,1.0,39.0,6.67,16.67,12
UA,STL,22,4.0,215.0,21.36,0.0,1
F9,LGA,31,2.0,74.0,12.23,3.23,5
DL,IND,30,2.0,75.0,6.2,0.0,12
AA,MSP,42,1.0,251.0,24.19,7.14,7
AA,MSN,11,14.0,35.0,9.27,9.09,7
9E,DAY,3,0.0,-11.0,0.0,33.33,7
UA,RDM,7,4.0,31.0,10.0,0.0,10
DL,IAD,22,4.0,30.0,2.27,0.0,3
UA,RAP,14,10.0,45.0,10.21,7.14,7
OO,SBP,40,1.0,90.0,6.38,2.5,9
AA,GRR,21,3.0,56.0,7.29,4.76,4
B6,TLH,4,247.0,247.0,61.75,0.0,4
OH,MSY,11,5.0,201.0,39.45,0.0,7
WN,SBA,14,16.0,16.0,2.29,7.14,2
G4,CAK,5,0.0,-2.0,0.0,0.0,8
MQ,JAN,9,5.0,49.0,10.89,0.0,7
MQ,HSV,8,11.0,26.0,6.63,0.0,9
B6,ROC,6,22.0,38.0,10.0,0.0,3
OO,BLI,6,4.0,23.0,5.33,0.0,4
DL,FAT,1,0.0,-20.0,0.0,0.0,11
OH,MHT,11,3.0,402.0,36.82,0.0,4
F9,SJC,2,1.0,10.0,5.5,0.0,7
UA,SJU,13,2.0,7.0,0.92,0.0,9
B6,MSY,12,23.0,464.0,40.58,8.33,3
OH,ATL,24,7.0,154.0,17.46,0.0,11
OO,MFR,27,2.0,125.0,5.89,0.0,3
MQ,CLE,11,1.0,175.0,16.73,0.0,8
OH,CHA,10,3.0,29.0,8.0,0.0,5
YX,GRR,13,7.0,561.0,43.69,7.69,6
WN,DTW,28,1.0,77.0,8.5,0.0,3
MQ,ICT,23,1.0,28.0,4.0,13.04,3
OO,TUL,35,1.0,341.0,13.23,2.86,5
G4,AVL,29,3.0,322.0,18.83,20.69,9
AS,FAI,16,3.0,76.0,6.38,0.0,5
OH,AVL,17,3.0,87.0,13.41,0.0,11
OO,BPT,3,0.0,-13.0,0.0,0.0,6
MQ,GRK,14,9.0,68.0,7.07,7.14,3
OH,MHT,15,2.0,120.0,11.13,13.33,1
DL,STX,1,0.0,-27.0,0.0,0.0,11
MQ,ATL,7,4.0,25.0,10.86,0.0,3
YX,MSY,5,0.0,-2.0,0.0,0.0,10
OO,HYS,4,0.0,-18.0,0.0,0.0,9
G4,OMA,1,0.0,-9.0,0.0,0.0,10
OO,BIL,4,6.0,104.0,36.75,0.0,1
OO,MOB,1,0.0,-15.0,0.0,0.0,5
DL,TUS,9,9.0,18.0,3.0,0.0,4
MQ,BUF,1,0.0,-20.0,0.0,0.0,2
9E,MLI,6,125.0,203.0,54.67,0.0,5
OH,MGM,4,4.0,122.0,31.5,0.0,8
MQ,BDL,3,39.0,78.0,39.0,0.0,3
OH,DTW,2,0.0,-13.0,0.0,0.0,5
NK,STX,2,20.0,20.0,10.0,0.0,2
OO,STL,1,0.0,-23.0,0.0,0.0,4
AS,SBP,1,0.0,-9.0,0.0,0.0,11
UA,ICT,4,6.0,6.0,1.5,0.0,7
F9,SAV,3,18.0,91.0,50.0,0.0,8
AA,AMA,2,0.0,-2.0,0.0,0.0,11
9E,SGF,3,86.0,86.0,28.67,0.0,1
G4,SCK,1,0.0,-22.0,0.0,0.0,9
AS,ANC,102,3.0,499.0,21.71,15.69,1
WN,BWI,608,1.0,207.0,8.2,0.33,9
WN,SRQ,38,1.0,133.0,8.58,5.26,1
UA,TPA,67,1.0,260.0,15.15,0.0,11
WN,HOU,410,1.0,135.0,5.01,0.49,11
OO,MSP,184,1.0,634.0,15.57,0.0,8
OO,IAD,27,2.0,18.0,1.74,0.0,10
F9,DEN,227,1.0,391.0,12.69,0.0,9
HA,LIH,55,1.0,54.0,4.91,1.82,10
MQ,AVP,5,10.0,10.0,2.0,0.0,7
9E,BGM,3,0.0,-26.0,0.0,0.0,2
NK,CLE,10,1.0,16.0,3.0,10.0,5
UA,DCA,50,1.0,60.0,4.62,14.0,1
DL,BOS,193,1.0,141.0,5.22,0.0,11
OO,TWF,3,0.0,-10.0,0.0,0.0,6
F9,FLL,10,6.0,284.0,32.7,0.0,9
NK,LAX,95,1.0,350.0,12.66,1.05,1
OO,STS,27,1.0,63.0,7.19,0.0,8
UA,DFW,56,4.0,168.0,14.61,3.57,8
DL,ROC,12,6.0,6.0,1.0,0.0,11
YX,JFK,138,1.0,192.0,6.61,0.0,11
DL,PBI,76,1.0,337.0,23.54,0.0,12
G4,SFB,82,1.0,223.0,17.51,0.0,5
WN,OAK,300,1.0,245.0,13.87,0.67,7
DL,HSV,16,4.0,98.0,7.13,0.0,10
F9,MIA,33,1.0,205.0,38.0,0.0,1
AA,IAH,64,1.0,480.0,24.59,1.56,8
OO,ELP,22,1.0,325.0,22.36,4.55,5
AS,PHX,36,4.0,133.0,8.17,0.0,11
MQ,BOS,13,4.0,159.0,36.38,0.0,12
NK,SAN,26,1.0,86.0,6.65,0.0,5
G4,GSO,3,139.0,183.0,107.33,0.0,7
UA,ATL,80,1.0,382.0,19.46,1.25,9
MQ,TUL,14,2.0,265.0,21.5,0.0,4
DL,CAE,15,1.0,65.0,9.0,0.0,6
AS,YAK,6,0.0,-2.0,0.0,0.0,2
AA,PIT,76,1.0,78.0,4.74,0.0,10
9E,STL,16,5.0,223.0,16.88,0.0,4
B6,ATL,30,2.0,123.0,12.2,0.0,6
NK,ABQ,8,8.0,512.0,71.38,0.0,10
AA,PDX,40,2.0,274.0,19.33,2.5,4
G4,FLL,22,3.0,99.0,13.91,4.55,6
F9,CHS,3,0.0,-4.0,0.0,0.0,5
OH,PIA,8,13.0,16.0,5.5,12.5,6
NK,CLE,9,3.0,104.0,29.0,11.11,7
NK,STL,8,0.0,0.0,0.0,12.5,6
9E,AUS,9,13.0,13.0,1.44,0.0,5
F9,PSE,2,0.0,-12.0,0.0,0.0,1
DL,CLT,49,1.0,323.0,20.57,4.08,9
AS,SIT,13,1.0,73.0,5.69,0.0,8
OO,CID,26,1.0,113.0,12.38,0.0,10
F9,LGA,33,2.0,589.0,35.58,12.12,8
F9,TYS,4,9.0,43.0,16.0,0.0,5
YX,GRR,15,4.0,29.0,2.6,0.0,7
YX,PWM,7,1.0,6.0,1.0,14.29,1
OO,JAC,9,15.0,38.0,9.56,11.11,2
YX,ORF,10,12.0,27.0,5.6,0.0,5
YX,SCE,1,0.0,-16.0,0.0,0.0,12
AS,OKC,4,2.0,46.0,13.5,0.0,10
OO,DAY,9,13.0,23.0,4.0,0.0,3
AS,OTZ,3,12.0,12.0,4.0,0.0,3
OO,ABY,8,1.0,333.0,60.75,0.0,7
F9,IND,3,17.0,17.0,5.67,0.0,1
AS,MKE,4,1.0,1.0,0.25,0.0,11
OO,SPS,6,1.0,209.0,48.83,0.0,7
DL,BUR,1,0.0,-8.0,0.0,0.0,5
WN,IAD,13,3.0,38.0,5.62,0.0,9
9E,BQK,4,165.0,165.0,41.25,0.0,3
MQ,MLI,4,18.0,87.0,26.25,0.0,6
G4,XNA,5,45.0,45.0,9.0,0.0,11
WN,CRP,7,26.0,60.0,21.43,0.0,9
NK,STL,3,16.0,16.0,5.33,0.0,2
9E,TUL,4,9.0,9.0,2.25,0.0,12
MQ,SWO,3,3.0,93.0,32.0,0.0,4
DL,DLH,2,3.0,3.0,1.5,0.0,8
F9,BUF,10,2.0,182.0,35.4,10.0,7
AA,CID,5,2.0,22.0,5.4,0.0,1
DL,SJC,11,30.0,30.0,2.73,0.0,2
HA,SAN,3,58.0,58.0,19.33,0.0,8
MQ,PIA,6,5.0,566.0,112.33,16.67,5
AA,SYR,13,4.0,44.0,8.38,0.0,11
UA,SRQ,10,9.0,141.0,29.0,0.0,6
F9,ORF,3,28.0,33.0,20.33,0.0,4
G4,ELM,5,10.0,150.0,34.2,0.0,3
AA,RAP,3,24.0,36.0,20.0,0.0,7
MQ,SJC,3,18.0,18.0,6.0,0.0,3
NK,MHT,5,28.0,28.0,5.6,20.0,4
OO,RHI,2,0.0,-25.0,0.0,0.0,3
9E,MIA,1,0.0,-18.0,0.0,0.0,12
AS,BOI,2,8.0,8.0,4.0,0.0,9
G4,MFE,5,2.0,36.0,10.6,20.0,7
HA,SFO,4,0.0,-6.0,0.0,0.0,9
OH,TRI,1,0.0,-27.0,0.0,0.0,1
G4,MLB,3,44.0,44.0,14.67,0.0,3
OH,ROC,1,0.0,-21.0,0.0,0.0,8
NK,ROC,1,0.0,-29.0,0.0,0.0,11
UA,DEN,926,1.0,836.0,18.38,0.65,8
UA,EWR,539,1.0,438.0,18.75,1.48,4
WN,SJC,230,1.0,171.0,8.36,0.87,10
WN,IND,99,1.0,76.0,4.54,0.0,11
OH,CLT,525,1.0,866.0,10.69,0.76,10
DL,AUS,83,1.0,167.0,8.99,0.0,3
WN,PHX,506,1.0,139.0,7.6,0.0,9
DL,SNA,38,3.0,56.0,6.53,0.0,3
AS,PHX,42,1.0,264.0,17.76,11.9,1
WN,CHS,30,2.0,66.0,7.0,0.0,3
YX,BOS,174,1.0,181.0,4.9,0.57,2
AA,SFO,77,1.0,446.0,20.9,0.0,2
UA,ATL,61,2.0,171.0,11.23,0.0,6
AA,MYR,12,4.0,96.0,18.08,0.0,10
WN,MKE,91,1.0,43.0,2.48,0.0,9
WN,HNL,130,1.0,171.0,6.9,0.0,7
AA,DEN,63,8.0,664.0,25.84,1.59,11
YX,CLE,36,2.0,41.0,4.83,8.33,8
OH,ORF,31,5.0,257.0,21.65,0.0,12
MQ,DSM,7,20.0,23.0,6.14,0.0,12
DL,ORD,91,1.0,156.0,10.14,0.0,12
OH,CID,9,26.0,44.0,7.78,0.0,6
AS,FAI,21,4.0,88.0,11.9,0.0,11
OH,CVG,19,2.0,15.0,3.37,0.0,10
MQ,ATW,3,9.0,9.0,3.0,0.0,1
F9,CLT,26,3.0,927.0,65.54,3.85,6
F9,DCA,5,37.0,124.0,32.2,0.0,5
WN,ABQ,111,1.0,143.0,14.34,0.9,7
OH,GPT,15,2.0,38.0,6.27,0.0,4
UA,ANC,15,5.0,83.0,7.6,0.0,6
UA,RDU,34,6.0,35.0,5.0,0.0,2
AA,ORF,16,14.0,235.0,24.63,6.25,6
G4,TVC,2,0.0,-9.0,0.0,0.0,4
OO,AVL,19,2.0,115.0,26.05,0.0,5
DL,COS,6,47.0,47.0,7.83,0.0,10
G4,EVV,3,0.0,-12.0,0.0,33.33,10
WN,JAX,42,1.0,46.0,2.52,4.76,9
UA,SEA,53,1.0,260.0,14.4,0.0,4
MQ,SBA,2,0.0,0.0,0.0,0.0,5
NK,BWI,60,2.0,96.0,9.43,3.33,10
AA,RIC,29,2.0,71.0,8.38,0.0,10
OH,ECP,3,7.0,7.0,2.33,0.0,1
MQ,SHV,10,2.0,970.0,148.3,10.0,12
UA,DTW,15,7.0,164.0,19.0,0.0,1
B6,PSE,2,0.0,-15.0,0.0,0.0,3
G4,LEX,3,11.0,11.0,3.67,0.0,9
OO,BNA,32,2.0,32.0,4.03,0.0,2
F9,FSD,3,37.0,250.0,108.0,0.0,6
DL,ROC,10,10.0,214.0,29.5,0.0,6
UA,SPN,3,0.0,-8.0,0.0,0.0,3
NK,MHT,3,0.0,-7.0,0.0,0.0,2
AA,GSP,11,14.0,160.0,26.27,0.0,10
AA,CAE,6,12.0,237.0,55.17,0.0,12
F9,SNA,9,5.0,127.0,35.78,0.0,4
AA,ALB,14,4.0,174.0,17.57,0.0,5
DL,COS,4,3.0,23.0,11.5,0.0,3
F9,SYR,5,1.0,8.0,2.2,0.0,2
MQ,FWA,7,18.0,178.0,51.14,0.0,2
AS,ADQ,4,7.0,7.0,1.75,0.0,6
B6,MIA,6,9.0,9.0,1.5,0.0,10
MQ,MYR,1,0.0,-21.0,0.0,0.0,6
B6,ONT,2,13.0,91.0,52.0,0.0,4
DL,OGG,6,0.0,-1.0,0.0,0.0,6
WN,VPS,16,6.0,39.0,3.94,0.0,3
OO,MTJ,1,0.0,-16.0,0.0,0.0,9
DL,LIT,16,3.0,3.0,0.19,0.0,4
OO,JST,7,3.0,331.0,50.71,0.0,9
MQ,ECP,5,51.0,90.0,28.2,0.0,11
YX,BWI,10,83.0,83.0,8.3,0.0,10
B6,ALB,6,42.0,85.0,29.83,0.0,12
OH,MEM,1,0.0,-14.0,0.0,0.0,1
YX,ORH,4,0.0,-14.0,0.0,0.0,11
DL,FAI,5,18.0,877.0,185.6,0.0,6
UA,BQN,5,28.0,28.0,5.6,0.0,3
B6,ONT,4,5.0,8.0,3.25,0.0,2
OH,MSN,3,113.0,113.0,37.67,0.0,4
G4,BIS,3,0.0,-9.0,0.0,0.0,8
DL,BTV,3,5.0,5.0,1.67,0.0,11
MQ,ORF,1,0.0,-14.0,0.0,0.0,10
MQ,DAB,1,39.0,39.0,39.0,0.0,3
F9,XNA,3,29.0,45.0,24.67,0.0,3
MQ,BFL,3,17.0,17.0,5.67,0.0,11
UA,ORD,814,1.0,386.0,21.46,1.6,8
OO,FAT,53,2.0,270.0,11.51,0.0,5
HA,LIH,76,1.0,159.0,6.43,1.32,8
DL,MSY,66,1.0,368.0,6.48,0.0,10
MQ,TPA,11,24.0,24.0,2.18,0.0,9
YX,ORD,112,1.0,104.0,2.77,0.0,10
OO,OKC,81,3.0,495.0,11.31,1.23,10
G4,VPS,37,1.0,156.0,18.16,0.0,7
OO,GEG,44,3.0,32.0,3.39,0.0,4
G4,FLL,30,1.0,249.0,32.87,3.33,3
AA,ATL,48,1.0,225.0,16.27,2.08,12
MQ,CHA,12,2.0,23.0,7.0,0.0,11
AA,TPA,132,2.0,553.0,17.61,0.76,12
9E,DCA,17,6.0,74.0,12.82,0.0,4
DL,GSP,22,0.0,-5.0,0.0,0.0,6
UA,ATL,52,1.0,1071.0,28.71,0.0,12
NK,ATL,80,1.0,285.0,19.79,0.0,6
OO,IAH,102,2.0,881.0,22.05,1.96,3
G4,LCK,6,20.0,20.0,3.33,16.67,10
OO,TXK,6,4.0,278.0,59.5,0.0,11
DL,OGG,4,0.0,-3.0,0.0,0.0,8
AA,RSW,53,1.0,112.0,5.38,0.0,11
F9,MYR,4,268.0,268.0,67.0,0.0,9
OO,AVL,2,35.0,63.0,49.0,0.0,11
9E,DCA,17,12.0,128.0,23.29,0.0,6
AA,MSY,70,1.0,209.0,36.53,1.43,7
F9,ISP,14,1.0,655.0,68.07,0.0,2
NK,PHX,10,4.0,82.0,16.1,0.0,1
OO,EGE,14,2.0,12.0,2.36,0.0,4
OH,GPT,16,3.0,290.0,26.81,0.0,9
UA,RIC,5,5.0,12.0,3.4,0.0,10
UA,FCA,6,18.0,60.0,16.5,0.0,11
OO,TVC,18,1.0,268.0,42.78,0.0,6
YX,TVC,9,10.0,77.0,18.56,0.0,12
WN,MHT,18,17.0,161.0,11.67,0.0,2
OO,GRK,11,56.0,902.0,153.91,9.09,4
OO,MAF,26,6.0,25.0,2.08,0.0,9
F9,IAH,28,3.0,382.0,55.75,3.57,8
UA,ALB,5,1.0,1.0,0.2,0.0,3
DL,EYW,12,3.0,33.0,4.67,0.0,9
NK,SMF,16,3.0,141.0,28.88,18.75,7
AA,EUG,3,5.0,5.0,1.67,0.0,2
OO,MBS,12,11.0,149.0,19.25,0.0,12
AS,DEN,21,3.0,87.0,7.9,0.0,11
G4,FWA,6,6.0,136.0,41.33,0.0,1
G4,PBG,3,7.0,37.0,14.67,33.33,9
MQ,EWR,7,9.0,111.0,29.57,14.29,4
NK,ACY,26,6.0,78.0,7.42,0.0,12
AS,IND,4,4.0,188.0,59.75,0.0,8
AS,OME,4,0.0,-8.0,0.0,0.0,12
G4,EUG,4,0.0,-7.0,0.0,0.0,5
YX,LIT,3,12.0,156.0,68.67,0.0,12
OO,BIL,13,1.0,21.0,3.46,0.0,8
MQ,MSN,2,4.0,4.0,2.0,0.0,9
OO,SHR,10,2.0,13.0,2.6,0.0,5
OH,CAK,6,0.0,-5.0,0.0,0.0,10
WN,PWM,8,1.0,39.0,11.38,0.0,3
DL,PNS,32,5.0,338.0,23.38,6.25,7
AA,OGG,11,16.0,121.0,12.45,0.0,6
AA,LIH,6,0.0,-11.0,0.0,0.0,4
MQ,TXK,7,6.0,18.0,4.71,0.0,3
OH,JAN,3,0.0,-4.0,0.0,0.0,2
OH,OMA,3,2.0,21.0,7.67,0.0,11
YX,ORH,2,50.0,50.0,25.0,0.0,8
OO,FNT,12,1.0,187.0,50.08,0.0,9
DL,JAC,9,2.0,90.0,10.22,0.0,3
F9,MYR,4,8.0,8.0,2.0,0.0,11
G4,USA,7,7.0,24.0,4.43,0.0,4
OO,MFE,3,11.0,11.0,3.67,0.0,1
AA,EGE,3,0.0,-14.0,0.0,0.0,10
NK,SAT,16,1.0,54.0,6.75,0.0,4
OO,CRW,16,3.0,402.0,45.75,0.0,5
MQ,RDM,3,6.0,15.0,7.0,0.0,6
DL,TUS,6,13.0,13.0,2.17,0.0,11
OO,CRP,1,0.0,0.0,0.0,0.0,3
WN,CRP,9,1.0,487.0,55.44,0.0,8
MQ,SJC,4,61.0,61.0,15.25,0.0,6
G4,TUL,9,5.0,36.0,12.33,0.0,5
YX,CAE,4,0.0,-5.0,0.0,25.0,1
OO,APN,3,29.0,36.0,21.67,0.0,12
OO,BRD,2,28.0,33.0,30.5,0.0,8
MQ,ECP,1,2.0,2.0,2.0,0.0,9
HA,SLC,2,3.0,3.0,1.5,0.0,9
AS,IND,6,4.0,13.0,5.5,0.0,4
AA,AGS,2,1.0,1.0,0.5,0.0,4
G4,FSD,1,0.0,-15.0,0.0,0.0,9
OO,AVP,1,43.0,43.0,43.0,0.0,1
MQ,PHX,45,1.0,51.0,3.33,0.0,4
DL,ATL,1659,1.0,647.0,6.4,0.0,2
YX,CVG,40,3.0,52.0,3.43,5.0,4
OO,PSP,45,1.0,180.0,11.09,4.44,7
UA,SEA,69,1.0,296.0,11.28,0.0,12
WN,HNL,111,1.0,241.0,6.1,0.0,5
DL,HSV,23,3.0,5.0,0.52,0.0,9
UA,BOS,79,3.0,115.0,7.77,0.0,3
WN,LGA,65,1.0,258.0,19.08,9.23,1
DL,ORD,115,2.0,265.0,22.6,0.0,5
WN,MHT,23,4.0,85.0,7.04,0.0,4
OO,GUC,8,27.0,47.0,9.25,0.0,2
WN,GSP,21,1.0,119.0,13.95,0.0,5
MQ,XNA,37,1.0,51.0,4.73,0.0,2
OO,SMF,62,2.0,110.0,5.71,0.0,5
OO,DSM,9,11.0,53.0,12.89,22.22,5
WN,COS,45,1.0,161.0,10.73,0.0,11
AA,LAS,122,1.0,978.0,48.91,0.0,7
UA,BOS,98,1.0,155.0,10.74,2.04,4
OH,SAV,28,3.0,49.0,3.36,0.0,6
AS,LAS,54,1.0,192.0,12.43,0.0,10
YX,RIC,17,3.0,97.0,9.65,23.53,8
AA,PDX,27,7.0,105.0,6.22,3.7,12
WN,KOA,19,1.0,59.0,5.21,0.0,1
AA,MFE,19,1.0,173.0,17.79,0.0,12
MQ,ABI,12,2.0,12.0,1.17,8.33,4
DL,BNA,79,1.0,86.0,7.39,0.0,12
AA,PBI,70,1.0,346.0,36.99,0.0,4
UA,LGA,35,4.0,183.0,10.03,0.0,2
MQ,FAR,12,11.0,141.0,12.67,8.33,1
9E,RIC,12,6.0,73.0,12.42,0.0,5
AS,GEG,20,2.0,92.0,11.65,0.0,5
MQ,COU,14,1.0,334.0,25.86,0.0,9
MQ,CRP,14,8.0,268.0,54.29,0.0,5
WN,LIT,31,3.0,111.0,18.1,0.0,3
OH,MLB,8,8.0,34.0,8.13,12.5,8
WN,SNA,114,1.0,179.0,8.15,0.88,8
OO,SLN,11,7.0,123.0,27.27,9.09,1
UA,SDF,7,5.0,145.0,23.57,0.0,10
OO,BNA,40,1.0,96.0,7.08,0.0,10
OO,ACV,12,3.0,966.0,95.42,8.33,2
YX,RDU,52,3.0,130.0,7.65,11.54,6
OO,FWA,23,1.0,25.0,1.74,0.0,11
9E,MGM,11,2.0,31.0,5.55,0.0,9
WN,IAD,6,3.0,13.0,2.67,0.0,3
AS,ORD,20,1.0,248.0,33.95,0.0,3
OO,DCA,4,3.0,107.0,27.5,0.0,4
UA,KOA,12,19.0,30.0,4.08,0.0,12
OO,DRO,20,8.0,51.0,2.95,5.0,12
DL,BTR,9,6.0,40.0,9.0,0.0,11
OH,MEM,6,0.0,-9.0,0.0,0.0,4
OO,FOD,6,2.0,44.0,13.33,0.0,6
YX,PVD,8,14.0,64.0,9.75,0.0,9
WN,GEG,29,3.0,232.0,19.97,0.0,12
OO,SNA,33,1.0,94.0,19.3,0.0,5
DL,BOI,27,4.0,34.0,3.19,0.0,5
OO,CMH,9,8.0,298.0,43.67,0.0,8
9E,GSO,18,1.0,99.0,8.06,0.0,4
B6,SAT,6,8.0,152.0,35.0,0.0,3
OO,CID,10,9.0,11.0,2.0,0.0,3
NK,CLT,35,1.0,108.0,13.37,0.0,3
WN,HRL,18,1.0,80.0,24.06,0.0,6
AA,RIC,29,1.0,191.0,14.93,0.0,9
