ac.aeroporto_partenza,ac.compagnia,ac.numero_voli,ac.ritardo_medio_partenza,ac.ritardo_medio_arrivo,ac.tasso_cancellazione,differenza,classifica
ALB,G4,52,21.59,12.39,1.9,7.7,10
ALB,MQ,19,-0.63,-2.21,0.0,-14.52,1
ALB,OH,107,8.83,8.51,6.5,-5.06,4
ALB,OO,76,21.46,19.11,0.0,7.57,9
ALB,UA,83,15.72,14.15,2.4,1.83,6
ALB,WN,369,10.0,2.21,1.4,-3.89,5
ALB,YX,32,1.91,-4.63,0.0,-11.98,2
ALW,OO,50,0.16,3.08,2.0,0.0,1
AMA,AA,15,16.4,15.73,0.0,7.69,4
AMA,MQ,234,8.75,6.49,1.7,0.04,2
AMA,OO,90,12.66,9.15,1.1,3.95,3
AMA,WN,203,6.34,0.3,1.0,-2.37,1
ANC,AA,51,21.65,10.41,0.0,13.7,4
ANC,AS,1425,5.87,3.4,2.0,-2.08,1
ANC,DL,195,16.77,9.12,0.5,8.82,3
ANC,UA,109,12.61,2.58,1.8,4.66,2
APN,OO,66,19.65,13.38,1.5,0.0,1
ASE,OO,710,26.12,22.23,6.5,0.0,1
ATL,9E,2679,8.01,3.34,1.2,-3.16,2
ATL,AA,770,24.53,21.51,1.7,13.36,12
ATL,AS,117,9.7,8.19,0.9,-1.47,4
ATL,B6,322,17.01,12.68,1.6,5.84,9
ATL,DL,22881,9.06,5.32,0.8,-2.11,3
ATL,F9,1162,28.09,23.64,2.3,16.92,13
ATL,MQ,69,14.0,9.8,0.0,2.83,7
ATL,NK,995,21.39,15.16,2.3,10.22,10
ATL,OH,247,15.49,12.22,0.8,4.32,8
ATL,OO,823,22.34,16.18,0.9,11.17,11
ATL,UA,774,13.42,8.98,1.7,2.25,6
ATL,WN,3329,12.43,6.35,0.5,1.26,5
ATL,YX,126,3.06,0.32,1.6,-8.11,1
ATW,9E,19,-4.26,-7.53,0.0,-19.56,1
ATW,DL,40,-3.28,-8.65,0.0,-18.58,2
ATW,G4,119,6.33,1.72,2.5,-8.97,3
ATW,MQ,72,22.22,15.38,4.2,6.92,5
ATW,OO,355,20.18,16.93,3.1,4.88,4
AUS,9E,39,11.13,7.72,0.0,-3.75,4
AUS,AA,1339,18.78,15.82,1.7,3.9,12
AUS,AS,250,12.19,9.72,2.8,-2.69,6
AUS,B6,73,43.43,30.65,1.4,28.55,15
AUS,DL,1090,15.03,8.09,1.2,0.15,8
AUS,F9,71,16.79,11.75,4.2,1.91,9
AUS,G4,105,18.28,10.08,3.8,3.4,11
AUS,HA,18,8.0,16.56,0.0,-6.88,3
AUS,MQ,225,16.81,15.88,1.8,1.93,10
AUS,NK,126,25.91,19.28,1.6,11.03,14
AUS,OH,5,-0.8,-9.4,0.0,-15.68,2
AUS,OO,364,24.02,20.49,0.3,9.14,13
AUS,UA,895,14.72,9.17,1.7,-0.16,7
AUS,WN,3724,11.74,5.4,0.6,-3.14,5
AUS,YX,10,-2.4,-3.6,0.0,-17.28,1
AVL,9E,51,9.48,1.12,2.0,-8.66,4
AVL,AA,58,61.85,56.36,5.2,43.71,10
AVL,B6,8,44.25,44.5,0.0,26.11,9
AVL,DL,230,12.68,4.0,3.0,-5.46,6
AVL,G4,327,25.28,22.08,4.0,7.14,7
AVL,MQ,115,29.42,25.48,1.7,11.28,8
AVL,OH,170,6.5,7.95,2.9,-11.64,3
AVL,OO,68,11.74,12.88,0.0,-6.4,5
AVL,UA,15,4.64,-0.36,6.7,-13.5,2
AVL,YX,106,-1.19,-5.66,5.7,-19.33,1
AVP,AA,86,15.06,10.15,2.3,0.22,2
AVP,MQ,45,16.04,13.13,0.0,1.2,3
AVP,OH,15,9.0,-0.27,0.0,-5.84,1
AVP,OO,3,20.0,47.67,0.0,5.16,4
AZA,G4,571,3.42,-1.44,0.5,0.0,1
AZO,9E,1,-6.0,-11.0,0.0,-25.08,1
AZO,OO,80,19.39,14.04,1.3,0.31,2
BDL,9E,36,0.19,-6.89,0.0,-13.44,2
BDL,AA,391,12.17,6.92,2.3,-1.46,6
BDL,B6,295,18.41,12.62,2.7,4.78,9
BDL,DL,371,7.0,-1.0,0.0,-6.63,3
BDL,F9,84,39.72,35.9,3.6,26.09,11
BDL,MQ,51,12.06,4.12,0.0,-1.57,5
BDL,NK,55,25.41,23.06,1.8,11.78,10
BDL,OH,145,16.55,12.23,4.1,2.92,8
BDL,OO,7,188.57,193.29,0.0,174.94,12
BDL,UA,196,9.98,5.73,0.5,-3.65,4
BDL,WN,412,12.48,4.98,0.2,-1.15,7
BDL,YX,55,-4.22,-10.47,0.0,-17.85,1
BET,AS,72,11.14,15.23,4.2,0.0,1
BFF,OO,56,9.33,9.37,7.1,0.0,1
BFL,AA,95,10.17,7.92,0.0,1.59,2
BFL,MQ,39,-1.03,-5.1,0.0,-9.61,1
BFL,OO,129,10.32,2.59,0.0,1.74,3
BGM,9E,33,8.03,-0.63,3.0,0.0,1
BGR,9E,114,4.43,-3.83,6.1,-12.64,2
BGR,AA,58,46.23,47.21,1.7,29.16,7
BGR,G4,29,24.36,27.64,3.4,7.29,6
BGR,MQ,16,4.06,8.25,0.0,-13.01,1
BGR,OH,75,6.29,0.11,4.0,-10.78,3
BGR,OO,15,19.0,15.14,6.7,1.93,4
BGR,YX,106,21.61,17.42,7.5,4.54,5
BHM,9E,105,5.28,0.0,6.7,-6.0,3
BHM,AA,46,12.17,9.54,0.0,0.89,7
BHM,DL,288,7.54,2.5,1.7,-3.74,5
BHM,MQ,244,7.19,3.79,0.4,-4.09,4
BHM,NK,4,-7.75,-2.0,0.0,-19.03,1
BHM,OH,374,15.81,12.1,0.8,4.53,8
BHM,OO,147,23.41,18.88,0.7,12.13,9
BHM,WN,436,10.67,4.48,0.5,-0.61,6
BHM,YX,46,0.17,-0.04,0.0,-11.11,2
BIH,OO,32,24.03,14.96,9.4,0.0,1
BIL,DL,71,19.28,15.1,2.8,9.98,4
BIL,G4,38,38.63,33.74,0.0,29.33,5
BIL,MQ,92,4.39,4.46,0.0,-4.91,3
BIL,OO,136,2.1,1.34,0.0,-7.2,1
BIL,UA,59,3.02,2.27,0.0,-6.28,2
BIS,9E,1,78.0,102.0,0.0,61.06,5
BIS,DL,55,5.35,-2.91,0.0,-11.59,2
BIS,G4,47,10.22,1.74,2.1,-6.72,3
BIS,MQ,56,2.02,-2.29,0.0,-14.92,1
BIS,OO,199,25.68,19.42,1.0,8.74,4
BJI,OO,61,11.48,6.28,0.0,0.0,1
BLI,G4,93,4.67,1.52,1.1,-5.31,1
BLI,OO,109,10.38,11.89,1.8,0.4,2
BLI,WN,51,18.73,7.08,0.0,8.75,3
BLV,G4,109,44.14,41.93,2.8,0.0,1
BMI,9E,65,8.84,1.46,3.1,-0.63,3
BMI,F9,5,-1.2,-0.4,0.0,-10.67,1
BMI,G4,26,22.46,17.46,0.0,12.99,4
BMI,MQ,70,5.91,-1.1,1.4,-3.56,2
BNA,9E,125,8.93,4.51,1.6,-3.65,4
BNA,AA,828,26.92,25.35,2.2,14.34,14
BNA,AS,105,7.45,2.34,1.9,-5.13,3
BNA,B6,138,20.78,14.96,0.0,8.2,12
BNA,DL,827,5.52,-0.26,0.7,-7.06,2
BNA,F9,74,13.22,10.82,0.0,0.64,9
BNA,G4,295,16.48,11.72,1.0,3.9,10
BNA,MQ,259,10.37,8.05,2.7,-2.21,7
BNA,NK,345,25.58,17.85,4.3,13.0,13
BNA,OH,222,9.1,7.84,0.9,-3.48,6
BNA,OO,372,20.1,17.71,1.1,7.52,11
BNA,UA,634,9.01,4.9,1.4,-3.57,5
BNA,WN,4989,11.28,4.25,0.9,-1.3,8
BNA,YX,569,5.07,2.38,1.1,-7.51,1
BOI,AA,89,11.57,10.55,2.2,4.67,7
BOI,AS,61,-2.28,-3.08,0.0,-9.18,1
BOI,DL,263,9.17,3.67,1.1,2.27,5
BOI,G4,42,51.58,49.68,4.8,44.68,9
BOI,MQ,41,9.78,5.27,0.0,2.88,6
BOI,NK,66,15.14,11.78,1.5,8.24,8
BOI,OO,1117,4.34,3.52,0.4,-2.56,3
BOI,UA,143,4.31,0.17,3.5,-2.59,2
BOI,WN,443,7.66,1.21,0.0,0.76,4
BOS,AA,1489,15.29,7.71,1.6,2.24,7
BOS,AS,252,17.88,14.13,1.2,4.83,10
BOS,B6,3837,16.54,10.88,1.4,3.49,8
BOS,DL,2365,13.38,5.88,0.8,0.33,5
BOS,F9,149,17.26,17.18,3.4,4.21,9
BOS,G4,37,7.83,1.03,5.4,-5.22,2
BOS,HA,23,10.04,6.65,0.0,-3.01,3
BOS,MQ,178,19.13,13.1,1.7,6.08,11
BOS,NK,652,20.24,13.43,3.2,7.19,12
BOS,UA,1166,11.74,5.65,0.8,-1.31,4
BOS,WN,628,14.36,5.51,1.0,1.31,6
BOS,YX,2607,3.75,-0.44,1.9,-9.3,1
BPT,MQ,23,30.7,27.04,0.0,17.71,2
BPT,OO,47,4.32,4.28,0.0,-8.67,1
BQK,9E,9,15.89,12.11,0.0,4.13,2
BQK,OO,71,11.24,11.66,0.0,-0.52,1
BQN,B6,156,11.49,8.11,1.3,-1.81,2
BQN,F9,46,6.7,-3.35,0.0,-6.6,1
BQN,UA,35,29.94,23.15,0.0,16.64,3
BRD,OO,51,1.8,-1.53,0.0,0.0,1
BRO,MQ,129,6.9,5.09,0.8,-7.69,1
BRO,OO,63,30.74,28.78,3.2,16.15,2
BRW,AS,32,9.97,11.74,3.1,0.0,1
BTM,OO,44,0.18,-5.84,0.0,0.0,1
BTR,9E,50,1.26,-2.55,6.0,-12.22,1
BTR,DL,82,7.49,-0.26,1.2,-5.99,2
BTR,MQ,90,15.26,13.63,3.3,1.78,4
BTR,OH,190,18.31,15.22,0.5,4.83,5
BTR,OO,59,12.64,10.42,10.2,-0.84,3
BTR,UA,1,52.0,57.0,0.0,38.52,6
BTV,9E,164,8.45,1.96,1.8,0.79,6
BTV,AA,68,9.59,5.34,0.0,1.93,7
BTV,B6,1,12.0,10.0,0.0,4.34,9
BTV,DL,44,-0.74,-4.37,2.3,-8.4,2
BTV,F9,1,-10.0,6.0,0.0,-17.66,1
BTV,MQ,34,7.7,12.76,2.9,0.04,5
BTV,OH,139,10.04,8.5,2.9,2.38,8
BTV,OO,35,4.97,-1.46,0.0,-2.69,4
BTV,UA,110,12.58,13.41,1.8,4.92,10
BTV,YX,127,2.56,-6.0,0.8,-5.1,3
BUF,9E,171,9.52,1.13,3.5,0.17,7
BUF,AA,206,12.06,11.78,2.4,2.71,9
BUF,B6,316,11.32,6.99,2.2,1.97,8
BUF,DL,207,8.28,-0.99,1.0,-1.07,6
BUF,F9,95,25.84,20.29,3.2,16.49,11
BUF,MQ,50,2.88,-5.19,4.0,-6.47,2
BUF,OH,94,7.21,8.63,3.2,-2.14,4
BUF,OO,84,15.96,12.57,1.2,6.61,10
BUF,UA,96,6.66,7.84,2.1,-2.69,3
BUF,WN,492,8.21,1.96,1.0,-1.14,5
BUF,YX,273,2.79,-1.78,4.0,-6.56,1
BUR,AA,109,14.74,11.55,0.0,4.8,5
BUR,AS,215,1.45,0.7,2.8,-8.49,1
BUR,B6,30,67.62,64.31,3.3,57.68,10
BUR,DL,40,40.8,35.54,0.0,30.86,9
BUR,F9,7,15.71,20.71,0.0,5.77,6
BUR,MQ,9,22.11,14.44,0.0,12.17,8
BUR,NK,203,22.01,18.45,0.5,12.07,7
BUR,OO,405,9.6,8.65,1.2,-0.34,3
BUR,UA,147,9.61,7.83,2.0,-0.33,4
BUR,WN,1797,7.66,0.32,0.9,-2.28,2
BWI,9E,40,24.59,25.36,2.5,8.91,12
BWI,AA,380,16.28,10.77,2.4,0.6,10
BWI,AS,57,21.82,21.17,3.5,6.14,11
BWI,B6,25,0.76,2.92,0.0,-14.92,2
BWI,DL,542,9.84,2.41,0.7,-5.84,5
BWI,F9,271,39.78,38.26,3.0,24.1,13
BWI,G4,12,11.75,2.92,0.0,-3.93,6
BWI,MQ,47,14.33,11.72,2.1,-1.35,7
BWI,NK,670,14.46,8.32,1.9,-1.22,8
BWI,OH,5,-8.8,-1.8,0.0,-24.48,1
BWI,UA,347,7.34,2.97,1.4,-8.34,4
BWI,WN,7183,15.86,9.06,0.7,0.18,9
BWI,YX,102,4.1,0.22,2.0,-11.58,3
BZN,AA,92,31.05,29.22,1.1,18.04,8
BZN,AS,67,4.64,5.56,0.0,-8.37,3
BZN,B6,21,31.37,32.72,9.5,18.36,9
BZN,DL,163,7.39,4.94,0.0,-5.62,5
BZN,G4,42,-1.77,-6.33,7.1,-14.78,1
BZN,MQ,12,5.08,2.67,0.0,-7.93,4
BZN,OO,204,4.18,1.96,1.0,-8.83,2
BZN,UA,214,24.73,21.82,1.4,11.72,7
BZN,WN,173,9.9,4.01,0.6,-3.11,6
CAE,9E,125,7.24,2.52,1.6,-1.76,5
CAE,AA,76,32.18,30.17,0.0,23.18,7
CAE,DL,148,4.95,-2.38,1.4,-4.05,2
CAE,MQ,6,7.33,12.0,0.0,-1.67,6
CAE,OH,240,7.18,7.08,2.1,-1.82,4
CAE,OO,68,5.66,4.72,0.0,-3.34,3
CAE,YX,34,0.18,-0.97,2.9,-8.82,1
CAK,G4,65,14.22,8.34,1.5,1.88,2
CAK,OH,163,9.48,7.17,0.6,-2.86,1
CAK,OO,99,15.83,14.86,1.0,3.49,3
CDC,OO,59,19.69,12.69,1.7,0.0,1
CDV,AS,71,-0.57,-0.6,2.8,0.0,1
CHA,9E,170,6.91,0.4,0.0,-7.42,2
CHA,DL,123,10.28,2.88,0.0,-4.05,3
CHA,G4,24,71.95,68.36,8.3,57.62,7
CHA,MQ,125,23.43,18.32,1.6,9.1,6
CHA,OH,138,12.08,8.6,0.7,-2.25,4
CHA,OO,101,13.24,13.42,2.0,-1.09,5
CHA,YX,15,0.33,2.87,0.0,-14.0,1
CHO,9E,162,19.35,13.15,6.8,2.35,4
CHO,DL,14,-5.93,-13.07,0.0,-22.93,2
CHO,OH,6,-6.33,-6.67,0.0,-23.33,1
CHO,OO,61,27.32,28.34,3.3,10.32,5
CHO,YX,47,6.04,6.67,2.1,-10.96,3
CHS,9E,190,9.11,3.11,5.8,-2.78,6
CHS,AA,457,11.28,7.66,2.4,-0.61,8
CHS,AS,23,7.83,4.22,0.0,-4.06,5
CHS,B6,185,23.46,19.1,3.8,11.57,11
CHS,DL,401,11.19,5.36,0.7,-0.7,7
CHS,F9,23,25.52,24.22,0.0,13.63,12
CHS,G4,23,40.35,37.95,13.0,28.46,14
CHS,MQ,96,5.29,2.0,0.0,-6.6,3
CHS,NK,118,27.32,22.16,3.4,15.43,13
CHS,OH,190,13.87,10.73,1.6,1.98,9
CHS,OO,29,4.38,4.31,0.0,-7.51,2
CHS,UA,214,17.29,13.15,1.9,5.4,10
CHS,WN,352,7.05,2.22,0.6,-4.84,4
CHS,YX,228,0.83,-3.16,0.9,-11.06,1
CID,9E,15,-1.47,-2.6,0.0,-16.74,2
CID,AA,115,25.12,21.45,0.9,9.85,8
CID,DL,40,29.92,26.49,2.5,14.65,9
CID,F9,22,34.73,32.77,0.0,19.46,10
CID,G4,79,10.35,5.09,1.3,-4.92,5
CID,MQ,123,7.59,7.35,3.3,-7.68,3
CID,OH,79,18.45,12.68,2.5,3.18,7
CID,OO,198,15.25,11.93,1.5,-0.02,6
CID,UA,107,9.59,5.65,3.7,-5.68,4
CID,YX,12,-5.82,-10.91,8.3,-21.09,1
CIU,OO,79,25.64,20.29,1.3,0.0,1
CKB,G4,16,27.13,25.8,6.3,0.0,1
CLE,9E,253,6.88,1.12,2.8,-4.1,4
CLE,AA,467,11.74,7.61,1.5,0.76,7
CLE,AS,35,14.43,12.71,0.0,3.45,11
CLE,B6,83,12.24,8.91,1.2,1.26,8
CLE,DL,297,13.42,2.28,0.3,2.44,10
CLE,F9,642,22.24,17.69,2.8,11.26,13
CLE,MQ,67,8.07,3.37,0.0,-2.91,5
CLE,NK,79,13.26,7.0,3.8,2.28,9
CLE,OH,164,8.6,6.47,2.4,-2.38,6
CLE,OO,161,16.55,8.9,1.2,5.57,12
CLE,UA,833,6.45,1.24,2.3,-4.53,2
CLE,WN,482,6.79,-0.72,0.6,-4.19,3
CLE,YX,431,6.02,0.51,1.9,-4.96,1
CLL,MQ,75,16.08,10.09,0.0,2.07,2
CLL,OO,40,10.03,8.38,2.5,-3.98,1
CLT,9E,286,22.96,19.02,2.8,4.1,10
CLT,AA,12487,21.96,17.67,1.4,3.1,9
CLT,B6,55,44.85,39.23,1.8,25.99,12
CLT,DL,575,12.67,4.32,1.0,-6.19,3
CLT,F9,300,33.33,35.01,3.7,14.47,11
CLT,MQ,650,14.53,11.42,0.8,-4.33,5
CLT,NK,470,19.78,14.37,2.1,0.92,7
CLT,OH,5650,13.17,9.4,1.2,-5.69,4
CLT,OO,3,20.67,15.0,0.0,1.81,8
CLT,UA,408,8.32,6.81,1.5,-10.54,2
CLT,WN,319,17.77,11.37,1.3,-1.09,6
CLT,YX,239,8.25,3.04,2.1,-10.61,1
CMH,9E,26,17.5,11.04,0.0,9.69,11
CMH,AA,329,15.99,12.63,2.4,8.18,10
CMH,AS,42,15.15,7.2,2.4,7.34,9
CMH,DL,340,5.51,-0.97,0.3,-2.3,2
CMH,F9,27,24.11,18.63,0.0,16.3,12
CMH,MQ,299,5.64,3.69,0.0,-2.17,3
CMH,NK,235,13.73,5.7,3.4,5.92,7
CMH,OH,158,13.26,7.57,0.0,5.45,6
CMH,OO,135,14.19,8.99,0.0,6.38,8
CMH,UA,253,9.42,4.12,1.2,1.61,4
CMH,WN,1205,9.97,3.4,1.5,2.16,5
CMH,YX,1108,0.35,-4.61,0.8,-7.46,1
CMI,MQ,127,13.01,7.88,0.8,0.0,1
CMX,OO,68,16.91,17.65,2.9,0.0,1
CNY,OO,3,-8.67,-12.67,0.0,0.0,1
COD,OO,50,32.38,24.88,0.0,0.0,1
COS,AA,110,19.05,19.48,1.8,8.02,5
COS,DL,51,6.71,3.18,0.0,-4.32,1
COS,MQ,36,42.36,38.72,0.0,31.33,6
COS,OO,470,8.01,2.5,1.1,-3.02,2
COS,UA,84,9.88,8.68,2.4,-1.15,3
COS,WN,501,10.48,4.65,0.6,-0.55,4
COU,MQ,161,15.41,12.91,1.9,0.32,2
COU,OO,9,8.75,2.0,11.1,-6.34,1
CPR,OO,169,10.0,4.61,0.0,0.0,1
CRP,MQ,260,7.35,6.57,2.3,-2.07,1
CRP,OO,22,9.27,9.45,0.0,-0.15,2
CRP,WN,101,14.66,12.36,0.0,5.24,3
CRW,9E,20,6.95,4.05,0.0,-19.16,1
CRW,OH,118,26.09,24.65,0.8,-0.02,2
CRW,OO,189,28.18,21.83,1.6,2.07,3
CSG,9E,65,8.66,1.82,0.0,0.91,2
CSG,OO,42,6.32,2.34,2.4,-1.43,1
CVG,9E,683,8.05,2.97,1.2,-2.06,5
CVG,AA,317,26.88,21.14,2.2,16.77,12
CVG,AS,37,16.66,14.43,5.4,6.55,11
CVG,DL,659,4.35,-3.08,0.9,-5.76,2
CVG,F9,407,13.81,11.85,2.0,3.7,9
CVG,G4,339,13.58,9.84,0.6,3.47,8
CVG,MQ,237,15.77,12.42,0.4,5.66,10
CVG,OH,221,10.22,7.93,1.8,0.11,6
CVG,OO,83,11.55,9.23,0.0,1.44,7
CVG,UA,188,6.92,4.3,1.6,-3.19,3
CVG,WN,200,7.27,1.3,1.0,-2.84,4
CVG,YX,525,3.8,0.63,1.7,-6.31,1
CWA,9E,70,2.17,-4.64,1.4,0.0,1
CYS,OO,55,19.38,10.74,3.6,0.0,1
DAB,AA,36,8.31,2.44,0.0,-1.28,2
DAB,DL,150,-0.13,-5.94,2.7,-9.72,1
DAB,MQ,1,58.0,39.0,0.0,48.41,4
DAB,OH,104,23.91,17.35,4.8,14.32,3
DAL,AS,29,1.72,-3.17,0.0,-12.86,1
DAL,DL,212,10.21,5.39,1.4,-4.37,2
DAL,WN,7042,14.77,8.99,1.1,0.19,3
DAY,9E,41,-1.92,-12.74,7.3,-11.51,2
DAY,DL,97,6.91,-3.11,1.0,-2.68,3
DAY,G4,21,19.75,14.05,4.8,10.16,7
DAY,MQ,22,18.41,17.05,0.0,8.82,6
DAY,OH,339,9.1,5.85,0.9,-0.49,4
DAY,OO,136,17.65,14.05,2.2,8.06,5
DAY,YX,39,-6.08,-9.18,0.0,-15.67,1
DCA,9E,202,25.72,20.58,3.0,12.53,11
DCA,AA,2589,18.83,13.19,1.4,5.64,10
DCA,AS,163,7.2,1.23,0.0,-5.99,2
DCA,B6,819,17.0,10.84,1.6,3.81,9
DCA,DL,882,10.39,2.58,1.5,-2.8,4
DCA,F9,92,32.31,25.2,2.2,19.12,12
DCA,MQ,389,11.42,6.94,1.3,-1.77,6
DCA,OH,3561,14.83,11.03,2.4,1.64,8
DCA,OO,17,7.59,2.82,0.0,-5.6,3
DCA,UA,535,10.55,5.18,2.6,-2.64,5
DCA,WN,1512,12.7,3.86,1.1,-0.49,7
DCA,YX,2556,4.81,0.19,1.7,-8.38,1
DDC,OO,56,31.39,28.42,3.6,0.0,1
DEC,OO,82,23.34,21.62,3.7,0.0,1
DEN,AA,761,19.28,14.43,2.5,5.77,9
DEN,AS,217,9.02,7.93,0.5,-4.49,2
DEN,B6,129,35.7,33.05,0.8,22.19,11
DEN,DL,1222,10.67,3.0,1.1,-2.84,3
DEN,F9,2411,16.31,11.36,1.4,2.8,8
DEN,G4,44,14.55,16.18,0.0,1.04,7
DEN,MQ,21,2.81,-0.52,0.0,-10.7,1
DEN,NK,4,32.75,27.75,0.0,19.24,10
DEN,OO,5843,11.77,6.76,1.3,-1.74,4
DEN,UA,9974,12.61,7.68,1.1,-0.9,5
DEN,WN,9439,14.54,8.69,0.9,1.03,6
DFW,AA,16361,25.11,19.64,2.0,5.91,11
DFW,AS,233,14.62,10.91,1.7,-4.58,4
DFW,B6,40,20.3,19.53,0.0,1.1,9
DFW,DL,1193,17.97,11.51,0.8,-1.23,6
DFW,F9,984,24.52,23.51,2.2,5.32,10
DFW,MQ,6784,8.77,4.77,1.4,-10.43,1
DFW,NK,964,18.72,13.79,1.5,-0.48,7
DFW,OH,918,20.26,15.85,2.7,1.06,8
DFW,OO,2388,9.09,5.7,2.2,-10.11,2
DFW,UA,790,13.5,9.69,2.0,-5.7,3
DFW,YX,4,15.0,-5.25,0.0,-4.2,5
DHN,9E,51,1.42,-4.22,2.0,-1.21,1
DHN,OO,19,6.0,2.22,5.3,3.37,2
DIK,OO,70,26.43,19.27,4.3,0.0,1
DLG,AS,9,49.11,52.33,0.0,0.0,1
DLH,9E,18,-0.39,4.44,0.0,-12.99,2
DLH,DL,9,2.11,-2.89,0.0,-10.49,3
DLH,OO,126,21.73,14.14,0.8,9.13,4
DLH,YX,47,-4.68,-13.53,0.0,-17.28,1
DRO,MQ,3,-5.67,-12.0,0.0,-21.44,1
DRO,OO,305,17.51,15.34,0.7,1.74,3
DRO,UA,75,9.59,-1.73,0.0,-6.18,2
DSM,9E,279,12.17,6.68,1.4,0.62,7
DSM,AA,228,22.59,18.4,2.6,11.04,11
DSM,DL,99,3.55,-5.89,1.0,-8.0,2
DSM,F9,28,-2.75,-7.82,0.0,-14.3,1
DSM,G4,175,13.22,10.33,2.3,1.67,8
DSM,MQ,86,6.98,7.38,1.2,-4.57,4
DSM,OH,48,13.59,14.41,4.2,2.04,9
DSM,OO,91,14.01,11.2,4.4,2.46,10
DSM,UA,198,4.36,2.69,1.0,-7.19,3
DSM,WN,178,11.28,4.87,0.0,-0.27,6
DSM,YX,77,9.08,8.92,1.3,-2.47,5
DTW,9E,1236,4.48,0.05,0.9,-6.82,1
DTW,AA,578,15.88,12.95,1.7,4.58,11
DTW,AS,39,14.44,11.9,0.0,3.14,10
DTW,B6,97,12.63,6.9,0.0,1.33,8
DTW,DL,5712,11.48,5.79,0.9,0.18,7
DTW,F9,214,16.85,12.47,3.7,5.55,13
DTW,MQ,105,15.97,15.31,1.0,4.67,12
DTW,NK,951,11.23,3.95,1.5,-0.07,6
DTW,OH,88,8.11,6.58,3.4,-3.19,3
DTW,OO,2587,14.27,10.45,0.5,2.97,9
DTW,UA,186,8.32,4.36,1.1,-2.98,4
DTW,WN,413,8.97,1.58,0.7,-2.33,5
DTW,YX,488,5.14,1.44,2.0,-6.16,2
DVL,OO,62,11.54,10.29,4.8,0.0,1
EAR,OO,14,20.71,15.93,0.0,0.0,1
EAU,OO,1,-7.0,5.0,0.0,0.0,1
ECP,9E,4,2.0,-4.0,0.0,-11.56,2
ECP,AA,73,39.63,38.97,0.0,26.07,8
ECP,DL,271,7.54,2.26,0.4,-6.02,3
ECP,MQ,79,16.61,13.68,3.8,3.05,5
ECP,OH,114,29.18,28.58,0.0,15.62,7
ECP,OO,28,0.82,-1.5,0.0,-12.74,1
ECP,WN,330,7.69,3.06,0.3,-5.87,4
ECP,YX,4,25.0,29.75,0.0,11.44,6
EGE,AA,143,63.1,59.24,2.1,30.61,4
EGE,DL,16,23.5,11.06,0.0,-8.99,3
EGE,OO,164,11.95,5.93,1.2,-20.54,1
EGE,UA,53,16.83,9.6,1.9,-15.66,2
EKO,OO,33,-4.36,-11.73,0.0,0.0,1
ELM,G4,23,20.36,21.38,4.3,-0.62,1
