ac.aeroporto_partenza,ac.compagnia,ac.numero_voli,ac.ritardo_medio_partenza,ac.ritardo_medio_arrivo,ac.tasso_cancellazione,differenza,classifica
ABE,9E,90,6.08,0.72,0.0,-6.43,1
ABE,G4,173,10.38,4.92,0.6,-2.13,2
ABE,OH,90,17.09,7.58,0.0,4.58,3
ABE,OO,19,48.13,43.8,21.1,35.62,4
ABI,MQ,156,8.28,5.9,1.9,0.0,1
ABQ,AA,291,15.42,12.73,1.0,7.15,7
ABQ,AS,39,3.36,1.05,0.0,-4.91,4
ABQ,B6,23,22.22,19.35,0.0,13.95,9
ABQ,DL,144,-1.51,-8.35,0.0,-9.78,1
ABQ,MQ,85,3.23,2.06,1.2,-5.04,3
ABQ,NK,56,18.48,13.7,0.0,10.21,8
ABQ,OO,401,1.7,-1.86,0.2,-6.57,2
ABQ,UA,197,5.84,1.6,0.5,-2.43,5
ABQ,WN,1168,10.14,3.96,0.6,1.87,6
ABR,OO,53,33.57,26.17,0.0,0.0,1
ABY,9E,2,159.5,147.0,0.0,149.92,2
ABY,OO,84,5.96,6.82,1.2,-3.62,1
ACK,B6,97,6.15,2.91,1.0,-2.96,2
ACK,MQ,3,15.67,22.67,0.0,6.56,4
ACK,OO,4,1.0,-16.67,25.0,-8.11,1
ACK,YX,56,15.0,16.76,12.5,5.89,3
ACT,MQ,35,10.42,9.36,5.7,-2.93,1
ACT,OO,74,14.69,15.94,2.7,1.34,2
ACV,OO,176,14.9,11.97,0.6,0.0,1
ACY,NK,312,9.57,2.9,1.0,0.0,1
ADK,AS,8,17.88,14.25,0.0,0.0,1
ADQ,AS,78,5.76,4.12,2.6,0.0,1
AEX,9E,69,1.84,-4.38,0.0,-5.18,2
AEX,MQ,3,-2.33,2.33,0.0,-9.35,1
AEX,OO,94,11.36,9.48,5.3,4.34,3
AGS,9E,160,14.18,8.52,1.9,-4.66,4
AGS,AA,2,-3.0,-3.0,0.0,-21.84,1
AGS,DL,17,-0.35,-7.94,0.0,-19.19,2
AGS,MQ,23,19.78,14.96,0.0,0.94,5
AGS,OH,152,22.09,20.39,2.6,3.25,6
AGS,OO,34,37.97,30.67,2.9,19.13,7
AGS,YX,5,12.4,4.6,0.0,-6.44,3
AKN,AS,12,-3.17,0.42,0.0,0.0,1
ALB,9E,81,4.91,-2.43,4.9,-8.98,3
ALB,AA,128,25.4,22.73,0.8,11.51,11
ALB,B6,73,18.06,12.22,4.1,4.17,8
ALB,DL,108,17.66,8.77,1.9,3.77,7
