ac.aeroporto_partenza,ac.compagnia,ac.numero_voli,ac.ritardo_medio_partenza,ac.ritardo_medio_arrivo,ac.tasso_cancellazione,differenza,classifica
ABE,9E,504,9.91,3.27,1.2,-2.06,1
ABE,G4,848,10.84,5.54,1.5,-1.13,2
ABE,OH,498,11.93,2.98,1.2,-0.04,3
ABE,OO,134,27.7,22.43,6.0,15.73,4
ABI,MQ,888,6.37,3.45,1.0,0.0,1
ABQ,AA,1509,16.05,13.8,2.0,7.23,8
ABQ,AS,193,6.13,3.82,1.0,-2.69,4
ABQ,B6,112,35.95,32.08,0.9,27.13,9
ABQ,DL,737,2.4,-4.68,0.7,-6.42,2
ABQ,MQ,446,5.13,3.22,0.4,-3.69,3
ABQ,NK,263,12.86,9.6,0.0,4.04,7
ABQ,OO,2054,1.78,-1.96,0.7,-7.04,1
ABQ,UA,934,6.7,1.15,0.9,-2.12,5
ABQ,WN,5740,10.29,4.2,0.5,1.47,6
ABR,OO,348,16.72,9.17,0.9,0.0,1
ABY,9E,14,20.36,17.0,0.0,7.33,2
ABY,OO,373,12.76,12.16,1.3,-0.27,1
ACK,B6,491,13.8,10.37,3.1,-0.64,2
ACK,MQ,8,35.5,37.88,0.0,21.06,3
ACK,OO,13,42.83,25.42,7.7,28.39,4
ACK,YX,284,13.65,15.54,8.5,-0.79,1
ACT,MQ,175,16.9,16.54,1.7,-1.41,1
ACT,OO,370,18.98,19.3,2.2,0.67,2
ACV,OO,861,17.1,15.33,1.7,0.0,1
ACY,NK,1465,9.97,3.85,2.0,0.0,1
ADK,AS,39,8.24,9.48,15.4,0.0,1
ADQ,AS,401,3.83,2.31,2.0,0.0,1
AEX,9E,413,9.2,4.08,0.7,-5.06,1
AEX,MQ,16,18.81,22.0,0.0,4.55,3
AEX,OO,537,18.08,13.91,2.4,3.82,2
AGS,9E,792,12.07,6.39,2.5,-4.04,3
AGS,AA,10,34.2,32.6,0.0,18.09,7
AGS,DL,66,12.45,7.09,0.0,-3.66,4
AGS,MQ,101,11.96,5.06,2.0,-4.15,2
AGS,OH,788,19.56,18.73,2.9,3.45,5
AGS,OO,217,20.99,14.54,1.4,4.88,6
AGS,YX,20,11.65,-0.25,0.0,-4.46,1
AKN,AS,71,-7.27,-4.86,1.4,0.0,1
ALB,9E,492,6.66,-3.56,3.3,-7.01,2
ALB,AA,688,20.5,16.25,0.9,6.83,9
ALB,B6,363,21.1,17.04,1.4,7.43,10
ALB,DL,600,14.39,6.2,1.3,0.72,7
ALB,G4,255,29.15,21.65,1.6,15.48,11
ALB,MQ,81,3.21,2.48,0.0,-10.46,1
ALB,OH,553,15.15,13.25,3.4,1.48,8
ALB,OO,378,8.23,5.24,0.3,-5.44,3
ALB,UA,361,8.66,6.47,1.7,-5.01,5
ALB,WN,1768,11.6,4.34,1.0,-2.07,6
ALB,YX,156,8.43,5.07,1.9,-5.24,4
ALW,OO,272,-0.03,2.28,3.3,0.0,1
AMA,AA,92,9.2,9.24,1.1,-0.28,3
AMA,MQ,1063,8.36,5.85,1.8,-1.12,1
AMA,OO,415,13.75,11.91,1.9,4.27,4
AMA,WN,970,8.91,3.17,0.8,-0.57,2
ANC,AA,216,37.42,27.94,0.5,30.45,4
ANC,AS,6980,4.39,2.1,1.6,-2.58,1
ANC,DL,1060,14.93,7.67,0.8,7.96,3
ANC,UA,584,11.93,3.63,2.6,4.96,2
APN,OO,306,19.15,13.82,2.6,0.0,1
ASE,OO,3734,28.92,24.66,7.0,0.0,1
ATL,9E,13533,6.64,2.46,1.1,-4.37,1
ATL,AA,3748,19.48,15.58,2.0,8.47,9
ATL,AS,646,10.4,6.96,2.3,-0.61,4
ATL,B6,1499,22.15,17.92,1.3,11.14,12
ATL,DL,113196,9.28,5.55,0.9,-1.73,3
ATL,F9,5792,25.77,21.86,2.7,14.76,13
ATL,MQ,337,12.93,10.66,1.5,1.92,6
ATL,NK,5046,20.43,14.02,1.9,9.42,11
ATL,OH,1150,18.67,15.78,1.7,7.66,8
ATL,OO,4051,20.42,16.97,0.8,9.41,10
