codice,aeroporto_partenza,numero_voli,ritardo_minimo,ritardo_massimo,ritardo_medio,tasso_cancellazione,mese
9E,ABE,106,1.0,438.0,30.1,0.00,1
9E,ABE,111,2.0,438.0,15.86,0.00,4
9E,ABE,143,1.0,245.0,17.92,0.00,7
9E,ABE,125,1.0,575.0,13.32,0.00,10
9E,ABY,6,1.0,321.0,109.5,0.00,2
9E,ABY,10,0.0,-2.0,0.0,0.00,11
9E,AEX,97,2.0,32.0,1.29,0.00,3
9E,AEX,108,1.0,979.0,26.34,0.00,6
9E,AEX,118,1.0,316.0,16.18,0.00,9
9E,AEX,105,2.0,294.0,10.02,0.00,12
9E,AGS,196,1.0,343.0,12.61,0.00,3
9E,AGS,236,2.0,191.0,4.06,0.00,6
9E,AGS,196,1.0,484.0,17.58,0.00,9
9E,AGS,196,1.0,534.0,20.71,0.00,12
9E,ALB,161,1.0,301.0,10.74,0.00,3
9E,ALB,98,2.0,263.0,16.38,0.00,6
9E,ALB,100,2.0,54.0,1.69,0.00,9
9E,ALB,135,2.0,288.0,17.54,0.00,12
9E,ATL,3254,1.0,1207.0,6.45,0.00,3
9E,ATL,2829,1.0,362.0,5.9,0.00,6
9E,ATL,3317,1.0,983.0,9.77,0.00,9
9E,ATL,5192,1.0,1198.0,14.45,0.00,12
9E,ATW,27,18.0,167.0,25.67,0.00,1
9E,ATW,27,9.0,9.0,0.33,0.00,4
9E,ATW,9,12.0,76.0,17.33,0.00,7
9E,ATW,9,0.0,-9.0,0.0,0.00,10
9E,AUS,71,1.0,469.0,39.01,0.00,1
9E,AUS,115,1.0,427.0,13.97,0.00,4
9E,AUS,14,2.0,258.0,57.07,0.00,7
9E,AVL,73,2.0,207.0,15.03,0.00,1
9E,AVL,71,2.0,171.0,7.66,0.00,4
9E,AVL,92,3.0,359.0,23.13,0.00,7
9E,AVL,78,1.0,72.0,5.18,0.00,10
9E,BDL,79,1.0,279.0,12.49,0.00,3
9E,BDL,42,12.0,141.0,9.76,0.00,6
9E,BDL,38,1.0,160.0,6.84,0.00,9
9E,BDL,3,1.0,1.0,0.67,0.00,12
9E,BGM,32,127.0,317.0,27.75,0.00,2
9E,BGM,48,2.0,359.0,19.5,0.00,5
9E,BGM,50,1.0,32.0,2.86,0.00,8
9E,BGM,49,1.0,187.0,18.1,0.00,11
9E,BGR,109,2.0,395.0,18.65,0.00,3
9E,BGR,174,1.0,288.0,16.56,0.00,6
9E,BGR,163,2.0,215.0,4.8,0.00,9
9E,BGR,143,1.0,217.0,8.1,0.00,12
9E,BHM,160,1.0,186.0,16.16,0.00,1
9E,BHM,135,1.0,103.0,5.16,0.00,4
9E,BHM,131,1.0,730.0,21.83,0.00,7
9E,BHM,131,1.0,170.0,7.89,0.00,10
9E,BIS,3,16.0,16.0,10.67,0.00,9
9E,BMI,97,2.0,268.0,9.78,0.00,3
9E,BMI,89,3.0,86.0,4.11,0.00,6
9E,BMI,95,1.0,51.0,2.84,0.00,9
9E,BMI,90,1.0,145.0,8.61,0.00,12
9E,BNA,127,3.0,1132.0,66.58,0.00,1
9E,BNA,220,1.0,1125.0,17.19,0.00,4
9E,BNA,197,1.0,901.0,41.49,0.00,7
9E,BNA,89,1.0,938.0,20.1,0.00,10
9E,BQK,61,2.0,165.0,9.39,0.00,3
9E,BQK,4,26.0,26.0,6.5,0.00,6
9E,BQK,61,5.0,508.0,31.33,0.00,12
9E,BTR,154,1.0,1006.0,15.65,0.00,2
9E,BTR,37,4.0,133.0,8.81,0.00,5
9E,BTR,26,6.0,71.0,3.19,0.00,8
9E,BTR,56,1.0,65.0,3.21,0.00,11
9E,BTV,176,1.0,378.0,17.48,0.00,1
9E,BTV,205,1.0,596.0,11.8,0.00,4
9E,BTV,265,1.0,430.0,24.02,0.00,7
9E,BTV,194,2.0,328.0,7.98,0.00,10
9E,BUF,197,1.0,310.0,21.3,0.00,1
9E,BUF,269,1.0,261.0,4.7,0.00,4
9E,BUF,194,1.0,854.0,28.18,0.00,7
9E,BUF,280,1.0,198.0,5.04,0.00,10
9E,BWI,69,2.0,76.0,9.83,0.00,2
9E,BWI,20,1.0,333.0,43.2,0.00,5
9E,BWI,95,1.0,275.0,22.19,0.00,8
9E,CAE,119,1.0,166.0,11.94,0.00,3
9E,CAE,150,1.0,156.0,9.54,0.00,6
9E,CAE,177,1.0,273.0,10.38,0.00,9
9E,CAE,268,1.0,542.0,11.37,0.00,12
9E,CHA,98,1.0,91.0,4.48,0.00,3
9E,CHA,201,1.0,305.0,10.68,0.00,6
9E,CHA,179,3.0,411.0,8.63,0.00,9
9E,CHA,384,1.0,402.0,15.13,0.00,12
9E,CHO,206,2.0,191.0,19.01,0.00,1
9E,CHO,195,1.0,283.0,15.77,0.00,4
9E,CHO,197,1.0,424.0,29.54,0.00,7
9E,CHO,236,2.0,342.0,10.22,0.00,10
9E,CHS,163,1.0,113.0,5.52,0.00,3
9E,CHS,373,1.0,726.0,20.16,0.00,6
9E,CHS,170,1.0,302.0,6.48,0.00,9
9E,CHS,176,1.0,202.0,18.52,0.00,12
9E,CID,18,1.0,129.0,16.22,0.00,5
9E,CID,37,2.0,9.0,1.3,0.00,11
9E,CLE,314,1.0,1049.0,25.05,0.00,1
9E,CLE,305,1.0,259.0,6.85,0.00,4
9E,CLE,283,1.0,968.0,33.58,0.00,7
9E,CLE,257,1.0,772.0,15.41,0.00,10
9E,CLT,357,2.0,816.0,16.86,0.00,1
9E,CLT,360,1.0,274.0,15.04,0.00,4
9E,CLT,453,1.0,819.0,38.62,0.00,7
9E,CLT,400,1.0,506.0,10.95,0.00,10
9E,CMH,54,1.0,201.0,12.33,0.00,3
9E,CMH,9,46.0,99.0,27.11,0.00,6
9E,CMH,10,7.0,80.0,15.6,0.00,9
9E,CMH,45,1.0,277.0,20.36,0.00,12
9E,CRW,18,13.0,13.0,1.44,0.00,1
9E,CRW,36,2.0,40.0,7.33,0.00,4
9E,CRW,21,64.0,64.0,6.1,0.00,10
9E,CSG,3,41.0,41.0,13.67,0.00,1
9E,CSG,9,0.0,-1.0,0.0,0.00,4
9E,CSG,124,1.0,238.0,30.4,0.00,7
9E,CSG,117,1.0,173.0,6.45,0.00,10
9E,CVG,777,1.0,732.0,16.08,0.00,1
9E,CVG,923,1.0,451.0,10.12,0.00,4
9E,CVG,754,1.0,576.0,26.71,0.00,7
9E,CVG,805,1.0,163.0,5.61,0.00,10
9E,CWA,77,4.0,386.0,10.6,0.00,3
