aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
SJC,12,1626,230,104,"late_aircraft_delay, carrier_delay, nas_delay"
MCW,12,26,1,0,"late_aircraft_delay, nas_delay, carrier_delay"
HOU,4,1825,429,133,"late_aircraft_delay, carrier_delay, nas_delay"
LEX,9,304,43,19,"carrier_delay, late_aircraft_delay, nas_delay"
SDF,1,668,95,80,"carrier_delay, late_aircraft_delay, nas_delay"
STX,2,50,4,7,"nas_delay, late_aircraft_delay, carrier_delay"
BTR,1,137,22,24,"late_aircraft_delay, carrier_delay, nas_delay"
SBA,10,301,30,19,"late_aircraft_delay, carrier_delay, weather_delay"
LRD,8,72,6,4,"late_aircraft_delay, nas_delay, carrier_delay"
ROA,4,93,11,5,"late_aircraft_delay, carrier_delay, nas_delay"
ACK,8,161,17,29,"late_aircraft_delay, nas_delay, carrier_delay"
ITH,8,32,3,4,"late_aircraft_delay, weather_delay, nas_delay"
LBB,11,189,27,21,"carrier_delay, late_aircraft_delay, nas_delay"
LAW,9,40,2,2,"nas_delay, weather_delay, carrier_delay"
LBE,10,35,1,0,"carrier_delay, weather_delay, nas_delay"
JMS,9,23,2,1,"carrier_delay, nas_delay, weather_delay"
LFT,10,114,9,11,"carrier_delay, late_aircraft_delay, nas_delay"
LCK,7,42,9,6,"late_aircraft_delay, carrier_delay, nas_delay"
PLN,12,16,2,2,"carrier_delay, nas_delay, weather_delay"
ORD,3,8718,1300,672,"late_aircraft_delay, carrier_delay, nas_delay"
DTW,11,4560,450,240,"carrier_delay, nas_delay, late_aircraft_delay"
PHX,2,6098,880,277,"late_aircraft_delay, carrier_delay, nas_delay"
BWI,6,2802,1204,380,"late_aircraft_delay, carrier_delay, nas_delay"
AVL,7,385,119,95,"late_aircraft_delay, carrier_delay, nas_delay"
LBB,2,197,20,11,"nas_delay, late_aircraft_delay, carrier_delay"
FAT,8,407,43,32,"carrier_delay, late_aircraft_delay, nas_delay"
CYS,2,15,2,3,"carrier_delay, nas_delay, weather_delay"
ITO,5,236,39,10,"late_aircraft_delay, carrier_delay, nas_delay"
MEI,10,16,1,1,"carrier_delay, nas_delay, weather_delay"
PSE,3,37,5,5,"late_aircraft_delay, carrier_delay, nas_delay"
KTN,8,105,24,7,"late_aircraft_delay, weather_delay, carrier_delay"
SPS,6,23,1,2,"carrier_delay, weather_delay, late_aircraft_delay"
VLD,8,28,2,3,"late_aircraft_delay, carrier_delay, nas_delay"
PVU,10,73,10,15,"carrier_delay, nas_delay, weather_delay"
RFD,9,25,3,2,"carrier_delay, nas_delay, late_aircraft_delay"
BQN,9,49,10,7,"carrier_delay, late_aircraft_delay, nas_delay"
LWS,3,43,3,1,"late_aircraft_delay, carrier_delay, nas_delay"
CLL,11,38,5,3,"late_aircraft_delay, carrier_delay, nas_delay"
BRD,10,13,1,0,"weather_delay, carrier_delay, nas_delay"
ACT,5,28,1,7,"carrier_delay, weather_delay, nas_delay"
MSP,11,4356,371,162,"carrier_delay, nas_delay, late_aircraft_delay"
HNL,6,2180,318,76,"carrier_delay, late_aircraft_delay, nas_delay"
OMA,1,661,110,99,"carrier_delay, nas_delay, weather_delay"
TPA,9,2163,233,143,"late_aircraft_delay, carrier_delay, nas_delay"
PVD,7,443,96,75,"late_aircraft_delay, carrier_delay, nas_delay"
