aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
AVL,11,335,36,28,"late_aircraft_delay, carrier_delay, nas_delay"
ROA,5,103,20,6,"carrier_delay, late_aircraft_delay, nas_delay"
ABE,11,117,10,7,"nas_delay, carrier_delay, late_aircraft_delay"
AZA,8,152,24,10,"carrier_delay, late_aircraft_delay, nas_delay"
PAE,12,37,9,1,"late_aircraft_delay, nas_delay, carrier_delay"
MSN,5,401,50,61,"late_aircraft_delay, carrier_delay, nas_delay"
MFE,11,176,21,10,"late_aircraft_delay, carrier_delay, nas_delay"
ITH,1,9,1,3,"carrier_delay, late_aircraft_delay, weather_delay"
DLH,10,85,4,0,"carrier_delay, nas_delay, weather_delay"
RFD,5,21,7,3,"late_aircraft_delay, nas_delay, carrier_delay"
GUM,12,33,0,1,"nas_delay, carrier_delay, weather_delay"
LBL,11,7,1,0,"late_aircraft_delay, nas_delay, carrier_delay"
BQK,5,19,6,8,"carrier_delay, nas_delay, weather_delay"
BRW,5,12,2,0,"security_delay, nas_delay, late_aircraft_delay"
WYS,9,27,0,3,"carrier_delay, weather_delay, nas_delay"
MIA,10,3291,416,199,"late_aircraft_delay, carrier_delay, nas_delay"
LGA,4,4853,632,399,"carrier_delay, late_aircraft_delay, nas_delay"
SFO,10,4967,672,303,"late_aircraft_delay, carrier_delay, nas_delay"
MCI,9,1844,161,53,"carrier_delay, late_aircraft_delay, nas_delay"
TVC,6,194,36,30,"carrier_delay, late_aircraft_delay, nas_delay"
CAK,4,110,5,13,"weather_delay, late_aircraft_delay, carrier_delay"
PVD,9,530,47,27,"carrier_delay, late_aircraft_delay, nas_delay"
SMF,4,1790,269,100,"late_aircraft_delay, carrier_delay, nas_delay"
GRI,12,21,10,5,"carrier_delay, weather_delay, security_delay"
SAV,6,657,89,49,"late_aircraft_delay, carrier_delay, nas_delay"
SAV,10,727,96,25,"late_aircraft_delay, carrier_delay, nas_delay"
GPT,4,122,10,8,"carrier_delay, late_aircraft_delay, nas_delay"
FNT,12,71,19,9,"nas_delay, carrier_delay, late_aircraft_delay"
BQK,12,22,4,2,"carrier_delay, nas_delay, late_aircraft_delay"
DRO,8,151,18,15,"carrier_delay, nas_delay, late_aircraft_delay"
DAB,1,77,6,6,"carrier_delay, late_aircraft_delay, weather_delay"
USA,8,10,6,3,"late_aircraft_delay, weather_delay, nas_delay"
YAK,3,22,4,4,"late_aircraft_delay, weather_delay, nas_delay"
LSE,8,9,1,1,"carrier_delay, weather_delay, nas_delay"
HHH,3,33,7,3,"late_aircraft_delay, nas_delay, carrier_delay"
FNT,2,65,9,5,"carrier_delay, nas_delay, late_aircraft_delay"
OTH,10,12,1,4,"carrier_delay, late_aircraft_delay, nas_delay"
PSM,12,17,2,2,"nas_delay, late_aircraft_delay, carrier_delay"
BRW,2,11,2,1,"late_aircraft_delay, weather_delay, nas_delay"
SCK,9,5,6,4,"carrier_delay, late_aircraft_delay, nas_delay"
LGA,7,4541,964,887,"late_aircraft_delay, carrier_delay, nas_delay"
SFO,5,3592,1077,480,"late_aircraft_delay, carrier_delay, nas_delay"
COS,6,487,76,35,"late_aircraft_delay, carrier_delay, nas_delay"
LGA,3,4527,719,421,"late_aircraft_delay, carrier_delay, nas_delay"
IAH,1,2982,637,448,"late_aircraft_delay, carrier_delay, nas_delay"
SFO,2,3239,823,473,"late_aircraft_delay, carrier_delay, nas_delay"
ISP,8,116,28,28,"late_aircraft_delay, nas_delay, carrier_delay"
MSN,11,438,37,18,"carrier_delay, late_aircraft_delay, nas_delay"
RNO,3,644,123,66,"late_aircraft_delay, nas_delay, carrier_delay"
PSE,9,22,1,0,"late_aircraft_delay, carrier_delay, weather_delay"
PIA,4,100,19,9,"late_aircraft_delay, nas_delay, carrier_delay"
GGG,12,28,1,4,"carrier_delay, nas_delay, weather_delay"
ECP,10,291,33,8,"late_aircraft_delay, carrier_delay, nas_delay"
EYW,5,205,48,47,"late_aircraft_delay, nas_delay, weather_delay"
AEX,11,79,6,8,"carrier_delay, late_aircraft_delay, weather_delay"
WRG,2,29,3,0,"late_aircraft_delay, nas_delay, carrier_delay"
SYR,8,436,82,52,"carrier_delay, late_aircraft_delay, nas_delay"
SWF,6,11,6,3,"late_aircraft_delay, carrier_delay, weather_delay"
TWF,11,17,1,0,"carrier_delay, weather_delay, nas_delay"
TWF,8,30,1,0,"carrier_delay, nas_delay, weather_delay"
TYR,11,33,6,2,"weather_delay, late_aircraft_delay, carrier_delay"
USA,11,23,9,0,"late_aircraft_delay, nas_delay, carrier_delay"
HIB,10,24,0,2,"carrier_delay, nas_delay, weather_delay"
ROW,9,40,6,4,"weather_delay, carrier_delay, late_aircraft_delay"
MQT,2,17,1,3,"late_aircraft_delay, carrier_delay, weather_delay"
SPS,10,26,0,3,"carrier_delay, late_aircraft_delay, weather_delay"
TOL,9,1,0,2,"weather_delay, carrier_delay, nas_delay"
ANC,9,730,85,24,"carrier_delay, late_aircraft_delay, nas_delay"
MLI,11,145,14,8,"carrier_delay, late_aircraft_delay, weather_delay"
PAE,2,44,3,1,"nas_delay, carrier_delay, late_aircraft_delay"
SGF,5,251,51,50,"carrier_delay, late_aircraft_delay, weather_delay"
PSC,5,199,14,11,"carrier_delay, nas_delay, late_aircraft_delay"
RDD,9,57,8,4,"late_aircraft_delay, weather_delay, carrier_delay"
JAC,11,56,7,9,"carrier_delay, late_aircraft_delay, weather_delay"
PIE,10,256,26,10,"carrier_delay, nas_delay, late_aircraft_delay"
GNV,3,96,11,5,"carrier_delay, nas_delay, late_aircraft_delay"
FSM,11,36,2,4,"late_aircraft_delay, nas_delay, carrier_delay"
TRI,10,108,13,2,"carrier_delay, late_aircraft_delay, nas_delay"
FNT,10,60,10,6,"carrier_delay, late_aircraft_delay, nas_delay"
SUX,10,29,2,1,"late_aircraft_delay, carrier_delay, nas_delay"
CPR,1,23,2,0,"carrier_delay, late_aircraft_delay, weather_delay"
AZA,4,200,10,1,"nas_delay, carrier_delay, security_delay"
MHK,12,35,5,1,"nas_delay, late_aircraft_delay, carrier_delay"
MDW,3,2439,599,214,"late_aircraft_delay, carrier_delay, nas_delay"
EUG,10,280,27,13,"carrier_delay, late_aircraft_delay, nas_delay"
SNA,7,1383,247,130,"late_aircraft_delay, carrier_delay, nas_delay"
BHM,2,545,39,24,"carrier_delay, late_aircraft_delay, nas_delay"
GRK,1,42,5,8,"carrier_delay, late_aircraft_delay, weather_delay"
SDF,12,735,101,45,"late_aircraft_delay, carrier_delay, nas_delay"
ABQ,3,759,121,55,"late_aircraft_delay, carrier_delay, nas_delay"
PSC,10,227,9,12,"carrier_delay, weather_delay, late_aircraft_delay"
LWS,2,32,1,5,"carrier_delay, nas_delay, weather_delay"
FNT,11,74,7,10,"carrier_delay, late_aircraft_delay, nas_delay"
HHH,10,77,12,1,"nas_delay, late_aircraft_delay, carrier_delay"
JNU,1,97,23,18,"late_aircraft_delay, carrier_delay, nas_delay"
EYW,8,167,30,33,"late_aircraft_delay, carrier_delay, weather_delay"
VLD,2,23,3,2,"late_aircraft_delay, weather_delay, nas_delay"
GRB,1,88,16,27,"late_aircraft_delay, carrier_delay, weather_delay"
SLN,9,24,3,3,"carrier_delay, late_aircraft_delay, weather_delay"
FLG,4,63,1,4,"carrier_delay, nas_delay, weather_delay"
SIT,5,53,4,1,"late_aircraft_delay, nas_delay, carrier_delay"
AEX,12,57,9,1,"carrier_delay, nas_delay, weather_delay"
SMX,1,4,0,2,"carrier_delay, late_aircraft_delay, weather_delay"
CDC,7,19,0,4,"carrier_delay, weather_delay, nas_delay"
BNA,9,3463,489,157,"late_aircraft_delay, carrier_delay, nas_delay"
TYS,2,432,29,10,"late_aircraft_delay, carrier_delay, nas_delay"
OAK,4,1407,213,61,"late_aircraft_delay, carrier_delay, nas_delay"
MIA,9,2872,459,212,"carrier_delay, nas_delay, late_aircraft_delay"
STS,10,144,27,12,"late_aircraft_delay, carrier_delay, nas_delay"
TUS,6,549,96,46,"carrier_delay, late_aircraft_delay, nas_delay"
COS,7,450,98,41,"late_aircraft_delay, carrier_delay, nas_delay"
GSP,5,533,90,66,"late_aircraft_delay, carrier_delay, nas_delay"
HDN,3,136,26,17,"carrier_delay, late_aircraft_delay, nas_delay"
RIC,1,493,78,42,"carrier_delay, late_aircraft_delay, nas_delay"
YUM,8,68,3,5,"late_aircraft_delay, carrier_delay, nas_delay"
LAR,2,23,2,2,"weather_delay, nas_delay, carrier_delay"
DVL,2,13,2,2,"late_aircraft_delay, carrier_delay, nas_delay"
BJI,5,30,2,2,"carrier_delay, nas_delay, weather_delay"
LNK,4,43,6,4,"carrier_delay, late_aircraft_delay, nas_delay"
LAN,2,43,4,0,"nas_delay, late_aircraft_delay, carrier_delay"
BTM,10,17,0,0,"carrier_delay, weather_delay, nas_delay"
BGM,8,15,1,0,"nas_delay, carrier_delay, weather_delay"
OAK,12,1232,276,84,"late_aircraft_delay, carrier_delay, nas_delay"
TLH,7,165,36,23,"carrier_delay, late_aircraft_delay, nas_delay"
CRW,9,110,10,19,"carrier_delay, late_aircraft_delay, weather_delay"
CHA,7,182,44,25,"late_aircraft_delay, carrier_delay, nas_delay"
CPR,6,71,19,8,"carrier_delay, nas_delay, late_aircraft_delay"
GSP,8,587,71,48,"late_aircraft_delay, carrier_delay, nas_delay"
ELM,5,27,2,3,"late_aircraft_delay, weather_delay, carrier_delay"
FAT,4,365,48,29,"late_aircraft_delay, carrier_delay, weather_delay"
WRG,10,23,3,1,"late_aircraft_delay, nas_delay, carrier_delay"
MHK,7,40,3,4,"late_aircraft_delay, nas_delay, carrier_delay"
VCT,3,19,1,2,"weather_delay, late_aircraft_delay, carrier_delay"
AVP,6,58,10,6,"late_aircraft_delay, weather_delay, nas_delay"
GTR,8,31,1,0,"late_aircraft_delay, carrier_delay, weather_delay"
MEI,11,21,2,0,"carrier_delay, nas_delay, weather_delay"
MCW,3,23,2,3,"late_aircraft_delay, nas_delay, carrier_delay"
PBG,2,10,5,4,"late_aircraft_delay, nas_delay, weather_delay"
ANC,7,858,187,59,"carrier_delay, late_aircraft_delay, nas_delay"
MDW,12,2171,549,159,"late_aircraft_delay, carrier_delay, nas_delay"
BWI,5,2830,1087,412,"late_aircraft_delay, carrier_delay, nas_delay"
ILM,12,272,45,26,"late_aircraft_delay, carrier_delay, nas_delay"
BDL,5,711,139,84,"late_aircraft_delay, carrier_delay, nas_delay"
RAP,10,230,12,8,"carrier_delay, late_aircraft_delay, nas_delay"
MSO,1,83,16,15,"weather_delay, late_aircraft_delay, carrier_delay"
TLH,4,239,24,12,"late_aircraft_delay, nas_delay, carrier_delay"
CMI,6,41,6,8,"carrier_delay, weather_delay, late_aircraft_delay"
CAE,1,187,23,17,"late_aircraft_delay, carrier_delay, nas_delay"
SUN,3,80,16,8,"weather_delay, nas_delay, carrier_delay"
ABQ,7,805,157,94,"late_aircraft_delay, carrier_delay, nas_delay"
GUM,3,27,0,0,"carrier_delay, weather_delay, nas_delay"
STC,12,4,2,1,"weather_delay, nas_delay, carrier_delay"
JAC,1,165,47,32,"late_aircraft_delay, carrier_delay, nas_delay"
TVC,5,92,22,7,"late_aircraft_delay, carrier_delay, nas_delay"
MLU,3,63,9,2,"weather_delay, nas_delay, late_aircraft_delay"
LBL,6,22,3,2,"carrier_delay, nas_delay, weather_delay"
ABR,6,17,7,2,"carrier_delay, nas_delay, weather_delay"
PQI,12,11,0,1,"late_aircraft_delay, nas_delay, carrier_delay"
PAE,8,23,4,2,"late_aircraft_delay, weather_delay, nas_delay"
MVY,10,16,1,0,"late_aircraft_delay, nas_delay, carrier_delay"
LAS,3,5672,1390,785,"late_aircraft_delay, carrier_delay, nas_delay"
CLT,1,5696,1324,804,"late_aircraft_delay, carrier_delay, nas_delay"
LAR,12,20,1,1,"carrier_delay, late_aircraft_delay, weather_delay"
SHV,4,129,13,12,"late_aircraft_delay, weather_delay, carrier_delay"
OKC,11,790,91,45,"late_aircraft_delay, carrier_delay, nas_delay"
SGF,6,346,63,51,"carrier_delay, late_aircraft_delay, nas_delay"
SBA,11,279,20,22,"late_aircraft_delay, nas_delay, carrier_delay"
MRY,9,169,14,8,"weather_delay, carrier_delay, late_aircraft_delay"
ASE,11,122,21,22,"late_aircraft_delay, carrier_delay, weather_delay"
MFR,6,146,23,14,"carrier_delay, nas_delay, late_aircraft_delay"
ORH,9,37,1,2,"carrier_delay, nas_delay, late_aircraft_delay"
CRW,12,85,12,16,"carrier_delay, late_aircraft_delay, nas_delay"
EKO,4,16,1,0,"carrier_delay, weather_delay, nas_delay"
SIT,10,37,2,0,"weather_delay, late_aircraft_delay, nas_delay"
TXK,3,26,2,2,"weather_delay, nas_delay, late_aircraft_delay"
LAW,3,38,2,3,"carrier_delay, late_aircraft_delay, weather_delay"
BTM,6,20,5,1,"carrier_delay, weather_delay, nas_delay"
BNA,3,3207,547,254,"late_aircraft_delay, carrier_delay, nas_delay"
BWI,10,3254,724,98,"carrier_delay, late_aircraft_delay, nas_delay"
BZN,11,241,21,17,"carrier_delay, nas_delay, late_aircraft_delay"
AZO,3,41,3,1,"carrier_delay, nas_delay, weather_delay"
TRI,4,58,3,4,"carrier_delay, nas_delay, late_aircraft_delay"
SCE,4,24,2,3,"carrier_delay, late_aircraft_delay, weather_delay"
DVL,12,16,2,3,"weather_delay, late_aircraft_delay, carrier_delay"
DEC,6,17,1,5,"carrier_delay, late_aircraft_delay, nas_delay"
RDU,5,2059,393,290,"late_aircraft_delay, nas_delay, carrier_delay"
PDX,5,2011,307,173,"late_aircraft_delay, carrier_delay, nas_delay"
PVD,3,423,50,27,"late_aircraft_delay, nas_delay, carrier_delay"
OAK,2,1303,231,72,"late_aircraft_delay, carrier_delay, nas_delay"
CHS,3,860,137,67,"late_aircraft_delay, carrier_delay, nas_delay"
SHR,7,31,2,2,"carrier_delay, late_aircraft_delay, nas_delay"
MFR,1,142,12,15,"carrier_delay, late_aircraft_delay, weather_delay"
ANC,3,461,76,34,"late_aircraft_delay, carrier_delay, nas_delay"
LNK,11,89,9,5,"carrier_delay, late_aircraft_delay, weather_delay"
ITO,2,252,19,4,"late_aircraft_delay, carrier_delay, weather_delay"
YUM,10,75,8,4,"carrier_delay, late_aircraft_delay, nas_delay"
RIW,5,14,1,2,"late_aircraft_delay, nas_delay, carrier_delay"
HRL,11,175,10,6,"carrier_delay, late_aircraft_delay, nas_delay"
OTH,7,14,2,5,"carrier_delay, late_aircraft_delay, weather_delay"
BET,7,20,8,0,"late_aircraft_delay, security_delay, carrier_delay"
ACV,3,49,12,6,"nas_delay, carrier_delay, late_aircraft_delay"
PSG,11,23,1,1,"carrier_delay, weather_delay, nas_delay"
TRI,12,65,9,6,"late_aircraft_delay, carrier_delay, nas_delay"
EKO,2,16,0,1,"weather_delay, carrier_delay, nas_delay"
YAK,12,24,2,0,"weather_delay, late_aircraft_delay, carrier_delay"
JLN,9,15,2,4,"late_aircraft_delay, weather_delay, carrier_delay"
SLC,8,3804,595,341,"carrier_delay, late_aircraft_delay, nas_delay"
GSP,10,622,44,32,"late_aircraft_delay, carrier_delay, nas_delay"
PBI,4,1046,168,127,"late_aircraft_delay, carrier_delay, nas_delay"
VPS,9,331,41,17,"late_aircraft_delay, carrier_delay, nas_delay"
WYS,6,17,0,4,"weather_delay, carrier_delay, late_aircraft_delay"
FWA,6,139,28,29,"carrier_delay, late_aircraft_delay, weather_delay"
LCK,5,27,3,5,"late_aircraft_delay, weather_delay, nas_delay"
JAC,7,264,36,38,"late_aircraft_delay, carrier_delay, nas_delay"
HDN,7,45,11,8,"late_aircraft_delay, nas_delay, carrier_delay"
ACY,5,114,12,6,"nas_delay, late_aircraft_delay, carrier_delay"
EVV,10,91,5,6,"carrier_delay, late_aircraft_delay, nas_delay"
YUM,12,73,10,4,"carrier_delay, late_aircraft_delay, nas_delay"
BJI,10,22,1,2,"carrier_delay, weather_delay, nas_delay"
JMS,6,9,1,2,"late_aircraft_delay, nas_delay, carrier_delay"
FLG,2,52,5,3,"carrier_delay, weather_delay, late_aircraft_delay"
JST,3,20,1,0,"nas_delay, carrier_delay, weather_delay"
PLN,2,11,1,2,"carrier_delay, weather_delay, nas_delay"
OTZ,7,9,0,1,"late_aircraft_delay, nas_delay, carrier_delay"
STC,6,5,0,0,"carrier_delay, weather_delay, nas_delay"
SRQ,1,555,105,87,"late_aircraft_delay, carrier_delay, weather_delay"
ATL,2,10726,1149,331,"carrier_delay, nas_delay, late_aircraft_delay"
TPA,2,2703,321,128,"late_aircraft_delay, carrier_delay, nas_delay"
IAD,12,1682,271,163,"carrier_delay, late_aircraft_delay, nas_delay"
BOS,12,4076,813,533,"late_aircraft_delay, carrier_delay, nas_delay"
PWM,7,499,88,52,"late_aircraft_delay, carrier_delay, nas_delay"
SFB,7,360,89,53,"carrier_delay, late_aircraft_delay, weather_delay"
MYR,4,578,72,38,"late_aircraft_delay, carrier_delay, nas_delay"
ABI,4,52,7,4,"late_aircraft_delay, weather_delay, nas_delay"
LSE,1,1,2,1,"carrier_delay, weather_delay, nas_delay"
MHT,11,177,9,7,"late_aircraft_delay, nas_delay, carrier_delay"
STX,5,31,7,8,"late_aircraft_delay, nas_delay, weather_delay"
ABY,8,23,3,4,"carrier_delay, weather_delay, nas_delay"
MSO,12,134,15,10,"late_aircraft_delay, weather_delay, carrier_delay"
BPT,10,18,1,2,"weather_delay, carrier_delay, nas_delay"
EKO,10,14,0,0,"carrier_delay, weather_delay, nas_delay"
AZO,1,29,4,1,"carrier_delay, weather_delay, nas_delay"
HTS,5,4,3,5,"late_aircraft_delay, nas_delay, carrier_delay"
TXK,10,29,2,3,"weather_delay, late_aircraft_delay, carrier_delay"
BPT,2,35,0,1,"carrier_delay, nas_delay, weather_delay"
HOU,9,1820,278,42,"carrier_delay, late_aircraft_delay, nas_delay"
AMA,10,202,21,8,"late_aircraft_delay, carrier_delay, nas_delay"
MDW,7,2558,986,431,"late_aircraft_delay, carrier_delay, nas_delay"
BUF,4,725,83,41,"late_aircraft_delay, nas_delay, carrier_delay"
ASE,6,240,45,41,"carrier_delay, late_aircraft_delay, weather_delay"
ANC,12,461,63,20,"late_aircraft_delay, carrier_delay, nas_delay"
PSG,6,30,3,2,"late_aircraft_delay, carrier_delay, nas_delay"
CID,4,256,28,21,"late_aircraft_delay, nas_delay, carrier_delay"
FAR,4,210,17,11,"carrier_delay, weather_delay, nas_delay"
OAJ,12,59,7,8,"late_aircraft_delay, carrier_delay, nas_delay"
LSE,6,5,1,0,"late_aircraft_delay, nas_delay, carrier_delay"
MSO,9,160,18,7,"carrier_delay, late_aircraft_delay, nas_delay"
FWA,11,183,17,12,"carrier_delay, weather_delay, nas_delay"
MYR,11,434,44,23,"nas_delay, late_aircraft_delay, carrier_delay"
SIT,11,39,4,1,"late_aircraft_delay, nas_delay, carrier_delay"
BRO,5,72,13,8,"carrier_delay, weather_delay, nas_delay"
PIA,3,118,17,17,"late_aircraft_delay, carrier_delay, nas_delay"
MHT,6,225,19,12,"late_aircraft_delay, nas_delay, carrier_delay"
SGU,12,126,7,4,"carrier_delay, nas_delay, weather_delay"
LRD,7,68,12,15,"carrier_delay, late_aircraft_delay, nas_delay"
PLN,7,41,6,7,"carrier_delay, weather_delay, nas_delay"
CNY,1,13,0,2,"late_aircraft_delay, carrier_delay, weather_delay"
TWF,5,27,0,3,"carrier_delay, nas_delay, weather_delay"
SWF,4,13,4,1,"nas_delay, late_aircraft_delay, carrier_delay"
LSE,10,21,0,1,"late_aircraft_delay, carrier_delay, weather_delay"
CDV,8,19,10,0,"late_aircraft_delay, carrier_delay, nas_delay"
LAX,12,6361,945,500,"late_aircraft_delay, carrier_delay, nas_delay"
PIA,2,127,4,10,"carrier_delay, late_aircraft_delay, nas_delay"
ABE,3,155,17,10,"late_aircraft_delay, nas_delay, carrier_delay"
CAE,9,246,19,24,"late_aircraft_delay, carrier_delay, nas_delay"
LIT,7,404,110,77,"late_aircraft_delay, carrier_delay, nas_delay"
CPR,7,96,10,8,"carrier_delay, nas_delay, late_aircraft_delay"
SJU,9,810,98,57,"carrier_delay, late_aircraft_delay, nas_delay"
GGG,8,28,5,2,"late_aircraft_delay, carrier_delay, nas_delay"
SYR,4,445,39,27,"carrier_delay, late_aircraft_delay, nas_delay"
BTR,7,148,27,25,"carrier_delay, late_aircraft_delay, nas_delay"
BIS,12,124,21,22,"carrier_delay, weather_delay, nas_delay"
BMI,4,50,2,4,"late_aircraft_delay, weather_delay, nas_delay"
SFB,11,271,59,17,"carrier_delay, late_aircraft_delay, nas_delay"
STX,9,14,5,0,"late_aircraft_delay, carrier_delay, nas_delay"
DAY,10,285,9,14,"carrier_delay, late_aircraft_delay, nas_delay"
JMS,8,25,4,1,"carrier_delay, late_aircraft_delay, nas_delay"
FAR,3,222,21,13,"carrier_delay, late_aircraft_delay, weather_delay"
LCH,10,42,4,6,"carrier_delay, weather_delay, late_aircraft_delay"
MTJ,2,125,29,11,"late_aircraft_delay, nas_delay, carrier_delay"
LFT,8,112,12,10,"carrier_delay, late_aircraft_delay, weather_delay"
ALW,2,26,0,1,"nas_delay, late_aircraft_delay, carrier_delay"
HTS,12,5,7,4,"late_aircraft_delay, nas_delay, carrier_delay"
DEC,8,15,2,3,"carrier_delay, late_aircraft_delay, nas_delay"
GSO,6,402,42,33,"late_aircraft_delay, carrier_delay, weather_delay"
OGG,8,944,95,27,"late_aircraft_delay, carrier_delay, nas_delay"
BUF,6,735,127,91,"late_aircraft_delay, nas_delay, carrier_delay"
HOU,6,1679,599,254,"late_aircraft_delay, carrier_delay, nas_delay"
SBA,7,325,28,30,"carrier_delay, late_aircraft_delay, nas_delay"
FAI,10,123,16,2,"late_aircraft_delay, nas_delay, carrier_delay"
GRB,6,137,25,15,"carrier_delay, nas_delay, weather_delay"
PAE,5,45,2,1,"late_aircraft_delay, carrier_delay, nas_delay"
TWF,9,27,1,0,"carrier_delay, nas_delay, weather_delay"
ACV,5,45,6,5,"nas_delay, carrier_delay, late_aircraft_delay"
FLG,1,46,5,3,"carrier_delay, nas_delay, weather_delay"
BZN,10,322,34,8,"late_aircraft_delay, nas_delay, carrier_delay"
ROA,6,94,14,15,"carrier_delay, weather_delay, late_aircraft_delay"
MHT,12,154,27,15,"carrier_delay, late_aircraft_delay, nas_delay"
BQN,12,72,17,10,"late_aircraft_delay, carrier_delay, nas_delay"
BLV,4,26,2,0,"carrier_delay, weather_delay, nas_delay"
YUM,4,59,2,4,"nas_delay, late_aircraft_delay, carrier_delay"
DLH,3,65,3,5,"late_aircraft_delay, weather_delay, carrier_delay"
SBA,9,266,28,18,"carrier_delay, late_aircraft_delay, nas_delay"
TLH,11,214,16,5,"late_aircraft_delay, carrier_delay, nas_delay"
BLV,11,27,6,1,"late_aircraft_delay, carrier_delay, nas_delay"
LCH,5,29,5,9,"carrier_delay, weather_delay, nas_delay"
TOL,12,13,3,4,"late_aircraft_delay, nas_delay, carrier_delay"
PHL,12,2701,561,321,"late_aircraft_delay, carrier_delay, nas_delay"
BOS,6,4448,848,597,"late_aircraft_delay, carrier_delay, nas_delay"
STL,2,1911,237,80,"late_aircraft_delay, carrier_delay, nas_delay"
AGS,9,146,16,14,"late_aircraft_delay, carrier_delay, weather_delay"
BHM,1,505,70,59,"late_aircraft_delay, carrier_delay, nas_delay"
PVD,8,503,88,51,"late_aircraft_delay, nas_delay, carrier_delay"
IND,7,1482,299,209,"late_aircraft_delay, carrier_delay, nas_delay"
LBB,1,162,26,27,"late_aircraft_delay, carrier_delay, weather_delay"
OKC,8,818,103,78,"carrier_delay, late_aircraft_delay, nas_delay"
ACY,9,85,8,2,"carrier_delay, nas_delay, late_aircraft_delay"
ESC,9,23,2,1,"carrier_delay, weather_delay, nas_delay"
BLV,12,12,14,7,"late_aircraft_delay, carrier_delay, weather_delay"
MGM,8,81,13,6,"late_aircraft_delay, carrier_delay, weather_delay"
BPT,3,27,2,3,"late_aircraft_delay, weather_delay, nas_delay"
RST,5,54,8,8,"carrier_delay, nas_delay, weather_delay"
YUM,5,53,4,8,"carrier_delay, late_aircraft_delay, nas_delay"
HHH,2,27,1,2,"late_aircraft_delay, security_delay, nas_delay"
SCE,5,28,3,6,"weather_delay, late_aircraft_delay, carrier_delay"
ELM,12,31,6,3,"carrier_delay, nas_delay, late_aircraft_delay"
