aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
SAV,10,162,19,5,"late_aircraft_delay, weather_delay, carrier_delay"
GPT,4,30,0,1,"weather_delay, nas_delay, late_aircraft_delay"
FNT,12,15,1,3,"carrier_delay, nas_delay, weather_delay"
BQK,12,4,0,0,"carrier_delay, weather_delay, nas_delay"
DRO,8,35,2,2,"carrier_delay, late_aircraft_delay, nas_delay"
DAB,1,19,1,0,"late_aircraft_delay, carrier_delay, weather_delay"
USA,8,3,3,1,"late_aircraft_delay, nas_delay, weather_delay"
YAK,3,3,0,2,"late_aircraft_delay, carrier_delay, weather_delay"
LSE,8,2,0,0,"carrier_delay, weather_delay, nas_delay"
HHH,3,3,0,0,"carrier_delay, weather_delay, nas_delay"
FNT,2,9,1,0,"nas_delay, carrier_delay, weather_delay"
OTH,10,2,0,0,"carrier_delay, weather_delay, nas_delay"
PSM,12,2,0,1,"late_aircraft_delay, nas_delay, carrier_delay"
BRW,2,3,0,0,"carrier_delay, weather_delay, nas_delay"
SCK,9,1,0,0,"carrier_delay, weather_delay, nas_delay"
LGA,7,927,196,183,"late_aircraft_delay, carrier_delay, nas_delay"
SFO,5,736,202,97,"late_aircraft_delay, carrier_delay, nas_delay"
COS,6,84,16,7,"late_aircraft_delay, nas_delay, carrier_delay"
LGA,3,855,164,84,"late_aircraft_delay, carrier_delay, nas_delay"
IAH,1,605,124,112,"late_aircraft_delay, carrier_delay, nas_delay"
SFO,2,641,157,86,"late_aircraft_delay, carrier_delay, nas_delay"
ISP,8,25,3,4,"late_aircraft_delay, nas_delay, weather_delay"
MSN,11,91,6,4,"late_aircraft_delay, carrier_delay, nas_delay"
RNO,3,132,21,15,"late_aircraft_delay, nas_delay, carrier_delay"
PSE,9,10,0,0,"carrier_delay, weather_delay, nas_delay"
PIA,4,22,8,1,"late_aircraft_delay, carrier_delay, nas_delay"
GGG,12,6,0,1,"carrier_delay, nas_delay, weather_delay"
ECP,10,62,6,2,"late_aircraft_delay, nas_delay, carrier_delay"
EYW,5,46,7,9,"late_aircraft_delay, nas_delay, weather_delay"
AEX,11,16,1,0,"carrier_delay, weather_delay, nas_delay"
WRG,2,7,0,0,"carrier_delay, weather_delay, nas_delay"
SYR,8,77,23,9,"carrier_delay, late_aircraft_delay, nas_delay"
SWF,6,2,1,0,"carrier_delay, weather_delay, nas_delay"
TWF,11,4,0,0,"carrier_delay, weather_delay, nas_delay"
TWF,8,6,0,0,"carrier_delay, weather_delay, nas_delay"
TYR,11,7,0,0,"carrier_delay, weather_delay, nas_delay"
USA,11,8,3,0,"late_aircraft_delay, nas_delay, carrier_delay"
HIB,10,6,0,1,"carrier_delay, weather_delay, nas_delay"
ROW,9,7,2,0,"weather_delay, late_aircraft_delay, nas_delay"
MQT,2,1,0,2,"late_aircraft_delay, carrier_delay, weather_delay"
SPS,10,3,0,0,"carrier_delay, weather_delay, nas_delay"
ANC,9,147,15,5,"late_aircraft_delay, carrier_delay, nas_delay"
MLI,11,35,2,0,"carrier_delay, late_aircraft_delay, nas_delay"
PAE,2,7,0,0,"nas_delay, carrier_delay, weather_delay"
SGF,5,50,11,10,"carrier_delay, late_aircraft_delay, weather_delay"
PSC,5,39,3,2,"carrier_delay, nas_delay, weather_delay"
RDD,9,11,1,0,"nas_delay, carrier_delay, weather_delay"
JAC,11,13,2,3,"late_aircraft_delay, carrier_delay, nas_delay"
PIE,10,62,1,2,"carrier_delay, late_aircraft_delay, nas_delay"
GNV,3,22,6,1,"carrier_delay, late_aircraft_delay, nas_delay"
FSM,11,12,0,0,"carrier_delay, weather_delay, nas_delay"
TRI,10,22,2,0,"carrier_delay, weather_delay, nas_delay"
FNT,10,9,1,0,"nas_delay, carrier_delay, weather_delay"
SUX,10,5,2,1,"late_aircraft_delay, carrier_delay, nas_delay"
CPR,1,4,0,0,"carrier_delay, weather_delay, nas_delay"
AZA,4,39,0,0,"nas_delay, carrier_delay, weather_delay"
MHK,12,5,0,0,"carrier_delay, weather_delay, nas_delay"
MDW,3,522,109,42,"late_aircraft_delay, carrier_delay, nas_delay"
EUG,10,61,6,4,"carrier_delay, nas_delay, late_aircraft_delay"
SNA,7,294,52,23,"late_aircraft_delay, carrier_delay, nas_delay"
BHM,2,118,9,8,"late_aircraft_delay, nas_delay, carrier_delay"
GRK,1,8,0,3,"late_aircraft_delay, carrier_delay, weather_delay"
SDF,12,153,15,8,"late_aircraft_delay, nas_delay, carrier_delay"
ABQ,3,158,24,13,"late_aircraft_delay, nas_delay, carrier_delay"
PSC,10,47,2,2,"carrier_delay, late_aircraft_delay, weather_delay"
LWS,2,10,1,1,"carrier_delay, weather_delay, nas_delay"
FNT,11,16,2,3,"late_aircraft_delay, carrier_delay, weather_delay"
HHH,10,7,2,0,"late_aircraft_delay, nas_delay, carrier_delay"
JNU,1,23,4,1,"nas_delay, late_aircraft_delay, weather_delay"
EYW,8,25,4,3,"late_aircraft_delay, weather_delay, carrier_delay"
VLD,2,3,0,0,"carrier_delay, weather_delay, nas_delay"
GRB,1,17,4,9,"carrier_delay, weather_delay, nas_delay"
SLN,9,4,1,1,"carrier_delay, late_aircraft_delay, weather_delay"
FLG,4,12,1,0,"carrier_delay, nas_delay, weather_delay"
SIT,5,13,0,0,"late_aircraft_delay, nas_delay, carrier_delay"
AEX,12,11,2,0,"nas_delay, weather_delay, carrier_delay"
SMX,1,2,0,0,"carrier_delay, weather_delay, nas_delay"
BNA,9,680,95,35,"carrier_delay, late_aircraft_delay, nas_delay"
TYS,2,84,5,1,"late_aircraft_delay, nas_delay, carrier_delay"
OAK,4,281,49,11,"carrier_delay, late_aircraft_delay, nas_delay"
MIA,9,585,83,46,"carrier_delay, nas_delay, late_aircraft_delay"
STS,10,34,4,1,"carrier_delay, late_aircraft_delay, nas_delay"
TUS,6,117,20,7,"carrier_delay, late_aircraft_delay, nas_delay"
COS,7,89,24,7,"late_aircraft_delay, carrier_delay, nas_delay"
GSP,5,101,19,14,"late_aircraft_delay, carrier_delay, nas_delay"
HDN,3,22,3,4,"late_aircraft_delay, carrier_delay, nas_delay"
RIC,1,91,12,9,"nas_delay, late_aircraft_delay, carrier_delay"
YUM,8,11,0,1,"carrier_delay, weather_delay, nas_delay"
LAR,2,5,0,0,"carrier_delay, weather_delay, nas_delay"
DVL,2,3,0,0,"carrier_delay, weather_delay, nas_delay"
BJI,5,5,0,0,"carrier_delay, weather_delay, nas_delay"
LNK,4,6,2,1,"carrier_delay, late_aircraft_delay, nas_delay"
LAN,2,5,0,0,"carrier_delay, weather_delay, nas_delay"
BTM,10,6,0,0,"carrier_delay, weather_delay, nas_delay"
BGM,8,1,0,0,"carrier_delay, weather_delay, nas_delay"
OAK,12,255,55,18,"late_aircraft_delay, nas_delay, carrier_delay"
TLH,7,31,8,3,"late_aircraft_delay, carrier_delay, nas_delay"
CRW,9,27,0,8,"carrier_delay, weather_delay, late_aircraft_delay"
CHA,7,27,7,3,"carrier_delay, nas_delay, late_aircraft_delay"
CPR,6,20,4,1,"nas_delay, weather_delay, carrier_delay"
GSP,8,107,13,16,"carrier_delay, late_aircraft_delay, nas_delay"
ELM,5,2,1,1,"carrier_delay, weather_delay, nas_delay"
FAT,4,84,9,6,"late_aircraft_delay, carrier_delay, nas_delay"
WRG,10,5,0,0,"carrier_delay, weather_delay, nas_delay"
MHK,7,4,1,1,"nas_delay, carrier_delay, weather_delay"
VCT,3,4,0,0,"carrier_delay, weather_delay, nas_delay"
AVP,6,10,1,1,"late_aircraft_delay, nas_delay, weather_delay"
GTR,8,5,0,0,"carrier_delay, weather_delay, nas_delay"
MEI,11,3,1,0,"carrier_delay, nas_delay, weather_delay"
MCW,3,2,0,2,"late_aircraft_delay, carrier_delay, weather_delay"
PBG,2,1,1,0,"carrier_delay, weather_delay, nas_delay"
ANC,7,163,39,15,"carrier_delay, late_aircraft_delay, nas_delay"
MDW,12,423,101,30,"late_aircraft_delay, carrier_delay, nas_delay"
BWI,5,564,218,80,"late_aircraft_delay, carrier_delay, nas_delay"
ILM,12,52,8,6,"late_aircraft_delay, nas_delay, carrier_delay"
BDL,5,143,30,11,"nas_delay, late_aircraft_delay, carrier_delay"
RAP,10,51,3,1,"weather_delay, nas_delay, late_aircraft_delay"
MSO,1,22,5,5,"late_aircraft_delay, weather_delay, nas_delay"
TLH,4,45,3,3,"weather_delay, late_aircraft_delay, nas_delay"
CMI,6,5,2,2,"carrier_delay, late_aircraft_delay, weather_delay"
CAE,1,28,7,2,"late_aircraft_delay, carrier_delay, nas_delay"
SUN,3,12,6,0,"nas_delay, weather_delay, carrier_delay"
ABQ,7,146,29,18,"late_aircraft_delay, carrier_delay, nas_delay"
GUM,3,7,0,0,"carrier_delay, weather_delay, nas_delay"
STC,12,1,1,0,"carrier_delay, weather_delay, nas_delay"
JAC,1,34,8,8,"carrier_delay, late_aircraft_delay, nas_delay"
TVC,5,17,2,1,"carrier_delay, weather_delay, nas_delay"
MLU,3,12,0,1,"weather_delay, nas_delay, late_aircraft_delay"
LBL,6,3,1,0,"carrier_delay, weather_delay, nas_delay"
ABR,6,2,1,0,"carrier_delay, nas_delay, weather_delay"
PQI,12,1,0,0,"carrier_delay, weather_delay, nas_delay"
PAE,8,2,1,0,"carrier_delay, weather_delay, nas_delay"
MVY,10,4,0,0,"carrier_delay, weather_delay, nas_delay"
LAS,3,1112,299,160,"late_aircraft_delay, carrier_delay, nas_delay"
CLT,1,1165,283,162,"late_aircraft_delay, carrier_delay, nas_delay"
LAR,12,5,0,0,"carrier_delay, weather_delay, nas_delay"
SHV,4,25,3,1,"late_aircraft_delay, weather_delay, carrier_delay"
OKC,11,158,17,7,"late_aircraft_delay, carrier_delay, nas_delay"
SGF,6,57,11,12,"late_aircraft_delay, weather_delay, carrier_delay"
SBA,11,59,4,4,"late_aircraft_delay, nas_delay, weather_delay"
MRY,9,35,0,0,"carrier_delay, weather_delay, nas_delay"
ASE,11,13,2,2,"weather_delay, carrier_delay, nas_delay"
MFR,6,24,5,0,"carrier_delay, nas_delay, late_aircraft_delay"
ORH,9,8,0,0,"nas_delay, carrier_delay, weather_delay"
CRW,12,22,0,4,"carrier_delay, late_aircraft_delay, nas_delay"
EKO,4,4,0,0,"carrier_delay, weather_delay, nas_delay"
SIT,10,6,0,0,"carrier_delay, weather_delay, nas_delay"
TXK,3,7,0,0,"nas_delay, carrier_delay, weather_delay"
LAW,3,4,0,0,"carrier_delay, weather_delay, nas_delay"
BTM,6,4,1,0,"carrier_delay, weather_delay, nas_delay"
BNA,3,642,110,54,"late_aircraft_delay, nas_delay, carrier_delay"
BWI,10,652,152,21,"carrier_delay, late_aircraft_delay, nas_delay"
BZN,11,51,7,8,"late_aircraft_delay, carrier_delay, nas_delay"
AZO,3,7,0,0,"carrier_delay, weather_delay, nas_delay"
TRI,4,8,0,0,"carrier_delay, weather_delay, nas_delay"
SCE,4,6,0,0,"carrier_delay, weather_delay, nas_delay"
DVL,12,2,0,1,"weather_delay, nas_delay, carrier_delay"
DEC,6,5,0,3,"carrier_delay, late_aircraft_delay, weather_delay"
RDU,5,458,72,57,"late_aircraft_delay, nas_delay, carrier_delay"
PDX,5,372,65,35,"late_aircraft_delay, carrier_delay, nas_delay"
PVD,3,91,12,4,"late_aircraft_delay, nas_delay, carrier_delay"
OAK,2,271,41,10,"late_aircraft_delay, nas_delay, carrier_delay"
CHS,3,149,25,12,"carrier_delay, late_aircraft_delay, nas_delay"
SHR,7,8,0,0,"carrier_delay, weather_delay, nas_delay"
MFR,1,35,6,6,"carrier_delay, late_aircraft_delay, weather_delay"
ANC,3,84,24,6,"carrier_delay, late_aircraft_delay, nas_delay"
LNK,11,23,2,1,"carrier_delay, weather_delay, nas_delay"
ITO,2,64,5,1,"late_aircraft_delay, carrier_delay, weather_delay"
YUM,10,9,2,1,"carrier_delay, late_aircraft_delay, weather_delay"
RIW,5,3,1,1,"nas_delay, carrier_delay, weather_delay"
HRL,11,42,2,3,"carrier_delay, nas_delay, late_aircraft_delay"
OTH,7,3,1,1,"carrier_delay, weather_delay, nas_delay"
BET,7,7,0,0,"carrier_delay, weather_delay, nas_delay"
ACV,3,12,2,1,"late_aircraft_delay, nas_delay, carrier_delay"
PSG,11,6,0,0,"carrier_delay, weather_delay, nas_delay"
TRI,12,12,3,2,"late_aircraft_delay, carrier_delay, nas_delay"
EKO,2,3,0,1,"weather_delay, carrier_delay, nas_delay"
YAK,12,4,0,0,"carrier_delay, weather_delay, nas_delay"
JLN,9,5,0,1,"late_aircraft_delay, carrier_delay, weather_delay"
SLC,8,730,119,66,"carrier_delay, late_aircraft_delay, nas_delay"
GSP,10,128,7,6,"late_aircraft_delay, nas_delay, carrier_delay"
PBI,4,224,39,30,"late_aircraft_delay, carrier_delay, nas_delay"
VPS,9,63,7,3,"carrier_delay, late_aircraft_delay, nas_delay"
WYS,6,5,0,2,"weather_delay, carrier_delay, nas_delay"
FWA,6,26,9,7,"weather_delay, carrier_delay, late_aircraft_delay"
LCK,5,10,1,1,"weather_delay, late_aircraft_delay, carrier_delay"
JAC,7,51,5,6,"late_aircraft_delay, carrier_delay, nas_delay"
HDN,7,14,1,1,"weather_delay, carrier_delay, nas_delay"
ACY,5,28,2,0,"nas_delay, carrier_delay, weather_delay"
EVV,10,21,1,2,"carrier_delay, late_aircraft_delay, nas_delay"
YUM,12,16,2,0,"carrier_delay, late_aircraft_delay, nas_delay"
BJI,10,2,0,0,"carrier_delay, weather_delay, nas_delay"
JMS,6,1,0,0,"carrier_delay, weather_delay, nas_delay"
FLG,2,7,0,1,"carrier_delay, weather_delay, nas_delay"
JST,3,3,1,0,"carrier_delay, nas_delay, weather_delay"
PLN,2,2,0,1,"weather_delay, nas_delay, carrier_delay"
OTZ,7,3,0,0,"carrier_delay, weather_delay, nas_delay"
STC,6,1,0,0,"carrier_delay, weather_delay, nas_delay"
SRQ,1,106,14,18,"late_aircraft_delay, carrier_delay, nas_delay"
ATL,2,2241,236,74,"carrier_delay, nas_delay, late_aircraft_delay"
TPA,2,586,64,13,"late_aircraft_delay, nas_delay, carrier_delay"
IAD,12,344,64,34,"carrier_delay, late_aircraft_delay, nas_delay"
BOS,12,853,153,113,"late_aircraft_delay, carrier_delay, nas_delay"
PWM,7,103,19,12,"late_aircraft_delay, carrier_delay, nas_delay"
SFB,7,72,14,9,"carrier_delay, late_aircraft_delay, nas_delay"
MYR,4,131,17,9,"carrier_delay, late_aircraft_delay, nas_delay"
ABI,4,11,0,0,"carrier_delay, weather_delay, nas_delay"
LSE,1,0,0,1,"carrier_delay, weather_delay, nas_delay"
MHT,11,39,1,0,"carrier_delay, weather_delay, nas_delay"
STX,5,7,2,1,"late_aircraft_delay, weather_delay, nas_delay"
ABY,8,5,0,1,"carrier_delay, weather_delay, nas_delay"
MSO,12,25,5,2,"late_aircraft_delay, nas_delay, carrier_delay"
BPT,10,5,1,0,"carrier_delay, nas_delay, weather_delay"
EKO,10,2,0,0,"carrier_delay, weather_delay, nas_delay"
AZO,1,6,1,0,"carrier_delay, nas_delay, weather_delay"
HTS,5,3,3,0,"nas_delay, late_aircraft_delay, carrier_delay"
TXK,10,5,0,0,"carrier_delay, weather_delay, nas_delay"
BPT,2,6,0,0,"carrier_delay, weather_delay, nas_delay"
HOU,9,356,59,11,"carrier_delay, late_aircraft_delay, nas_delay"
AMA,10,52,5,2,"carrier_delay, late_aircraft_delay, nas_delay"
MDW,7,495,185,77,"late_aircraft_delay, carrier_delay, nas_delay"
BUF,4,155,16,7,"late_aircraft_delay, carrier_delay, nas_delay"
ASE,6,53,9,6,"carrier_delay, nas_delay, late_aircraft_delay"
ANC,12,90,25,4,"carrier_delay, late_aircraft_delay, nas_delay"
PSG,6,7,1,0,"carrier_delay, nas_delay, weather_delay"
CID,4,47,10,3,"nas_delay, late_aircraft_delay, carrier_delay"
FAR,4,33,5,4,"carrier_delay, weather_delay, nas_delay"
OAJ,12,18,3,5,"late_aircraft_delay, carrier_delay, nas_delay"
LSE,6,2,0,0,"carrier_delay, weather_delay, nas_delay"
MSO,9,37,4,1,"late_aircraft_delay, carrier_delay, nas_delay"
FWA,11,38,4,2,"carrier_delay, late_aircraft_delay, nas_delay"
MYR,11,82,7,8,"late_aircraft_delay, nas_delay, carrier_delay"
SIT,11,7,0,0,"carrier_delay, weather_delay, nas_delay"
BRO,5,18,0,2,"carrier_delay, weather_delay, nas_delay"
PIA,3,21,5,3,"late_aircraft_delay, weather_delay, nas_delay"
MHT,6,47,4,4,"late_aircraft_delay, nas_delay, carrier_delay"
SGU,12,27,1,0,"carrier_delay, weather_delay, nas_delay"
LRD,7,13,3,4,"carrier_delay, late_aircraft_delay, nas_delay"
PLN,7,7,1,1,"carrier_delay, weather_delay, nas_delay"
CNY,1,3,0,0,"carrier_delay, weather_delay, nas_delay"
TWF,5,6,0,0,"carrier_delay, weather_delay, nas_delay"
SWF,4,3,0,0,"carrier_delay, weather_delay, nas_delay"
LSE,10,1,0,0,"carrier_delay, weather_delay, nas_delay"
CDV,8,2,3,0,"late_aircraft_delay, security_delay, carrier_delay"
LAX,12,1336,192,81,"late_aircraft_delay, carrier_delay, nas_delay"
PIA,2,20,1,1,"carrier_delay, nas_delay, weather_delay"
ABE,3,41,5,1,"late_aircraft_delay, carrier_delay, weather_delay"
CAE,9,50,5,7,"late_aircraft_delay, nas_delay, carrier_delay"
LIT,7,93,30,22,"carrier_delay, late_aircraft_delay, weather_delay"
CPR,7,27,2,3,"late_aircraft_delay, carrier_delay, nas_delay"
SJU,9,148,18,10,"late_aircraft_delay, carrier_delay, nas_delay"
GGG,8,4,0,0,"carrier_delay, weather_delay, nas_delay"
SYR,4,95,5,9,"nas_delay, late_aircraft_delay, carrier_delay"
BTR,7,31,7,6,"late_aircraft_delay, carrier_delay, nas_delay"
BIS,12,21,4,6,"carrier_delay, weather_delay, late_aircraft_delay"
BMI,4,10,0,1,"late_aircraft_delay, carrier_delay, weather_delay"
SFB,11,49,18,4,"carrier_delay, late_aircraft_delay, nas_delay"
STX,9,2,1,0,"late_aircraft_delay, nas_delay, carrier_delay"
DAY,10,49,0,3,"late_aircraft_delay, carrier_delay, nas_delay"
JMS,8,7,1,1,"carrier_delay, weather_delay, nas_delay"
FAR,3,41,3,1,"carrier_delay, nas_delay, late_aircraft_delay"
LCH,10,9,0,0,"carrier_delay, weather_delay, nas_delay"
MTJ,2,23,3,4,"late_aircraft_delay, carrier_delay, nas_delay"
LFT,8,21,1,2,"carrier_delay, weather_delay, nas_delay"
ALW,2,5,0,0,"nas_delay, carrier_delay, weather_delay"
HTS,12,2,1,0,"carrier_delay, weather_delay, nas_delay"
DEC,8,0,0,1,"late_aircraft_delay, carrier_delay, weather_delay"
GSO,6,81,5,5,"late_aircraft_delay, nas_delay, weather_delay"
OGG,8,183,17,6,"late_aircraft_delay, carrier_delay, nas_delay"
BUF,6,156,21,9,"late_aircraft_delay, carrier_delay, nas_delay"
HOU,6,357,116,47,"late_aircraft_delay, carrier_delay, nas_delay"
SBA,7,63,1,6,"late_aircraft_delay, carrier_delay, nas_delay"
FAI,10,27,3,2,"late_aircraft_delay, nas_delay, carrier_delay"
GRB,6,28,6,5,"carrier_delay, nas_delay, late_aircraft_delay"
PAE,5,6,0,0,"nas_delay, carrier_delay, weather_delay"
TWF,9,4,0,0,"carrier_delay, weather_delay, nas_delay"
ACV,5,10,3,1,"late_aircraft_delay, nas_delay, carrier_delay"
FLG,1,9,1,0,"carrier_delay, weather_delay, nas_delay"
BZN,10,62,4,1,"late_aircraft_delay, nas_delay, carrier_delay"
ROA,6,18,5,4,"late_aircraft_delay, carrier_delay, nas_delay"
MHT,12,28,6,2,"nas_delay, late_aircraft_delay, carrier_delay"
BQN,12,18,4,2,"late_aircraft_delay, nas_delay, carrier_delay"
BLV,4,5,1,0,"carrier_delay, weather_delay, nas_delay"
YUM,4,8,0,2,"late_aircraft_delay, carrier_delay, weather_delay"
DLH,3,8,0,1,"weather_delay, nas_delay, carrier_delay"
SBA,9,48,6,4,"carrier_delay, nas_delay, late_aircraft_delay"
TLH,11,46,4,0,"carrier_delay, late_aircraft_delay, nas_delay"
BLV,11,8,0,0,"carrier_delay, weather_delay, nas_delay"
LCH,5,1,0,3,"carrier_delay, weather_delay, nas_delay"
TOL,12,1,1,1,"late_aircraft_delay, carrier_delay, weather_delay"
PHL,12,608,96,63,"late_aircraft_delay, carrier_delay, nas_delay"
BOS,6,853,159,120,"carrier_delay, late_aircraft_delay, nas_delay"
STL,2,379,40,12,"carrier_delay, late_aircraft_delay, nas_delay"
AGS,9,34,3,3,"weather_delay, late_aircraft_delay, carrier_delay"
BHM,1,113,12,14,"late_aircraft_delay, carrier_delay, nas_delay"
PVD,8,103,17,7,"late_aircraft_delay, nas_delay, carrier_delay"
IND,7,293,49,31,"late_aircraft_delay, carrier_delay, nas_delay"
LBB,1,34,6,5,"late_aircraft_delay, carrier_delay, weather_delay"
OKC,8,153,20,11,"carrier_delay, late_aircraft_delay, nas_delay"
ACY,9,24,1,0,"weather_delay, nas_delay, carrier_delay"
ESC,9,3,0,0,"carrier_delay, weather_delay, nas_delay"
BLV,12,2,4,1,"late_aircraft_delay, carrier_delay, nas_delay"
MGM,8,20,1,2,"late_aircraft_delay, carrier_delay, nas_delay"
BPT,3,6,0,2,"late_aircraft_delay, nas_delay, weather_delay"
RST,5,13,2,2,"weather_delay, carrier_delay, nas_delay"
YUM,5,12,0,1,"carrier_delay, nas_delay, weather_delay"
HHH,2,7,0,0,"nas_delay, late_aircraft_delay, carrier_delay"
SCE,5,7,0,2,"weather_delay, late_aircraft_delay, nas_delay"
ELM,12,5,1,0,"carrier_delay, weather_delay, nas_delay"
MIA,3,656,218,128,"late_aircraft_delay, carrier_delay, nas_delay"
SEA,10,1159,148,28,"carrier_delay, nas_delay, late_aircraft_delay"
ORF,4,159,14,13,"late_aircraft_delay, carrier_delay, nas_delay"
BUF,8,149,37,15,"late_aircraft_delay, carrier_delay, nas_delay"
RDU,11,436,45,26,"carrier_delay, late_aircraft_delay, nas_delay"
RDM,4,33,3,2,"carrier_delay, nas_delay, weather_delay"
BOS,3,801,125,69,"carrier_delay, late_aircraft_delay, nas_delay"
DSM,12,97,16,12,"carrier_delay, late_aircraft_delay, nas_delay"
CMH,6,343,43,16,"late_aircraft_delay, carrier_delay, nas_delay"
RSW,6,167,18,21,"late_aircraft_delay, carrier_delay, nas_delay"
LAR,9,8,2,0,"late_aircraft_delay, carrier_delay, weather_delay"
OGG,2,163,24,6,"late_aircraft_delay, carrier_delay, nas_delay"
LIT,5,75,13,14,"late_aircraft_delay, carrier_delay, nas_delay"
