aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
SJC,12,351,52,18,"late_aircraft_delay, carrier_delay, nas_delay"
MCW,12,4,0,0,"carrier_delay, weather_delay, nas_delay"
HOU,4,378,105,28,"carrier_delay, late_aircraft_delay, nas_delay"
LEX,9,53,9,4,"carrier_delay, nas_delay, late_aircraft_delay"
SDF,1,147,20,17,"late_aircraft_delay, carrier_delay, nas_delay"
STX,2,10,1,0,"late_aircraft_delay, nas_delay, security_delay"
BTR,1,34,6,2,"nas_delay, weather_delay, carrier_delay"
SBA,10,57,4,3,"late_aircraft_delay, weather_delay, nas_delay"
LRD,8,20,1,0,"late_aircraft_delay, nas_delay, carrier_delay"
ROA,4,22,4,1,"late_aircraft_delay, nas_delay, carrier_delay"
ACK,8,28,6,6,"late_aircraft_delay, nas_delay, carrier_delay"
ITH,8,8,1,1,"weather_delay, nas_delay, late_aircraft_delay"
LBB,11,33,3,5,"late_aircraft_delay, carrier_delay, nas_delay"
LAW,9,9,0,0,"carrier_delay, weather_delay, nas_delay"
LBE,10,2,1,0,"carrier_delay, weather_delay, nas_delay"
JMS,9,6,1,0,"carrier_delay, weather_delay, nas_delay"
LFT,10,23,3,2,"carrier_delay, late_aircraft_delay, weather_delay"
LCK,7,6,3,1,"late_aircraft_delay, nas_delay, carrier_delay"
PLN,12,4,0,0,"carrier_delay, weather_delay, nas_delay"
ORD,3,1781,251,122,"late_aircraft_delay, carrier_delay, nas_delay"
DTW,11,902,83,45,"carrier_delay, nas_delay, weather_delay"
PHX,2,1234,174,55,"late_aircraft_delay, carrier_delay, nas_delay"
BWI,6,557,230,74,"late_aircraft_delay, carrier_delay, nas_delay"
AVL,7,79,26,21,"late_aircraft_delay, carrier_delay, weather_delay"
LBB,2,39,4,4,"carrier_delay, late_aircraft_delay, nas_delay"
FAT,8,87,8,7,"late_aircraft_delay, carrier_delay, nas_delay"
CYS,2,6,0,1,"weather_delay, carrier_delay, nas_delay"
ITO,5,50,6,3,"carrier_delay, late_aircraft_delay, nas_delay"
MEI,10,7,0,1,"carrier_delay, nas_delay, weather_delay"
PSE,3,5,0,1,"late_aircraft_delay, nas_delay, carrier_delay"
KTN,8,21,5,0,"nas_delay, carrier_delay, late_aircraft_delay"
SPS,6,5,1,0,"late_aircraft_delay, carrier_delay, weather_delay"
VLD,8,7,0,0,"carrier_delay, weather_delay, nas_delay"
PVU,10,12,3,3,"carrier_delay, nas_delay, weather_delay"
RFD,9,5,0,0,"carrier_delay, weather_delay, nas_delay"
BQN,9,6,3,0,"late_aircraft_delay, carrier_delay, weather_delay"
LWS,3,10,0,0,"carrier_delay, weather_delay, nas_delay"
CLL,11,12,0,2,"carrier_delay, nas_delay, weather_delay"
BRD,10,5,0,0,"carrier_delay, weather_delay, nas_delay"
ACT,5,6,0,0,"carrier_delay, weather_delay, nas_delay"
MSP,11,895,91,39,"carrier_delay, nas_delay, late_aircraft_delay"
HNL,6,425,62,17,"carrier_delay, late_aircraft_delay, nas_delay"
OMA,1,120,29,20,"weather_delay, carrier_delay, nas_delay"
TPA,9,431,47,31,"late_aircraft_delay, carrier_delay, weather_delay"
PVD,7,93,16,18,"carrier_delay, nas_delay, late_aircraft_delay"
AVL,11,65,6,4,"late_aircraft_delay, nas_delay, carrier_delay"
ROA,5,26,4,3,"carrier_delay, weather_delay, nas_delay"
ABE,11,16,1,1,"carrier_delay, late_aircraft_delay, nas_delay"
AZA,8,27,3,2,"late_aircraft_delay, nas_delay, weather_delay"
PAE,12,9,0,0,"carrier_delay, weather_delay, nas_delay"
MSN,5,82,11,14,"carrier_delay, late_aircraft_delay, nas_delay"
MFE,11,32,4,2,"late_aircraft_delay, carrier_delay, nas_delay"
ITH,1,2,0,1,"carrier_delay, weather_delay, nas_delay"
DLH,10,15,0,0,"nas_delay, weather_delay, carrier_delay"
RFD,5,3,3,0,"late_aircraft_delay, carrier_delay, weather_delay"
GUM,12,6,0,0,"carrier_delay, weather_delay, nas_delay"
LBL,11,1,0,0,"carrier_delay, weather_delay, nas_delay"
BQK,5,5,2,0,"carrier_delay, weather_delay, nas_delay"
BRW,5,3,1,0,"late_aircraft_delay, carrier_delay, weather_delay"
WYS,9,4,0,0,"carrier_delay, weather_delay, nas_delay"
MIA,10,638,69,45,"carrier_delay, late_aircraft_delay, nas_delay"
LGA,4,982,126,66,"late_aircraft_delay, carrier_delay, nas_delay"
SFO,10,1007,145,59,"carrier_delay, late_aircraft_delay, nas_delay"
MCI,9,408,34,12,"carrier_delay, late_aircraft_delay, nas_delay"
TVC,6,54,4,7,"carrier_delay, late_aircraft_delay, nas_delay"
CAK,4,28,1,2,"carrier_delay, late_aircraft_delay, nas_delay"
PVD,9,84,11,3,"nas_delay, late_aircraft_delay, carrier_delay"
SMF,4,357,47,19,"late_aircraft_delay, carrier_delay, nas_delay"
GRI,12,3,2,2,"carrier_delay, security_delay, late_aircraft_delay"
SAV,6,123,23,5,"nas_delay, late_aircraft_delay, carrier_delay"
