aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardo_alto,cause_maggiori
ASE,1,364,141,102,['Carrier (7380 min)', 'Late Aircraft (6288 min)', 'Weather (4395 min)']
ASE,3,347,168,134,['Weather (8406 min)', 'Late Aircraft (7490 min)', 'Carrier (6751 min)']
ASE,7,383,68,49,['Weather (3914 min)', 'Late Aircraft (3336 min)', 'Carrier (2926 min)']
ATL,8,17315,3009,1474,['Carrier (133183 min)', 'Late Aircraft (80219 min)', 'NAS (70471 min)']
ATL,11,18080,2145,631,['Carrier (67359 min)', 'Late Aircraft (36331 min)', 'NAS (33164 min)']
ATW,5,304,33,41,['Carrier (2877 min)', 'Late Aircraft (2226 min)', 'Weather (2039 min)']
ATW,11,336,36,36,['Carrier (3961 min)', 'Weather (2080 min)', 'Late Aircraft (1235 min)']
AUS,6,3969,1111,508,['Late Aircraft (48723 min)', 'Carrier (37773 min)', 'NAS (14959 min)']
AUS,11,4245,544,222,['Late Aircraft (18540 min)', 'Carrier (12327 min)', 'NAS (10435 min)']
AVL,2,483,34,17,['Carrier (2336 min)', 'Late Aircraft (2041 min)', 'Weather (1278 min)']
AVP,1,57,6,14,['Late Aircraft (1788 min)', 'Carrier (1393 min)', 'Weather (1164 min)']
AVP,5,67,22,17,['Late Aircraft (1877 min)', 'Carrier (736 min)', 'NAS (401 min)']
AVP,6,80,16,9,['Late Aircraft (653 min)', 'Weather (400 min)', 'NAS (271 min)']
AVP,8,77,17,14,['Late Aircraft (1713 min)', 'Carrier (974 min)', 'NAS (487 min)']
AVP,10,92,5,5,['Late Aircraft (298 min)', 'Carrier (249 min)', 'NAS (238 min)']
AVP,11,88,10,6,['Late Aircraft (924 min)', 'Weather (480 min)', 'NAS (104 min)']
AZA,5,307,26,5,['Carrier (625 min)', 'Late Aircraft (358 min)', 'NAS (127 min)']
AZA,6,293,40,26,['Carrier (3566 min)', 'Late Aircraft (967 min)', 'Weather (506 min)']
AZA,9,208,21,8,['Carrier (856 min)', 'Late Aircraft (306 min)', 'NAS (68 min)']
AZO,7,46,6,7,['Carrier (1751 min)', 'Weather (60 min)', 'NAS (18 min)']
AZO,8,53,7,12,['Carrier (1450 min)', 'Weather (309 min)', 'NAS (0 min)']
AZO,10,57,4,2,['Carrier (164 min)', 'Weather (57 min)', 'NAS (0 min)']
BDL,3,957,148,105,['Late Aircraft (11480 min)', 'Carrier (5897 min)', 'NAS (4848 min)']
BET,5,36,14,0,['Security (167 min)', 'Late Aircraft (150 min)', 'NAS (46 min)']
BET,7,35,13,1,['Late Aircraft (206 min)', 'NAS (135 min)', 'Carrier (133 min)']
BET,12,34,11,3,['Late Aircraft (299 min)', 'Security (173 min)', 'NAS (100 min)']
BFF,5,40,1,2,['NAS (360 min)', 'Late Aircraft (53 min)', 'Carrier (48 min)']
BFF,11,30,4,4,['Carrier (493 min)', 'Late Aircraft (154 min)', 'NAS (53 min)']
BFL,2,97,12,5,['Carrier (731 min)', 'NAS (255 min)', 'Late Aircraft (149 min)']
BFL,10,180,11,6,['Carrier (1425 min)', 'Late Aircraft (562 min)', 'NAS (45 min)']
BGR,9,352,38,17,['Late Aircraft (1512 min)', 'Carrier (735 min)', 'NAS (687 min)']
BGR,11,160,9,9,['Late Aircraft (1310 min)', 'NAS (402 min)', 'Carrier (188 min)']
BHM,9,882,107,51,['Late Aircraft (5008 min)', 'Carrier (3069 min)', 'NAS (1637 min)']
BIH,7,10,1,4,['Late Aircraft (854 min)', 'Carrier (0 min)', 'Weather (0 min)']
BIH,10,1,0,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
BIH,12,19,2,5,['Late Aircraft (398 min)', 'NAS (131 min)', 'Weather (117 min)']
BIL,9,262,12,7,['Carrier (1888 min)', 'Late Aircraft (346 min)', 'NAS (111 min)']
BIL,11,206,26,10,['Carrier (1593 min)', 'Late Aircraft (577 min)', 'NAS (548 min)']
BIL,12,227,19,14,['Carrier (2095 min)', 'Late Aircraft (578 min)', 'NAS (236 min)']
BIS,12,194,35,32,['Carrier (4000 min)', 'Weather (1050 min)', 'NAS (681 min)']
BJI,1,31,11,6,['Weather (824 min)', 'Carrier (715 min)', 'NAS (106 min)']
BJI,2,34,1,3,['Carrier (787 min)', 'Weather (58 min)', 'NAS (36 min)']
BJI,7,42,4,5,['Carrier (761 min)', 'Weather (180 min)', 'NAS (40 min)']
BLI,2,138,5,1,['Late Aircraft (282 min)', 'NAS (171 min)', 'Carrier (96 min)']
BLI,8,103,24,1,['Late Aircraft (550 min)', 'Carrier (314 min)', 'NAS (238 min)']
BLI,9,94,15,6,['Carrier (1149 min)', 'Late Aircraft (1057 min)', 'NAS (317 min)']
BLV,2,28,4,10,['Carrier (2044 min)', 'Late Aircraft (1129 min)', 'NAS (99 min)']
BMI,3,94,9,10,['Late Aircraft (773 min)', 'Weather (419 min)', 'Carrier (314 min)']
BMI,4,76,5,7,['Late Aircraft (638 min)', 'NAS (208 min)', 'Weather (207 min)']
BMI,9,93,4,1,['Late Aircraft (511 min)', 'NAS (78 min)', 'Weather (29 min)']
BNA,4,4986,781,311,['Late Aircraft (28826 min)', 'Carrier (18661 min)', 'NAS (14503 min)']
BNA,5,4489,1181,748,['Late Aircraft (71152 min)', 'Carrier (34307 min)', 'NAS (33123 min)']
BNA,7,4677,1334,665,['Late Aircraft (66123 min)', 'Carrier (33654 min)', 'NAS (24508 min)']
BNA,12,4608,899,344,['Late Aircraft (30849 min)', 'Carrier (20438 min)', 'NAS (16528 min)']
BOI,6,1273,186,77,['Carrier (8162 min)', 'Late Aircraft (5844 min)', 'NAS (3411 min)']
BOI,10,1315,103,46,['Carrier (4447 min)', 'Late Aircraft (3593 min)', 'NAS (2413 min)']
BOS,8,6500,1445,1145,['Late Aircraft (79650 min)', 'Carrier (67707 min)', 'NAS (56746 min)']
BPT,1,38,7,5,['Weather (931 min)', 'Carrier (147 min)', 'Late Aircraft (144 min)']
BPT,7,34,1,1,['Carrier (344 min)', 'NAS (114 min)', 'Late Aircraft (22 min)']
BQK,1,24,5,11,['Carrier (929 min)', 'Weather (391 min)', 'NAS (126 min)']
BQK,2,40,2,4,['Weather (477 min)', 'Carrier (467 min)', 'NAS (97 min)']
BQK,6,38,4,6,['Carrier (759 min)', 'Weather (264 min)', 'NAS (23 min)']
BQK,7,39,1,9,['Carrier (1181 min)', 'Weather (281 min)', 'NAS (208 min)']
BQK,9,45,3,0,['Carrier (209 min)', 'NAS (46 min)', 'Weather (5 min)']
BQN,1,132,22,13,['Late Aircraft (1948 min)', 'Carrier (1468 min)', 'NAS (393 min)']
BQN,3,121,40,25,['Late Aircraft (3639 min)', 'Carrier (604 min)', 'NAS (382 min)']
BQN,7,93,25,18,['Late Aircraft (2144 min)', 'Carrier (1264 min)', 'NAS (86 min)']
BQN,10,85,14,7,['Late Aircraft (874 min)', 'Carrier (99 min)', 'NAS (58 min)']
BQN,11,80,20,10,['Late Aircraft (1341 min)', 'Carrier (310 min)', 'NAS (161 min)']
BRD,11,34,3,2,['Carrier (1139 min)', 'NAS (50 min)', 'Weather (25 min)']
BRD,12,24,4,9,['Carrier (1443 min)', 'Weather (660 min)', 'NAS (57 min)']
BRO,6,117,14,15,['Late Aircraft (1416 min)', 'Carrier (1407 min)', 'NAS (276 min)']
BRO,11,73,8,6,['Weather (677 min)', 'Carrier (431 min)', 'Late Aircraft (198 min)']
BRW,7,18,2,0,['Security (37 min)', 'Late Aircraft (24 min)', 'NAS (14 min)']
BRW,8,19,6,0,['Late Aircraft (105 min)', 'Security (76 min)', 'NAS (52 min)']
BRW,12,9,10,1,['Late Aircraft (205 min)', 'Carrier (58 min)', 'NAS (47 min)']
BTM,7,35,1,2,['Carrier (181 min)', 'Weather (16 min)', 'NAS (0 min)']
BTR,1,198,36,33,['Late Aircraft (1877 min)', 'Carrier (1827 min)', 'Weather (1388 min)']
BTR,7,233,39,36,['Carrier (3757 min)', 'Late Aircraft (2752 min)', 'NAS (596 min)']
BTV,2,237,19,19,['Carrier (1378 min)', 'Late Aircraft (1045 min)', 'Weather (434 min)']
BTV,3,282,21,13,['NAS (1279 min)', 'Late Aircraft (1113 min)', 'Carrier (947 min)']
BTV,6,429,56,45,['Carrier (3859 min)', 'Late Aircraft (3078 min)', 'NAS (1722 min)']
BTV,10,556,54,25,['Carrier (2901 min)', 'Late Aircraft (2002 min)', 'NAS (965 min)']
BUF,1,738,136,101,['Late Aircraft (10887 min)', 'NAS (6265 min)', 'Carrier (6241 min)']
BUR,1,1429,185,96,['Late Aircraft (7870 min)', 'Carrier (5439 min)', 'NAS (4249 min)']
BUR,4,1367,198,89,['NAS (7651 min)', 'Late Aircraft (6023 min)', 'Carrier (1582 min)']
BUR,6,1534,332,134,['Late Aircraft (13617 min)', 'Carrier (6085 min)', 'NAS (3943 min)']
BUR,7,1668,326,143,['Late Aircraft (16393 min)', 'Carrier (6977 min)', 'NAS (4220 min)']
BUR,8,1668,226,96,['Late Aircraft (8319 min)', 'NAS (6730 min)', 'Carrier (3529 min)']
BUR,9,1612,238,126,['Late Aircraft (12496 min)', 'Carrier (6845 min)', 'NAS (5690 min)']
BWI,2,3980,721,145,['Carrier (13184 min)', 'Late Aircraft (10903 min)', 'NAS (7901 min)']
BZN,1,456,80,57,['Late Aircraft (8480 min)', 'Carrier (3164 min)', 'Weather (3057 min)']
BZN,6,605,101,51,['Late Aircraft (3933 min)', 'NAS (2732 min)', 'Carrier (2035 min)']
CAE,2,323,25,11,['Late Aircraft (1623 min)', 'Carrier (766 min)', 'NAS (305 min)']
CAE,6,361,40,22,['Late Aircraft (2874 min)', 'NAS (1383 min)', 'Weather (1218 min)']
CAE,8,354,43,27,['Late Aircraft (2234 min)', 'Carrier (1696 min)', 'Weather (1529 min)']
CAE,9,377,34,34,['Late Aircraft (4129 min)', 'Carrier (1676 min)', 'NAS (1142 min)']
CAE,12,373,47,26,['Late Aircraft (2752 min)', 'Carrier (2495 min)', 'NAS (1575 min)']
CAK,10,166,11,15,['Late Aircraft (1019 min)', 'Carrier (846 min)', 'NAS (161 min)']
CAK,11,164,6,17,['Carrier (1056 min)', 'Late Aircraft (1012 min)', 'NAS (411 min)']
CDC,3,32,0,3,['Weather (163 min)', 'Carrier (82 min)', 'NAS (0 min)']
CDC,10,36,0,3,['Weather (197 min)', 'Carrier (195 min)', 'NAS (18 min)']
CDV,2,29,7,1,['Late Aircraft (347 min)', 'Carrier (0 min)', 'Weather (0 min)']
CHA,7,259,62,50,['Late Aircraft (4921 min)', 'Carrier (4740 min)', 'NAS (1544 min)']
CHO,5,166,17,20,['NAS (1679 min)', 'Late Aircraft (1570 min)', 'Carrier (1092 min)']
CHO,7,142,22,26,['Carrier (2150 min)', 'NAS (1782 min)', 'Late Aircraft (1350 min)']
CHO,9,159,13,12,['Carrier (2234 min)', 'Late Aircraft (730 min)', 'NAS (421 min)']
CHS,1,1001,128,109,['Late Aircraft (10886 min)', 'Carrier (5603 min)', 'NAS (3377 min)']
CHS,3,1247,184,99,['Late Aircraft (12171 min)', 'Carrier (5717 min)', 'NAS (3631 min)']
CHS,4,1358,176,110,['Late Aircraft (10620 min)', 'Carrier (7258 min)', 'NAS (4460 min)']
CHS,5,1370,221,159,['Late Aircraft (15537 min)', 'Carrier (9513 min)', 'NAS (8564 min)']
CHS,10,1473,132,49,['Carrier (5101 min)', 'Late Aircraft (4308 min)', 'NAS (1696 min)']
CID,3,369,41,24,['Carrier (2180 min)', 'Late Aircraft (1852 min)', 'NAS (1597 min)']
CID,6,406,57,46,['Late Aircraft (4486 min)', 'Carrier (4085 min)', 'NAS (1437 min)']
CIU,1,33,3,8,['Carrier (969 min)', 'Weather (470 min)', 'NAS (62 min)']
CIU,4,40,2,6,['Carrier (685 min)', 'Weather (0 min)', 'NAS (0 min)']
CIU,6,34,4,4,['Carrier (1144 min)', 'Weather (80 min)', 'NAS (50 min)']
CIU,10,38,3,4,['Carrier (490 min)', 'Weather (82 min)', 'NAS (18 min)']
