ac.aeroporto_partenza,ac.compagnia,ac.numero_voli,ac.ritardo_medio_partenza,ac.ritardo_medio_arrivo,ac.tasso_cancellazione,differenza,classifica
BDL,MQ,403,5.87,3.18,1.49,-7.02,2
BDL,UA,1553,6.89,3.48,1.29,-6.0,3
BDL,DL,2893,7.59,0.42,0.69,-5.3,4
BDL,9E,263,8.12,2.42,2.66,-4.77,5
BDL,NK,430,10.49,7.68,2.09,-2.4,6
BDL,WN,3019,10.98,3.57,0.63,-1.91,7
BDL,AA,2904,13.93,9.58,1.55,1.04,8
BDL,B6,2280,18.02,12.75,1.58,5.13,9
BDL,OH,1049,19.8,15.67,2.67,6.91,10
BDL,OO,51,22.92,25.04,1.96,10.03,11
BDL,F9,667,40.49,37.21,3.45,27.6,12
BET,AS,558,7.55,11.07,1.25,0.0,1
BFF,OO,454,13.48,12.97,2.64,0.0,1
BFL,MQ,236,2.23,-3.54,0.42,-5.57,1
BFL,OO,1016,6.0,0.2,0.49,-1.8,2
BFL,AA,702,12.29,8.17,0.85,4.49,3
BGM,9E,275,13.58,9.48,3.64,0.0,1
BGR,9E,849,5.42,-1.4,3.89,-9.16,1
BGR,YX,708,12.18,7.09,5.65,-2.4,2
BGR,MQ,179,14.21,17.43,1.68,-0.37,3
BGR,OH,496,15.46,9.78,3.23,0.88,4
BGR,OO,105,18.23,19.13,0.95,3.65,5
BGR,AA,454,23.7,22.68,1.98,9.12,6
BGR,G4,289,30.01,22.57,3.81,15.43,7
BHM,UA,2,-7.5,-15.5,0.00,-19.0,1
BHM,YX,283,-0.71,-2.71,1.41,-12.21,2
BHM,9E,836,5.18,-1.44,3.95,-6.32,3
BHM,DL,2198,5.69,0.67,0.96,-5.81,4
BHM,MQ,1832,9.71,6.39,1.15,-1.79,5
BHM,NK,52,12.46,14.52,0.00,0.96,6
BHM,WN,3205,12.47,7.47,0.78,0.97,7
BHM,OH,2850,15.61,12.81,1.33,4.11,8
BHM,OO,1169,15.99,12.02,0.77,4.49,9
BHM,AA,286,27.76,25.9,2.10,16.26,10
BIH,OO,193,22.64,14.65,6.74,0.0,1
BIL,UA,528,1.91,-0.92,0.76,-5.32,1
BIL,OO,1004,2.72,0.15,0.70,-4.51,2
BIL,DL,585,5.4,2.63,1.71,-1.83,3
BIL,MQ,685,13.76,12.85,0.44,6.53,4
BIL,G4,261,22.24,21.26,1.15,15.01,5
BIS,9E,9,3.33,19.67,0.00,-10.75,1
BIS,DL,431,8.14,1.5,0.46,-5.94,2
BIS,MQ,436,10.91,7.73,0.46,-3.17,3
BIS,G4,327,14.53,9.08,1.22,0.45,4
BIS,OO,1571,16.57,11.76,1.15,2.49,5
BJI,OO,533,17.14,11.77,0.94,0.0,1
BLI,G4,680,2.68,-1.91,0.59,-5.1,1
BLI,WN,471,9.27,2.3,0.42,1.49,2
BLI,OO,713,11.67,13.0,0.84,3.89,3
BLV,G4,723,28.49,23.97,2.77,0.0,1
BMI,9E,548,8.54,1.39,1.09,-3.82,1
BMI,MQ,499,9.74,5.53,1.40,-2.62,2
BMI,F9,44,13.48,19.77,0.00,1.12,3
BMI,G4,185,30.54,27.62,1.62,18.18,4
BNA,YX,4235,3.68,1.72,1.20,-8.22,1
BNA,DL,6138,4.94,-0.47,0.88,-6.96,2
BNA,AS,797,7.5,-0.03,1.25,-4.4,3
BNA,WN,37958,11.1,4.12,0.78,-0.8,4
BNA,MQ,1861,11.46,9.61,2.26,-0.44,5
BNA,OH,1740,11.72,10.11,2.13,-0.18,6
BNA,UA,4544,12.24,8.06,1.63,0.34,7
BNA,G4,2136,13.3,8.78,1.73,1.4,8
BNA,OO,3011,15.24,11.93,1.69,3.34,9
BNA,B6,972,17.16,12.23,1.44,5.26,10
BNA,F9,540,19.14,19.84,1.67,7.24,11
BNA,NK,2730,20.58,12.36,3.15,8.68,12
BNA,AA,6253,20.87,19.24,2.17,8.97,13
BNA,9E,895,24.26,20.85,3.35,12.36,14
