aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
ECP,10,556,68,14,"carrier_delay, late_aircraft_delay, nas_delay"
EYW,5,417,99,103,"late_aircraft_delay, carrier_delay, nas_delay"
AEX,11,136,12,15,"carrier_delay, late_aircraft_delay, weather_delay"
WRG,2,50,3,1,"carrier_delay, late_aircraft_delay, nas_delay"
SYR,8,824,144,82,"carrier_delay, late_aircraft_delay, nas_delay"
SWF,6,21,7,5,"late_aircraft_delay, carrier_delay, weather_delay"
TWF,11,45,1,0,"carrier_delay, weather_delay, nas_delay"
TWF,8,59,2,1,"weather_delay, carrier_delay, nas_delay"
TYR,11,61,13,5,"carrier_delay, weather_delay, late_aircraft_delay"
USA,11,41,14,1,"late_aircraft_delay, weather_delay, nas_delay"
HIB,10,39,2,4,"carrier_delay, weather_delay, nas_delay"
ROW,9,74,9,7,"carrier_delay, weather_delay, late_aircraft_delay"
MQT,2,26,4,6,"late_aircraft_delay, weather_delay, carrier_delay"
SPS,10,48,2,9,"carrier_delay, late_aircraft_delay, nas_delay"
TOL,9,5,1,2,"weather_delay, carrier_delay, nas_delay"
ANC,9,1392,160,45,"carrier_delay, late_aircraft_delay, nas_delay"
MLI,11,303,31,20,"carrier_delay, late_aircraft_delay, nas_delay"
PAE,2,100,11,1,"nas_delay, carrier_delay, late_aircraft_delay"
SGF,5,497,118,97,"late_aircraft_delay, carrier_delay, weather_delay"
PSC,5,377,30,15,"carrier_delay, nas_delay, late_aircraft_delay"
RDD,9,122,15,7,"late_aircraft_delay, carrier_delay, nas_delay"
JAC,11,127,19,21,"late_aircraft_delay, carrier_delay, nas_delay"
PIE,10,447,47,22,"carrier_delay, weather_delay, nas_delay"
GNV,3,177,23,10,"carrier_delay, late_aircraft_delay, nas_delay"
FSM,11,60,5,4,"late_aircraft_delay, nas_delay, carrier_delay"
TRI,10,217,19,8,"carrier_delay, late_aircraft_delay, nas_delay"
FNT,10,140,17,11,"carrier_delay, late_aircraft_delay, nas_delay"
SUX,10,50,8,4,"carrier_delay, late_aircraft_delay, nas_delay"
CPR,1,55,2,2,"carrier_delay, weather_delay, nas_delay"
AZA,4,399,23,3,"nas_delay, late_aircraft_delay, carrier_delay"
MHK,12,68,8,4,"nas_delay, late_aircraft_delay, carrier_delay"
MDW,3,4865,1196,407,"late_aircraft_delay, carrier_delay, nas_delay"
EUG,10,556,52,32,"carrier_delay, late_aircraft_delay, nas_delay"
SNA,7,2786,468,276,"late_aircraft_delay, carrier_delay, nas_delay"
BHM,2,1049,100,45,"late_aircraft_delay, carrier_delay, nas_delay"
GRK,1,90,15,15,"carrier_delay, late_aircraft_delay, weather_delay"
SDF,12,1448,195,102,"late_aircraft_delay, carrier_delay, nas_delay"
ABQ,3,1488,251,115,"late_aircraft_delay, carrier_delay, nas_delay"
PSC,10,441,25,22,"carrier_delay, late_aircraft_delay, weather_delay"
LWS,2,74,4,8,"carrier_delay, weather_delay, late_aircraft_delay"
FNT,11,150,13,18,"carrier_delay, late_aircraft_delay, nas_delay"
HHH,10,146,15,7,"late_aircraft_delay, nas_delay, carrier_delay"
JNU,1,217,57,34,"late_aircraft_delay, carrier_delay, nas_delay"
EYW,8,339,54,55,"late_aircraft_delay, carrier_delay, nas_delay"
VLD,2,52,3,3,"late_aircraft_delay, weather_delay, nas_delay"
GRB,1,203,27,52,"carrier_delay, late_aircraft_delay, nas_delay"
SLN,9,49,3,7,"carrier_delay, late_aircraft_delay, weather_delay"
FLG,4,128,5,9,"carrier_delay, nas_delay, late_aircraft_delay"
SIT,5,107,12,3,"carrier_delay, late_aircraft_delay, nas_delay"
AEX,12,134,17,6,"carrier_delay, nas_delay, weather_delay"
SMX,1,6,0,3,"carrier_delay, late_aircraft_delay, weather_delay"
CDC,7,42,3,6,"carrier_delay, weather_delay, nas_delay"
BNA,9,6838,946,343,"late_aircraft_delay, carrier_delay, nas_delay"
TYS,2,861,72,25,"late_aircraft_delay, carrier_delay, nas_delay"
OAK,4,2906,439,127,"late_aircraft_delay, carrier_delay, nas_delay"
MIA,9,5880,903,430,"carrier_delay, late_aircraft_delay, nas_delay"
STS,10,280,44,22,"late_aircraft_delay, carrier_delay, nas_delay"
TUS,6,1087,167,94,"carrier_delay, late_aircraft_delay, nas_delay"
COS,7,922,180,91,"late_aircraft_delay, carrier_delay, nas_delay"
GSP,5,1086,173,149,"late_aircraft_delay, carrier_delay, nas_delay"
HDN,3,304,52,32,"nas_delay, late_aircraft_delay, carrier_delay"
RIC,1,998,162,93,"carrier_delay, late_aircraft_delay, nas_delay"
YUM,8,154,6,7,"late_aircraft_delay, carrier_delay, nas_delay"
LAR,2,41,2,3,"weather_delay, nas_delay, carrier_delay"
DVL,2,31,3,5,"late_aircraft_delay, weather_delay, nas_delay"
BJI,5,53,4,3,"carrier_delay, weather_delay, nas_delay"
LNK,4,72,8,10,"carrier_delay, late_aircraft_delay, nas_delay"
LAN,2,86,7,4,"late_aircraft_delay, carrier_delay, nas_delay"
BTM,10,42,0,0,"carrier_delay, weather_delay, nas_delay"
BGM,8,25,2,0,"nas_delay, carrier_delay, weather_delay"
OAK,12,2412,513,180,"late_aircraft_delay, carrier_delay, nas_delay"
TLH,7,354,71,42,"carrier_delay, late_aircraft_delay, nas_delay"
CRW,9,221,25,38,"carrier_delay, late_aircraft_delay, weather_delay"
CHA,7,357,82,63,"late_aircraft_delay, carrier_delay, nas_delay"
CPR,6,145,38,17,"carrier_delay, late_aircraft_delay, nas_delay"
GSP,8,1170,145,102,"late_aircraft_delay, carrier_delay, nas_delay"
ELM,5,66,7,7,"late_aircraft_delay, carrier_delay, weather_delay"
FAT,4,744,95,61,"late_aircraft_delay, carrier_delay, nas_delay"
WRG,10,52,6,3,"late_aircraft_delay, nas_delay, carrier_delay"
MHK,7,77,9,5,"late_aircraft_delay, carrier_delay, nas_delay"
VCT,3,47,2,3,"weather_delay, nas_delay, late_aircraft_delay"
AVP,6,109,21,12,"late_aircraft_delay, weather_delay, carrier_delay"
GTR,8,60,1,1,"late_aircraft_delay, carrier_delay, weather_delay"
MEI,11,47,4,1,"nas_delay, carrier_delay, weather_delay"
MCW,3,39,5,7,"late_aircraft_delay, carrier_delay, nas_delay"
PBG,2,28,11,6,"nas_delay, late_aircraft_delay, weather_delay"
ANC,7,1707,377,110,"carrier_delay, late_aircraft_delay, nas_delay"
MDW,12,4331,1117,337,"late_aircraft_delay, carrier_delay, nas_delay"
BWI,5,5497,2210,813,"late_aircraft_delay, carrier_delay, nas_delay"
ILM,12,548,92,59,"late_aircraft_delay, carrier_delay, nas_delay"
BDL,5,1387,276,161,"late_aircraft_delay, carrier_delay, nas_delay"
RAP,10,433,28,18,"carrier_delay, late_aircraft_delay, nas_delay"
MSO,1,159,28,30,"weather_delay, late_aircraft_delay, carrier_delay"
TLH,4,434,43,20,"late_aircraft_delay, carrier_delay, nas_delay"
CMI,6,81,15,14,"carrier_delay, late_aircraft_delay, weather_delay"
CAE,1,370,40,42,"late_aircraft_delay, carrier_delay, nas_delay"
SUN,3,173,27,12,"carrier_delay, nas_delay, weather_delay"
ABQ,7,1584,332,168,"late_aircraft_delay, carrier_delay, nas_delay"
GUM,3,49,1,0,"carrier_delay, weather_delay, nas_delay"
STC,12,7,5,2,"weather_delay, late_aircraft_delay, carrier_delay"
JAC,1,334,87,53,"late_aircraft_delay, carrier_delay, nas_delay"
TVC,5,211,31,18,"late_aircraft_delay, carrier_delay, nas_delay"
MLU,3,128,21,5,"late_aircraft_delay, carrier_delay, nas_delay"
LBL,6,43,4,3,"late_aircraft_delay, carrier_delay, nas_delay"
ABR,6,42,11,7,"carrier_delay, weather_delay, nas_delay"
PQI,12,23,1,2,"carrier_delay, nas_delay, late_aircraft_delay"
PAE,8,49,7,2,"late_aircraft_delay, nas_delay, weather_delay"
MVY,10,28,3,1,"late_aircraft_delay, nas_delay, carrier_delay"
LAS,3,11312,2741,1566,"late_aircraft_delay, carrier_delay, nas_delay"
CLT,1,11532,2628,1655,"late_aircraft_delay, carrier_delay, nas_delay"
LAR,12,46,2,3,"carrier_delay, late_aircraft_delay, nas_delay"
SHV,4,262,29,24,"late_aircraft_delay, weather_delay, carrier_delay"
OKC,11,1575,175,81,"late_aircraft_delay, carrier_delay, nas_delay"
SGF,6,639,147,88,"carrier_delay, late_aircraft_delay, nas_delay"
SBA,11,537,50,43,"late_aircraft_delay, carrier_delay, nas_delay"
MRY,9,330,35,22,"weather_delay, carrier_delay, late_aircraft_delay"
ASE,11,250,39,45,"weather_delay, late_aircraft_delay, carrier_delay"
MFR,6,299,46,24,"carrier_delay, nas_delay, late_aircraft_delay"
ORH,9,83,4,3,"carrier_delay, nas_delay, late_aircraft_delay"
CRW,12,169,31,38,"carrier_delay, late_aircraft_delay, nas_delay"
EKO,4,26,3,0,"carrier_delay, weather_delay, nas_delay"
SIT,10,79,8,3,"late_aircraft_delay, weather_delay, nas_delay"
TXK,3,54,3,4,"weather_delay, nas_delay, late_aircraft_delay"
LAW,3,76,4,9,"carrier_delay, weather_delay, late_aircraft_delay"
BTM,6,40,7,3,"carrier_delay, weather_delay, nas_delay"
BNA,3,6389,1097,495,"late_aircraft_delay, carrier_delay, nas_delay"
BWI,10,6470,1383,219,"carrier_delay, late_aircraft_delay, nas_delay"
BZN,11,477,52,31,"carrier_delay, nas_delay, late_aircraft_delay"
AZO,3,79,3,2,"weather_delay, carrier_delay, nas_delay"
TRI,4,146,6,6,"late_aircraft_delay, carrier_delay, nas_delay"
SCE,4,45,7,6,"carrier_delay, late_aircraft_delay, nas_delay"
DVL,12,44,2,7,"late_aircraft_delay, weather_delay, carrier_delay"
DEC,6,39,2,11,"late_aircraft_delay, weather_delay, carrier_delay"
RDU,5,4081,742,540,"late_aircraft_delay, nas_delay, carrier_delay"
PDX,5,4043,620,306,"late_aircraft_delay, carrier_delay, nas_delay"
PVD,3,868,105,63,"late_aircraft_delay, carrier_delay, nas_delay"
OAK,2,2515,456,141,"late_aircraft_delay, carrier_delay, nas_delay"
CHS,3,1639,234,134,"late_aircraft_delay, carrier_delay, nas_delay"
SHR,7,53,4,5,"carrier_delay, late_aircraft_delay, nas_delay"
MFR,1,285,25,29,"carrier_delay, weather_delay, late_aircraft_delay"
ANC,3,998,152,77,"carrier_delay, late_aircraft_delay, nas_delay"
LNK,11,170,16,11,"carrier_delay, late_aircraft_delay, weather_delay"
ITO,2,512,28,7,"late_aircraft_delay, carrier_delay, nas_delay"
YUM,10,159,14,6,"carrier_delay, late_aircraft_delay, nas_delay"
RIW,5,36,1,2,"late_aircraft_delay, nas_delay, carrier_delay"
HRL,11,354,23,10,"carrier_delay, late_aircraft_delay, nas_delay"
OTH,7,28,4,7,"carrier_delay, late_aircraft_delay, weather_delay"
BET,7,44,15,1,"late_aircraft_delay, nas_delay, carrier_delay"
ACV,3,100,29,13,"nas_delay, carrier_delay, late_aircraft_delay"
PSG,11,52,2,2,"carrier_delay, late_aircraft_delay, nas_delay"
TRI,12,128,24,19,"late_aircraft_delay, carrier_delay, nas_delay"
EKO,2,26,0,1,"weather_delay, carrier_delay, nas_delay"
YAK,12,43,7,1,"late_aircraft_delay, weather_delay, nas_delay"
JLN,9,38,5,7,"late_aircraft_delay, carrier_delay, weather_delay"
SLC,8,7741,1233,671,"carrier_delay, late_aircraft_delay, nas_delay"
GSP,10,1244,99,54,"late_aircraft_delay, carrier_delay, nas_delay"
PBI,4,2084,331,250,"late_aircraft_delay, carrier_delay, nas_delay"
VPS,9,640,84,31,"late_aircraft_delay, carrier_delay, nas_delay"
WYS,6,47,1,9,"weather_delay, carrier_delay, late_aircraft_delay"
FWA,6,281,53,51,"carrier_delay, late_aircraft_delay, weather_delay"
LCK,5,59,9,9,"late_aircraft_delay, carrier_delay, weather_delay"
JAC,7,486,77,74,"late_aircraft_delay, carrier_delay, nas_delay"
HDN,7,89,25,12,"carrier_delay, late_aircraft_delay, weather_delay"
ACY,5,230,35,13,"nas_delay, late_aircraft_delay, carrier_delay"
EVV,10,174,12,8,"carrier_delay, late_aircraft_delay, nas_delay"
YUM,12,131,14,13,"carrier_delay, late_aircraft_delay, nas_delay"
BJI,10,48,3,6,"carrier_delay, weather_delay, nas_delay"
JMS,6,26,2,4,"carrier_delay, late_aircraft_delay, nas_delay"
FLG,2,99,9,12,"carrier_delay, weather_delay, nas_delay"
JST,3,43,2,3,"late_aircraft_delay, carrier_delay, nas_delay"
PLN,2,14,1,5,"carrier_delay, weather_delay, nas_delay"
OTZ,7,27,3,1,"late_aircraft_delay, nas_delay, carrier_delay"
STC,6,8,0,0,"carrier_delay, weather_delay, nas_delay"
SRQ,1,1089,209,160,"late_aircraft_delay, carrier_delay, nas_delay"
ATL,2,21446,2308,663,"carrier_delay, nas_delay, late_aircraft_delay"
TPA,2,5516,655,229,"late_aircraft_delay, carrier_delay, nas_delay"
IAD,12,3376,563,304,"late_aircraft_delay, carrier_delay, nas_delay"
BOS,12,8195,1691,1050,"late_aircraft_delay, carrier_delay, nas_delay"
PWM,7,975,188,130,"late_aircraft_delay, carrier_delay, nas_delay"
SFB,7,694,168,110,"carrier_delay, late_aircraft_delay, weather_delay"
MYR,4,1115,124,80,"late_aircraft_delay, nas_delay, carrier_delay"
ABI,4,115,15,12,"weather_delay, late_aircraft_delay, nas_delay"
LSE,1,1,2,1,"carrier_delay, weather_delay, nas_delay"
MHT,11,352,22,13,"late_aircraft_delay, nas_delay, carrier_delay"
STX,5,77,13,10,"late_aircraft_delay, nas_delay, weather_delay"
ABY,8,44,8,9,"weather_delay, carrier_delay, nas_delay"
MSO,12,241,28,20,"carrier_delay, late_aircraft_delay, weather_delay"
BPT,10,38,4,5,"carrier_delay, weather_delay, late_aircraft_delay"
EKO,10,23,0,0,"carrier_delay, weather_delay, nas_delay"
AZO,1,56,8,7,"carrier_delay, weather_delay, nas_delay"
HTS,5,12,7,12,"late_aircraft_delay, nas_delay, carrier_delay"
TXK,10,53,6,3,"weather_delay, carrier_delay, late_aircraft_delay"
BPT,2,56,1,1,"carrier_delay, nas_delay, late_aircraft_delay"
HOU,9,3650,546,79,"late_aircraft_delay, carrier_delay, nas_delay"
AMA,10,403,42,13,"late_aircraft_delay, carrier_delay, nas_delay"
MDW,7,5019,1929,808,"late_aircraft_delay, carrier_delay, nas_delay"
BUF,4,1448,173,87,"late_aircraft_delay, nas_delay, carrier_delay"
ASE,6,472,81,73,"carrier_delay, late_aircraft_delay, weather_delay"
ANC,12,916,127,42,"late_aircraft_delay, carrier_delay, nas_delay"
PSG,6,51,7,2,"late_aircraft_delay, carrier_delay, nas_delay"
CID,4,499,54,36,"late_aircraft_delay, carrier_delay, nas_delay"
FAR,4,436,32,21,"carrier_delay, late_aircraft_delay, weather_delay"
OAJ,12,109,14,13,"late_aircraft_delay, carrier_delay, nas_delay"
LSE,6,12,1,0,"late_aircraft_delay, nas_delay, carrier_delay"
MSO,9,321,35,18,"late_aircraft_delay, carrier_delay, nas_delay"
FWA,11,366,45,25,"carrier_delay, late_aircraft_delay, weather_delay"
MYR,11,853,90,39,"late_aircraft_delay, nas_delay, carrier_delay"
SIT,11,77,9,1,"late_aircraft_delay, nas_delay, carrier_delay"
BRO,5,132,24,21,"carrier_delay, weather_delay, late_aircraft_delay"
PIA,3,224,31,30,"carrier_delay, late_aircraft_delay, nas_delay"
MHT,6,413,51,24,"late_aircraft_delay, carrier_delay, nas_delay"
SGU,12,258,16,16,"carrier_delay, late_aircraft_delay, nas_delay"
LRD,7,127,24,20,"carrier_delay, late_aircraft_delay, nas_delay"
PLN,7,86,13,14,"carrier_delay, weather_delay, nas_delay"
CNY,1,25,1,2,"late_aircraft_delay, carrier_delay, weather_delay"
TWF,5,57,0,5,"carrier_delay, weather_delay, nas_delay"
SWF,4,21,5,1,"nas_delay, late_aircraft_delay, carrier_delay"
LSE,10,37,1,2,"carrier_delay, late_aircraft_delay, nas_delay"
CDV,8,41,16,3,"late_aircraft_delay, carrier_delay, nas_delay"
LAX,12,12707,1945,1006,"carrier_delay, late_aircraft_delay, nas_delay"
PIA,2,221,12,17,"carrier_delay, late_aircraft_delay, nas_delay"
ABE,3,274,28,23,"carrier_delay, late_aircraft_delay, nas_delay"
CAE,9,492,47,46,"late_aircraft_delay, carrier_delay, nas_delay"
LIT,7,812,218,128,"late_aircraft_delay, carrier_delay, nas_delay"
CPR,7,195,17,13,"carrier_delay, nas_delay, late_aircraft_delay"
SJU,9,1622,193,128,"carrier_delay, late_aircraft_delay, nas_delay"
GGG,8,50,7,5,"late_aircraft_delay, carrier_delay, nas_delay"
SYR,4,884,90,50,"late_aircraft_delay, nas_delay, carrier_delay"
BTR,7,305,56,50,"carrier_delay, late_aircraft_delay, nas_delay"
BIS,12,256,47,43,"carrier_delay, weather_delay, nas_delay"
BMI,4,122,6,8,"late_aircraft_delay, nas_delay, weather_delay"
SFB,11,536,105,30,"carrier_delay, late_aircraft_delay, nas_delay"
STX,9,31,10,1,"carrier_delay, late_aircraft_delay, nas_delay"
DAY,10,548,26,24,"late_aircraft_delay, carrier_delay, nas_delay"
JMS,8,51,4,1,"carrier_delay, late_aircraft_delay, nas_delay"
FAR,3,417,37,27,"carrier_delay, nas_delay, late_aircraft_delay"
LCH,10,73,10,9,"carrier_delay, weather_delay, late_aircraft_delay"
MTJ,2,247,58,28,"late_aircraft_delay, nas_delay, carrier_delay"
LFT,8,248,28,20,"carrier_delay, late_aircraft_delay, weather_delay"
ALW,2,52,1,2,"late_aircraft_delay, nas_delay, carrier_delay"
HTS,12,11,8,7,"late_aircraft_delay, weather_delay, nas_delay"
DEC,8,38,7,8,"carrier_delay, late_aircraft_delay, nas_delay"
GSO,6,829,91,66,"late_aircraft_delay, carrier_delay, weather_delay"
OGG,8,1947,189,55,"late_aircraft_delay, carrier_delay, nas_delay"
BUF,6,1453,245,167,"late_aircraft_delay, carrier_delay, nas_delay"
HOU,6,3353,1197,455,"late_aircraft_delay, carrier_delay, nas_delay"
SBA,7,619,62,55,"carrier_delay, late_aircraft_delay, nas_delay"
FAI,10,224,26,6,"late_aircraft_delay, weather_delay, nas_delay"
GRB,6,284,45,36,"carrier_delay, nas_delay, late_aircraft_delay"
PAE,5,78,6,2,"late_aircraft_delay, carrier_delay, nas_delay"
TWF,9,53,3,0,"carrier_delay, nas_delay, weather_delay"
ACV,5,96,13,12,"nas_delay, late_aircraft_delay, carrier_delay"
FLG,1,93,7,10,"carrier_delay, weather_delay, nas_delay"
BZN,10,615,61,20,"carrier_delay, late_aircraft_delay, nas_delay"
ROA,6,165,33,27,"carrier_delay, weather_delay, late_aircraft_delay"
MHT,12,330,52,24,"late_aircraft_delay, carrier_delay, nas_delay"
BQN,12,140,40,26,"late_aircraft_delay, carrier_delay, nas_delay"
BLV,4,59,5,3,"carrier_delay, nas_delay, late_aircraft_delay"
YUM,4,117,6,6,"carrier_delay, nas_delay, late_aircraft_delay"
DLH,3,128,5,8,"weather_delay, carrier_delay, late_aircraft_delay"
SBA,9,542,59,29,"carrier_delay, late_aircraft_delay, nas_delay"
TLH,11,410,32,7,"late_aircraft_delay, carrier_delay, nas_delay"
BLV,11,46,10,2,"late_aircraft_delay, nas_delay, carrier_delay"
LCH,5,59,8,17,"weather_delay, carrier_delay, late_aircraft_delay"
TOL,12,24,6,6,"late_aircraft_delay, nas_delay, carrier_delay"
PHL,12,5454,1046,630,"late_aircraft_delay, carrier_delay, nas_delay"
BOS,6,8945,1699,1219,"late_aircraft_delay, carrier_delay, nas_delay"
STL,2,3797,507,181,"late_aircraft_delay, carrier_delay, nas_delay"
AGS,9,305,29,38,"late_aircraft_delay, carrier_delay, weather_delay"
BHM,1,981,129,120,"late_aircraft_delay, carrier_delay, nas_delay"
PVD,8,1016,175,119,"late_aircraft_delay, nas_delay, carrier_delay"
IND,7,3036,626,408,"late_aircraft_delay, carrier_delay, nas_delay"
LBB,1,349,51,48,"late_aircraft_delay, carrier_delay, weather_delay"
OKC,8,1605,203,138,"carrier_delay, late_aircraft_delay, weather_delay"
ACY,9,163,16,8,"carrier_delay, late_aircraft_delay, nas_delay"
ESC,9,48,5,2,"carrier_delay, weather_delay, nas_delay"
BLV,12,37,18,14,"late_aircraft_delay, carrier_delay, weather_delay"
MGM,8,196,25,8,"weather_delay, late_aircraft_delay, carrier_delay"
BPT,3,47,4,9,"weather_delay, late_aircraft_delay, nas_delay"
RST,5,109,16,18,"carrier_delay, weather_delay, nas_delay"
YUM,5,113,12,11,"carrier_delay, late_aircraft_delay, weather_delay"
