aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
SJC,12,3321,502,232,"late_aircraft_delay, carrier_delay, nas_delay"
MCW,12,40,3,4,"late_aircraft_delay, carrier_delay, nas_delay"
HOU,4,3652,841,262,"late_aircraft_delay, carrier_delay, nas_delay"
LEX,9,623,91,35,"carrier_delay, late_aircraft_delay, nas_delay"
SDF,1,1281,193,144,"carrier_delay, late_aircraft_delay, nas_delay"
STX,2,108,12,10,"late_aircraft_delay, nas_delay, carrier_delay"
BTR,1,262,49,49,"late_aircraft_delay, carrier_delay, weather_delay"
SBA,10,539,60,36,"late_aircraft_delay, carrier_delay, nas_delay"
LRD,8,140,15,5,"late_aircraft_delay, nas_delay, carrier_delay"
ROA,4,185,26,10,"carrier_delay, late_aircraft_delay, nas_delay"
ACK,8,344,34,47,"late_aircraft_delay, nas_delay, carrier_delay"
ITH,8,59,4,9,"late_aircraft_delay, weather_delay, nas_delay"
LBB,11,392,57,37,"carrier_delay, late_aircraft_delay, nas_delay"
LAW,9,82,4,4,"weather_delay, nas_delay, carrier_delay"
LBE,10,63,2,0,"carrier_delay, late_aircraft_delay, weather_delay"
JMS,9,48,5,2,"carrier_delay, late_aircraft_delay, nas_delay"
LFT,10,234,18,19,"carrier_delay, late_aircraft_delay, weather_delay"
LCK,7,92,17,16,"carrier_delay, late_aircraft_delay, nas_delay"
PLN,12,29,7,5,"carrier_delay, nas_delay, weather_delay"
ORD,3,17340,2522,1365,"late_aircraft_delay, carrier_delay, nas_delay"
DTW,11,9138,906,489,"carrier_delay, nas_delay, late_aircraft_delay"
PHX,2,12124,1780,548,"late_aircraft_delay, carrier_delay, nas_delay"
BWI,6,5561,2301,763,"late_aircraft_delay, carrier_delay, nas_delay"
AVL,7,756,242,194,"late_aircraft_delay, carrier_delay, nas_delay"
LBB,2,382,33,18,"carrier_delay, late_aircraft_delay, nas_delay"
FAT,8,832,101,65,"carrier_delay, late_aircraft_delay, nas_delay"
CYS,2,32,2,5,"late_aircraft_delay, weather_delay, carrier_delay"
ITO,5,472,70,27,"late_aircraft_delay, carrier_delay, nas_delay"
MEI,10,48,3,2,"carrier_delay, nas_delay, weather_delay"
PSE,3,85,13,9,"late_aircraft_delay, nas_delay, carrier_delay"
KTN,8,204,49,20,"late_aircraft_delay, carrier_delay, weather_delay"
SPS,6,52,3,4,"weather_delay, carrier_delay, late_aircraft_delay"
VLD,8,50,5,3,"late_aircraft_delay, carrier_delay, nas_delay"
PVU,10,174,20,23,"carrier_delay, late_aircraft_delay, nas_delay"
RFD,9,48,3,6,"carrier_delay, nas_delay, late_aircraft_delay"
BQN,9,103,15,17,"late_aircraft_delay, carrier_delay, nas_delay"
LWS,3,85,3,3,"late_aircraft_delay, carrier_delay, nas_delay"
CLL,11,71,10,8,"late_aircraft_delay, carrier_delay, weather_delay"
BRD,10,37,3,2,"carrier_delay, security_delay, weather_delay"
ACT,5,68,7,11,"carrier_delay, weather_delay, nas_delay"
MSP,11,8694,721,333,"carrier_delay, nas_delay, late_aircraft_delay"
HNL,6,4407,574,147,"carrier_delay, late_aircraft_delay, nas_delay"
OMA,1,1299,232,199,"carrier_delay, late_aircraft_delay, nas_delay"
TPA,9,4270,493,288,"late_aircraft_delay, carrier_delay, nas_delay"
PVD,7,904,188,168,"late_aircraft_delay, carrier_delay, nas_delay"
AVL,11,670,75,43,"late_aircraft_delay, carrier_delay, nas_delay"
ROA,5,191,31,18,"carrier_delay, late_aircraft_delay, nas_delay"
ABE,11,235,24,14,"late_aircraft_delay, carrier_delay, nas_delay"
AZA,8,313,54,18,"carrier_delay, late_aircraft_delay, nas_delay"
PAE,12,73,13,5,"late_aircraft_delay, nas_delay, carrier_delay"
MSN,5,773,109,114,"late_aircraft_delay, carrier_delay, nas_delay"
MFE,11,329,40,31,"carrier_delay, late_aircraft_delay, nas_delay"
ITH,1,24,2,5,"weather_delay, carrier_delay, late_aircraft_delay"
DLH,10,206,11,4,"carrier_delay, late_aircraft_delay, nas_delay"
RFD,5,40,12,5,"late_aircraft_delay, nas_delay, carrier_delay"
GUM,12,58,2,1,"nas_delay, carrier_delay, weather_delay"
LBL,11,38,5,3,"late_aircraft_delay, carrier_delay, nas_delay"
BQK,5,38,9,14,"carrier_delay, nas_delay, weather_delay"
BRW,5,24,6,1,"late_aircraft_delay, security_delay, nas_delay"
WYS,9,54,0,4,"carrier_delay, weather_delay, late_aircraft_delay"
MIA,10,6657,823,394,"carrier_delay, late_aircraft_delay, nas_delay"
LGA,4,9837,1270,822,"carrier_delay, late_aircraft_delay, nas_delay"
SFO,10,10170,1401,620,"late_aircraft_delay, carrier_delay, nas_delay"
MCI,9,3638,323,119,"late_aircraft_delay, carrier_delay, nas_delay"
TVC,6,384,64,49,"carrier_delay, late_aircraft_delay, nas_delay"
CAK,4,234,20,23,"late_aircraft_delay, carrier_delay, weather_delay"
PVD,9,1171,97,50,"carrier_delay, late_aircraft_delay, nas_delay"
SMF,4,3586,538,215,"late_aircraft_delay, carrier_delay, nas_delay"
GRI,12,42,19,14,"carrier_delay, weather_delay, nas_delay"
SAV,6,1325,218,100,"late_aircraft_delay, carrier_delay, nas_delay"
SAV,10,1458,167,46,"late_aircraft_delay, carrier_delay, nas_delay"
GPT,4,225,18,16,"carrier_delay, late_aircraft_delay, nas_delay"
FNT,12,149,36,17,"nas_delay, carrier_delay, late_aircraft_delay"
BQK,12,64,7,8,"carrier_delay, nas_delay, weather_delay"
DRO,8,290,31,30,"carrier_delay, late_aircraft_delay, nas_delay"
DAB,1,170,13,15,"carrier_delay, late_aircraft_delay, weather_delay"
USA,8,25,13,8,"late_aircraft_delay, weather_delay, carrier_delay"
YAK,3,46,7,5,"late_aircraft_delay, weather_delay, nas_delay"
LSE,8,30,2,2,"carrier_delay, nas_delay, late_aircraft_delay"
HHH,3,75,14,3,"late_aircraft_delay, nas_delay, carrier_delay"
FNT,2,137,19,9,"carrier_delay, nas_delay, late_aircraft_delay"
OTH,10,28,3,5,"weather_delay, carrier_delay, late_aircraft_delay"
PSM,12,26,4,3,"late_aircraft_delay, nas_delay, carrier_delay"
BRW,2,22,3,3,"late_aircraft_delay, nas_delay, weather_delay"
SCK,9,22,10,6,"carrier_delay, late_aircraft_delay, nas_delay"
LGA,7,8990,1891,1752,"late_aircraft_delay, carrier_delay, nas_delay"
SFO,5,7264,2086,981,"late_aircraft_delay, carrier_delay, nas_delay"
COS,6,926,145,75,"late_aircraft_delay, carrier_delay, nas_delay"
LGA,3,9148,1422,833,"late_aircraft_delay, carrier_delay, nas_delay"
IAH,1,5966,1252,888,"late_aircraft_delay, carrier_delay, nas_delay"
SFO,2,6404,1626,968,"late_aircraft_delay, carrier_delay, nas_delay"
ISP,8,242,57,55,"late_aircraft_delay, nas_delay, carrier_delay"
MSN,11,823,66,39,"carrier_delay, late_aircraft_delay, nas_delay"
RNO,3,1310,213,123,"late_aircraft_delay, nas_delay, carrier_delay"
PSE,9,43,2,1,"late_aircraft_delay, nas_delay, carrier_delay"
PIA,4,218,30,19,"nas_delay, late_aircraft_delay, carrier_delay"
GGG,12,44,5,8,"carrier_delay, nas_delay, late_aircraft_delay"
