aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
ABE,1,339,48,51,"['Carrier (5417 min)', 'Late Aircraft (4645 min)', 'Weather (2522 min)']"
ABE,2,332,30,22,"['Carrier (3272 min)', 'NAS (1384 min)', 'Late Aircraft (909 min)']"
ABE,3,429,45,33,"['Late Aircraft (2742 min)', 'Carrier (1789 min)', 'NAS (1765 min)']"
ABE,4,381,40,38,"['Carrier (5185 min)', 'Late Aircraft (2616 min)', 'NAS (1752 min)']"
ABE,5,447,37,60,"['Late Aircraft (5373 min)', 'Carrier (2858 min)', 'NAS (2505 min)']"
ABE,6,443,58,58,"['Carrier (4249 min)', 'Late Aircraft (3562 min)', 'NAS (2124 min)']"
ABE,7,433,65,58,"['Late Aircraft (4704 min)', 'Carrier (3519 min)', 'NAS (1883 min)']"
ABE,8,413,59,42,"['Late Aircraft (3490 min)', 'Carrier (2268 min)', 'NAS (1834 min)']"
ABE,9,373,38,23,"['Late Aircraft (2222 min)', 'Carrier (1323 min)', 'Weather (1230 min)']"
ABE,10,403,45,26,"['Late Aircraft (2649 min)', 'Carrier (1938 min)', 'NAS (281 min)']"
ABE,11,352,34,21,"['Late Aircraft (1533 min)', 'Carrier (1357 min)', 'NAS (1286 min)']"
ABE,12,359,50,43,"['Carrier (3430 min)', 'Late Aircraft (3413 min)', 'Weather (1103 min)']"
ABI,1,191,17,19,"['Late Aircraft (1519 min)', 'NAS (910 min)', 'Weather (818 min)']"
ABI,2,200,12,2,"['NAS (303 min)', 'Late Aircraft (213 min)', 'Carrier (212 min)']"
ABI,3,187,20,19,"['Late Aircraft (1542 min)', 'Carrier (590 min)', 'Weather (572 min)']"
ABI,4,167,22,16,"['Late Aircraft (1157 min)', 'Weather (1152 min)', 'NAS (231 min)']"
ABI,5,138,37,33,"['Late Aircraft (3542 min)', 'Carrier (1765 min)', 'Weather (938 min)']"
ABI,6,160,28,20,"['Late Aircraft (1388 min)', 'Carrier (956 min)', 'Weather (269 min)']"
ABI,7,183,35,14,"['Late Aircraft (1451 min)', 'Carrier (944 min)', 'NAS (346 min)']"
ABI,8,200,18,3,"['Late Aircraft (488 min)', 'NAS (166 min)', 'Carrier (154 min)']"
ABI,9,187,20,14,"['Late Aircraft (840 min)', 'Carrier (650 min)', 'NAS (264 min)']"
ABI,10,217,5,6,"['Carrier (462 min)', 'Late Aircraft (356 min)', 'NAS (56 min)']"
ABI,11,187,11,11,"['Weather (600 min)', 'Carrier (425 min)', 'Late Aircraft (378 min)']"
ABI,12,193,8,20,"['Late Aircraft (1334 min)', 'Carrier (712 min)', 'NAS (398 min)']"
ABQ,1,2137,306,177,"['Late Aircraft (18751 min)', 'Carrier (7713 min)', 'NAS (5794 min)']"
ABQ,2,2084,233,97,"['Late Aircraft (9938 min)', 'Carrier (6454 min)', 'NAS (5261 min)']"
ABQ,3,2247,372,170,"['Late Aircraft (18371 min)', 'Carrier (11036 min)', 'NAS (8291 min)']"
ABQ,4,2267,379,138,"['Late Aircraft (13480 min)', 'Carrier (8145 min)', 'NAS (6012 min)']"
ABQ,5,2432,489,244,"['Late Aircraft (22310 min)', 'Carrier (15946 min)', 'NAS (8081 min)']"
ABQ,6,2441,479,178,"['Late Aircraft (18754 min)', 'Carrier (12049 min)', 'NAS (5233 min)']"
ABQ,7,2389,489,262,"['Late Aircraft (30393 min)', 'Carrier (15698 min)', 'NAS (7389 min)']"
ABQ,8,2522,349,179,"['Late Aircraft (16019 min)', 'Carrier (10318 min)', 'NAS (5692 min)']"
ABQ,9,2605,326,100,"['Late Aircraft (9004 min)', 'Carrier (7679 min)', 'NAS (3336 min)']"
ABQ,10,3136,313,115,"['Late Aircraft (9905 min)', 'Carrier (8718 min)', 'NAS (3911 min)']"
ABQ,11,2580,274,113,"['Late Aircraft (10668 min)', 'NAS (8402 min)', 'Carrier (6425 min)']"
ABQ,12,2487,330,125,"['Late Aircraft (15333 min)', 'Carrier (5771 min)', 'NAS (5409 min)']"
ABR,1,67,9,8,"['Weather (604 min)', 'Carrier (433 min)', 'NAS (16 min)']"
ABR,2,57,4,3,"['Weather (1154 min)', 'Carrier (79 min)', 'NAS (0 min)']"
ABR,3,50,5,12,"['Carrier (1569 min)', 'Weather (458 min)', 'NAS (0 min)']"
ABR,4,85,2,5,"['Carrier (872 min)', 'Weather (688 min)', 'NAS (0 min)']"
ABR,5,84,3,9,"['Carrier (1227 min)', 'Weather (119 min)', 'NAS (1 min)']"
ABR,6,59,18,9,"['Carrier (2597 min)', 'NAS (601 min)', 'Weather (555 min)']"
ABR,7,74,10,11,"['Carrier (1292 min)', 'NAS (306 min)', 'Weather (127 min)']"
ABR,8,73,8,10,"['Carrier (1446 min)', 'Weather (474 min)', 'NAS (256 min)']"
ABR,9,80,0,6,"['Carrier (895 min)', 'Weather (0 min)', 'NAS (0 min)']"
ABR,10,74,10,6,"['Carrier (1300 min)', 'Weather (106 min)', 'NAS (1 min)']"
ABR,11,79,8,4,"['Carrier (506 min)', 'Weather (0 min)', 'NAS (0 min)']"
ABR,12,52,12,16,"['Carrier (4666 min)', 'Weather (595 min)', 'NAS (128 min)']"
ABY,1,75,8,10,"['Carrier (2886 min)', 'Weather (661 min)', 'NAS (49 min)']"
ABY,2,72,11,9,"['Carrier (1363 min)', 'Weather (494 min)', 'NAS (62 min)']"
ABY,3,92,3,5,"['Carrier (765 min)', 'Weather (50 min)', 'NAS (0 min)']"
ABY,4,76,9,7,"['Carrier (1217 min)', 'NAS (158 min)', 'Weather (33 min)']"
ABY,5,70,8,10,"['Carrier (1235 min)', 'Weather (219 min)', 'NAS (125 min)']"
ABY,6,75,6,6,"['Carrier (632 min)', 'NAS (18 min)', 'Weather (0 min)']"
ABY,7,55,10,19,"['Carrier (3602 min)', 'Weather (636 min)', 'NAS (225 min)']"
ABY,8,67,11,13,"['Carrier (1807 min)', 'Weather (1318 min)', 'NAS (7 min)']"
ABY,9,74,10,8,"['Carrier (865 min)', 'Weather (256 min)', 'NAS (104 min)']"
ABY,10,94,2,2,"['Carrier (353 min)', 'NAS (28 min)', 'Weather (0 min)']"
ABY,11,104,8,5,"['Carrier (1295 min)', 'Weather (160 min)', 'NAS (38 min)']"
ABY,12,77,7,17,"['Carrier (2741 min)', 'Weather (544 min)', 'Late Aircraft (177 min)']"
ACK,5,143,17,22,"['Late Aircraft (2850 min)', 'NAS (1203 min)', 'Carrier (236 min)']"
ACK,6,368,48,53,"['Late Aircraft (4804 min)', 'NAS (4136 min)', 'Carrier (2475 min)']"
ACK,7,474,95,73,"['Late Aircraft (6579 min)', 'NAS (4259 min)', 'Carrier (3415 min)']"
ACK,8,505,51,76,"['Late Aircraft (7798 min)', 'NAS (5139 min)', 'Carrier (3287 min)']"
ACK,9,238,14,11,"['Late Aircraft (1395 min)', 'NAS (502 min)', 'Carrier (143 min)']"
ACK,10,90,6,5,"['NAS (594 min)', 'Carrier (297 min)', 'Late Aircraft (229 min)']"
ACT,1,94,16,17,"['Carrier (2408 min)', 'Late Aircraft (1551 min)', 'Weather (810 min)']"
ACT,2,122,4,7,"['Carrier (353 min)', 'NAS (317 min)', 'Late Aircraft (210 min)']"
ACT,3,113,11,5,"['Late Aircraft (522 min)', 'NAS (489 min)', 'Weather (23 min)']"
ACT,4,112,15,8,"['Weather (1127 min)', 'Carrier (295 min)', 'Late Aircraft (281 min)']"
ACT,5,96,8,18,"['Carrier (1969 min)', 'Weather (1251 min)', 'NAS (941 min)']"
ACT,6,86,21,27,"['Carrier (2845 min)', 'Late Aircraft (1298 min)', 'NAS (445 min)']"
ACT,7,109,12,16,"['Carrier (2324 min)', 'Weather (334 min)', 'NAS (221 min)']"
ACT,8,112,16,7,"['Late Aircraft (677 min)', 'Carrier (561 min)', 'NAS (219 min)']"
ACT,9,114,15,8,"['Carrier (946 min)', 'Late Aircraft (712 min)', 'NAS (190 min)']"
ACT,10,94,22,29,"['Carrier (2827 min)', 'Late Aircraft (1048 min)', 'NAS (256 min)']"
ACT,11,116,9,7,"['Late Aircraft (876 min)', 'Carrier (743 min)', 'NAS (10 min)']"
ACT,12,85,18,24,"['Carrier (3118 min)', 'Weather (719 min)', 'NAS (276 min)']"
ACV,1,165,25,24,"['Carrier (2670 min)', 'Late Aircraft (1304 min)', 'Weather (1098 min)']"
ACV,2,131,30,20,"['Late Aircraft (4773 min)', 'NAS (1593 min)', 'Carrier (938 min)']"
ACV,3,149,41,19,"['NAS (2116 min)', 'Carrier (1641 min)', 'Late Aircraft (792 min)']"
ACV,4,135,20,19,"['Carrier (1616 min)', 'NAS (1112 min)', 'Late Aircraft (716 min)']"
ACV,5,141,19,17,"['NAS (1672 min)', 'Late Aircraft (968 min)', 'Carrier (758 min)']"
ACV,6,144,16,14,"['Carrier (2143 min)', 'Late Aircraft (726 min)', 'NAS (471 min)']"
ACV,7,184,16,13,"['Carrier (2992 min)', 'Late Aircraft (1252 min)', 'NAS (678 min)']"
ACV,8,180,25,14,"['Late Aircraft (1245 min)', 'Weather (1179 min)', 'Carrier (828 min)']"
ACV,9,170,12,28,"['Weather (2723 min)', 'Carrier (2621 min)', 'Late Aircraft (2578 min)']"
ACV,10,223,19,34,"['Carrier (2454 min)', 'Weather (2105 min)', 'Late Aircraft (2086 min)']"
ACV,11,198,24,27,"['Weather (1216 min)', 'Late Aircraft (1179 min)', 'Carrier (989 min)']"
ACV,12,211,16,10,"['Carrier (1467 min)', 'NAS (652 min)', 'Weather (426 min)']"
ACY,1,333,33,15,"['NAS (1942 min)', 'Carrier (1319 min)', 'Late Aircraft (858 min)']"
ACY,2,319,49,22,"['NAS (2148 min)', 'Carrier (1459 min)', 'Late Aircraft (1249 min)']"
ACY,3,296,113,52,"['NAS (6384 min)', 'Late Aircraft (3280 min)', 'Carrier (2284 min)']"
ACY,4,371,39,22,"['NAS (3037 min)', 'Carrier (694 min)', 'Late Aircraft (669 min)']"
ACY,5,344,47,19,"['NAS (2113 min)', 'Late Aircraft (1605 min)', 'Carrier (200 min)']"
ACY,6,267,44,46,"['Carrier (2906 min)', 'NAS (2447 min)', 'Late Aircraft (1388 min)']"
ACY,7,255,55,26,"['Late Aircraft (2362 min)', 'Carrier (2316 min)', 'NAS (1348 min)']"
ACY,8,310,56,40,"['NAS (2716 min)', 'Late Aircraft (2520 min)', 'Carrier (1660 min)']"
ACY,9,248,24,10,"['Carrier (761 min)', 'NAS (543 min)', 'Late Aircraft (422 min)']"
ACY,10,244,22,9,"['Late Aircraft (941 min)', 'Carrier (467 min)', 'NAS (266 min)']"
ACY,11,243,20,11,"['Carrier (1282 min)', 'NAS (698 min)', 'Late Aircraft (556 min)']"
ACY,12,204,36,26,"['NAS (1480 min)', 'Late Aircraft (1014 min)', 'Carrier (864 min)']"
ADK,1,6,2,0,"['Security (59 min)', 'NAS (25 min)', 'Carrier (0 min)']"
ADK,2,4,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADK,3,3,0,2,"['Late Aircraft (206 min)', 'Carrier (0 min)', 'Weather (0 min)']"
ADK,4,2,1,2,"['Late Aircraft (480 min)', 'Security (7 min)', 'Carrier (0 min)']"
ADK,5,4,2,0,"['Late Aircraft (19 min)', 'Security (15 min)', 'Carrier (0 min)']"
ADK,6,8,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
