aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
SJC,12,2463,380,165,"late_aircraft_delay, carrier_delay, nas_delay"
MCW,12,34,2,3,"late_aircraft_delay, carrier_delay, nas_delay"
HOU,4,2748,650,192,"late_aircraft_delay, carrier_delay, nas_delay"
LEX,9,453,63,27,"carrier_delay, late_aircraft_delay, nas_delay"
SDF,1,985,138,110,"carrier_delay, late_aircraft_delay, nas_delay"
STX,2,82,9,8,"nas_delay, late_aircraft_delay, carrier_delay"
BTR,1,198,36,33,"late_aircraft_delay, carrier_delay, weather_delay"
SBA,10,425,45,25,"late_aircraft_delay, carrier_delay, nas_delay"
LRD,8,107,15,5,"late_aircraft_delay, nas_delay, carrier_delay"
ROA,4,130,19,6,"carrier_delay, late_aircraft_delay, nas_delay"
ACK,8,251,27,36,"late_aircraft_delay, nas_delay, carrier_delay"
ITH,8,46,3,5,"late_aircraft_delay, weather_delay, nas_delay"
LBB,11,300,40,28,"carrier_delay, late_aircraft_delay, nas_delay"
LAW,9,62,2,4,"weather_delay, nas_delay, carrier_delay"
LBE,10,46,1,0,"carrier_delay, weather_delay, nas_delay"
JMS,9,37,3,1,"carrier_delay, nas_delay, weather_delay"
LFT,10,174,13,15,"carrier_delay, late_aircraft_delay, nas_delay"
LCK,7,68,14,10,"late_aircraft_delay, carrier_delay, nas_delay"
PLN,12,21,5,4,"carrier_delay, nas_delay, weather_delay"
ORD,3,13035,1904,1020,"late_aircraft_delay, carrier_delay, nas_delay"
DTW,11,6794,704,375,"carrier_delay, nas_delay, late_aircraft_delay"
PHX,2,9108,1345,415,"late_aircraft_delay, carrier_delay, nas_delay"
BWI,6,4137,1750,577,"late_aircraft_delay, carrier_delay, nas_delay"
AVL,7,561,172,137,"late_aircraft_delay, carrier_delay, nas_delay"
LBB,2,300,28,15,"carrier_delay, nas_delay, late_aircraft_delay"
FAT,8,623,68,44,"carrier_delay, late_aircraft_delay, nas_delay"
CYS,2,19,2,4,"late_aircraft_delay, carrier_delay, nas_delay"
ITO,5,362,55,19,"late_aircraft_delay, carrier_delay, nas_delay"
MEI,10,31,2,1,"carrier_delay, nas_delay, weather_delay"
PSE,3,61,11,8,"late_aircraft_delay, carrier_delay, nas_delay"
KTN,8,155,30,14,"late_aircraft_delay, carrier_delay, weather_delay"
SPS,6,34,3,3,"weather_delay, carrier_delay, late_aircraft_delay"
VLD,8,34,3,3,"late_aircraft_delay, carrier_delay, nas_delay"
PVU,10,123,15,18,"carrier_delay, nas_delay, weather_delay"
RFD,9,37,3,3,"carrier_delay, nas_delay, weather_delay"
