aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
ABE,9E,1439,10.54,3.7,1.39,-2.98,1
ABE,G4,2479,10.98,5.59,1.73,-2.54,2
ABE,OH,1497,15.38,6.48,1.4,1.86,3
ABE,OO,417,32.89,27.17,4.8,19.37,4
ABI,MQ,2644,6.97,4.1,0.91,0.0,1
ABQ,AA,4503,16.98,14.55,2.07,7.84,8
ABQ,AS,602,8.15,5.26,1.0,-0.99,5
ABQ,B6,361,45.9,42.37,1.66,36.76,9
ABQ,DL,2237,2.23,-4.69,0.85,-6.91,2
ABQ,MQ,1347,5.28,3.41,0.59,-3.86,3
ABQ,NK,781,10.59,7.07,0.77,1.45,7
ABQ,OO,5966,2.13,-1.6,0.54,-7.01,1
ABQ,UA,2740,5.99,0.37,0.99,-3.15,4
ABQ,WN,17316,10.44,4.37,0.53,1.3,6
ABR,OO,1031,19.58,12.17,0.87,0.0,1
ABY,9E,50,13.52,9.34,0.0,-2.43,1
ABY,OO,1097,16.06,15.18,1.09,0.11,2
ACK,B6,1467,13.01,10.02,3.68,-1.3,1
ACK,MQ,30,25.47,26.73,0.0,11.16,3
ACK,OO,38,36.58,23.56,5.26,22.27,4
ACK,YX,886,15.19,16.36,8.58,0.88,2
ACT,MQ,511,17.99,17.61,1.96,1.53,2
ACT,OO,1120,15.76,15.81,2.5,-0.7,1
ACV,OO,2581,18.53,16.86,1.86,0.0,1
ACY,NK,4356,10.01,3.88,1.97,0.0,1
ADK,AS,114,8.93,8.89,12.28,0.0,1
ADQ,AS,1205,3.31,2.01,2.07,0.0,1
AEX,9E,1284,12.98,8.06,0.93,-3.37,1
AEX,MQ,49,32.86,33.53,0.0,16.51,3
AEX,OO,1560,18.62,14.68,2.37,2.27,2
AGS,9E,2387,12.4,6.91,2.22,-4.31,3
AGS,AA,33,35.79,33.82,0.0,19.08,7
AGS,DL,234,16.32,11.15,0.0,-0.39,4
AGS,MQ,290,9.62,2.4,2.41,-7.09,1
AGS,OH,2331,19.48,18.51,2.83,2.77,5
AGS,OO,645,25.33,18.91,1.24,8.62,6
AGS,YX,49,11.39,0.83,0.0,-5.32,2
AKN,AS,240,-5.79,-2.63,0.83,0.0,1
ALB,9E,1539,5.81,-3.27,2.4,-7.94,3
ALB,AA,2069,19.96,15.02,0.87,6.21,9
ALB,B6,1088,20.81,16.88,1.38,7.06,10
ALB,DL,1870,14.56,6.3,1.44,0.81,7
ALB,G4,774,28.79,21.37,1.55,15.04,11
ALB,MQ,256,3.34,3.04,0.0,-10.41,1
ALB,OH,1622,18.27,16.6,3.39,4.52,8
ALB,OO,1154,10.02,6.56,0.26,-3.73,5
ALB,UA,1059,7.44,5.45,1.42,-6.31,4
ALB,WN,5252,11.61,4.35,0.93,-2.14,6
ALB,YX,463,5.54,2.04,1.73,-8.21,2
ALW,OO,816,0.12,2.64,3.31,0.0,1
AMA,AA,296,18.54,18.06,2.03,9.07,4
AMA,MQ,3131,8.0,5.67,1.72,-1.47,2
AMA,OO,1255,14.87,13.03,1.83,5.4,3
AMA,WN,2892,7.83,1.92,0.62,-1.64,1
ANC,AA,668,35.61,25.85,0.45,28.77,4
ANC,AS,20930,4.15,1.96,1.65,-2.69,1
ANC,DL,3208,14.93,7.6,0.84,8.09,3
ANC,UA,1765,12.95,4.22,2.21,6.11,2
APN,OO,907,18.11,12.57,3.09,0.0,1
ASE,OO,11158,28.63,24.41,6.96,0.0,1
ATL,9E,40351,6.63,2.51,1.09,-4.46,1
ATL,AA,11300,20.23,16.48,1.85,9.14,9
ATL,AS,1997,10.33,6.89,2.2,-0.76,4
ATL,B6,4468,22.68,18.21,1.5,11.59,12
ATL,DL,339504,9.3,5.58,0.87,-1.79,3
ATL,F9,17237,25.84,21.9,2.6,14.75,13
ATL,MQ,993,14.86,12.52,1.81,3.77,7
ATL,NK,15115,20.58,13.98,1.8,9.49,10
ATL,OH,3543,18.34,15.61,1.69,7.25,8
ATL,OO,12267,20.77,17.44,0.78,9.68,11
ATL,UA,10767,13.34,8.44,1.78,2.25,6
ATL,WN,49979,12.6,6.59,0.68,1.51,5
ATL,YX,1803,8.75,6.59,1.77,-2.34,2
ATW,9E,254,11.56,10.92,0.0,-6.16,2
ATW,DL,484,12.9,5.76,0.83,-4.82,3
ATW,G4,1683,10.58,6.2,2.44,-7.14,1
ATW,MQ,1078,15.92,10.1,1.48,-1.8,4
ATW,OO,5429,21.02,17.99,2.21,3.3,5
AUS,9E,566,15.3,14.5,0.53,0.74,8
AUS,AA,20405,20.32,17.29,1.58,5.76,9
AUS,AS,4167,11.33,9.01,2.66,-3.23,3
AUS,B6,1119,33.22,25.47,0.98,18.66,15
AUS,DL,16307,14.86,8.17,0.85,0.3,7
AUS,F9,1030,23.78,20.31,1.94,9.22,14
AUS,G4,1624,21.49,18.28,1.97,6.93,11
AUS,HA,245,22.5,27.23,0.82,7.94,13
AUS,MQ,3399,13.61,11.68,1.47,-0.95,6
AUS,NK,1603,20.49,13.88,2.5,5.93,10
AUS,OH,35,13.43,6.0,0.0,-1.13,5
AUS,OO,5433,21.99,17.93,0.35,7.43,12
AUS,UA,14009,11.19,5.85,1.37,-3.37,2
AUS,WN,56087,11.91,5.84,0.64,-2.65,4
AUS,YX,171,2.18,-1.33,0.0,-12.38,1
AVL,9E,945,12.75,5.11,2.33,-4.14,4
