aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
SGF,DL,81,19.99,10.51,1.23,0.37,3
SGF,OO,560,23.35,17.66,1.07,3.73,4
SGF,G4,216,26.5,22.5,1.85,6.88,5
SGF,OH,239,33.27,31.23,1.26,13.65,6
SGU,OO,726,5.4,1.08,0.55,0.0,1
SHR,OO,174,0.26,1.12,0.57,0.0,1
SHV,9E,324,5.7,-1.24,1.23,-8.83,1
SHV,MQ,209,15.14,9.33,1.91,0.61,2
SHV,OH,419,16.2,13.73,2.39,1.67,3
SHV,G4,39,24.13,18.08,2.56,9.6,4
SHV,OO,156,25.17,20.61,0.64,10.64,5
SIT,AS,324,-3.72,-3.97,1.85,-2.23,1
SIT,OO,16,49.07,42.79,12.5,50.56,2
SJC,AS,695,0.91,-2.51,2.16,-5.39,1
SJC,OO,2092,1.65,-0.7,0.14,-4.65,2
SJC,DL,544,2.61,-5.63,0.37,-3.69,3
SJC,HA,161,3.46,-0.16,0.62,-2.84,4
SJC,MQ,98,3.77,-1.78,0.0,-2.53,5
SJC,F9,146,6.32,8.03,0.0,0.02,6
SJC,UA,528,6.94,-0.39,1.89,0.64,7
SJC,WN,7025,7.53,1.53,0.64,1.23,8
SJC,NK,652,11.32,8.58,1.69,5.02,9
SJC,AA,380,12.34,6.28,0.79,6.04,10
SJC,B6,43,45.17,30.36,2.33,38.87,11
SJT,MQ,168,15.19,12.99,1.19,-1.44,1
SJT,OO,86,19.53,19.17,3.49,2.9,2
SJU,MQ,4,-0.25,1.25,0.0,-18.37,1
SJU,DL,880,9.21,7.03,0.34,-8.91,2
SJU,WN,979,10.4,8.58,1.23,-7.72,3
SJU,UA,814,12.69,10.11,1.47,-5.43,4
SJU,NK,1112,14.7,10.86,2.25,-3.42,5
SJU,AA,970,22.56,22.85,0.72,4.44,6
SJU,F9,1405,22.94,22.79,2.63,4.82,7
SJU,B6,2405,23.41,15.86,1.25,5.29,8
SLC,OO,7857,4.02,-0.03,0.33,-5.25,1
SLC,AS,306,7.81,4.55,1.63,-1.46,2
SLC,DL,13306,9.55,4.4,0.71,0.28,3
SLC,UA,1008,11.25,6.28,1.98,1.98,4
SLC,WN,2977,11.74,5.11,0.34,2.47,5
SLC,NK,305,12.22,7.3,0.98,2.95,6
SLC,MQ,24,14.54,1.63,0.0,5.27,7
SLC,HA,57,15.0,11.14,0.0,5.73,8
SLC,F9,794,20.61,19.23,2.14,11.34,9
SLC,AA,912,23.7,18.44,1.32,14.43,10
SLC,B6,365,24.23,18.5,0.27,14.96,11
SLN,OO,184,13.63,12.81,1.63,0.0,1
SMF,OO,2097,3.76,0.56,0.52,-5.16,1
SMF,MQ,53,4.17,-2.6,0.0,-4.75,2
SMF,AS,294,4.86,2.52,1.02,-4.06,3
SMF,UA,971,6.09,0.21,1.03,-2.83,4
SMF,DL,810,6.49,-0.12,0.49,-2.43,5
SMF,F9,220,6.53,6.55,0.91,-2.39,6
SMF,WN,7534,9.43,3.46,0.44,0.51,7
SMF,HA,222,11.59,11.52,0.9,2.67,8
SMF,NK,444,11.67,8.21,2.03,2.75,9
SMF,AA,837,20.41,14.44,1.55,11.49,10
SMF,B6,91,34.92,28.91,1.1,26.0,11
SMX,G4,27,34.04,35.15,0.0,0.0,1
SNA,AS,1028,2.75,1.39,1.46,-8.5,1
SNA,UA,1424,8.17,2.29,0.84,-3.08,2
SNA,NK,304,8.54,5.84,2.3,-2.71,3
SNA,WN,3594,8.92,0.94,0.81,-2.33,4
