aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
ABE,9E,504,9.91,3.27,1.19,-2.06,1
ABE,G4,848,10.84,5.54,1.53,-1.13,2
ABE,OH,498,11.93,2.98,1.20,-0.04,3
ABE,OO,134,27.7,22.43,5.97,15.73,4
ABI,MQ,888,6.37,3.45,1.01,0.0,1
ABQ,OO,2054,1.78,-1.96,0.68,-7.04,1
ABQ,DL,737,2.4,-4.68,0.68,-6.42,2
ABQ,MQ,446,5.13,3.22,0.45,-3.69,3
ABQ,AS,193,6.13,3.82,1.04,-2.69,4
ABQ,UA,934,6.7,1.15,0.86,-2.12,5
ABQ,WN,5740,10.29,4.2,0.54,1.47,6
ABQ,NK,263,12.86,9.6,0.00,4.04,7
ABQ,AA,1509,16.05,13.8,1.99,7.23,8
ABQ,B6,112,35.95,32.08,0.89,27.13,9
ABR,OO,348,16.72,9.17,0.86,0.0,1
ABY,OO,373,12.76,12.16,1.34,-0.27,1
ABY,9E,14,20.36,17.0,0.00,7.33,2
ACK,YX,284,13.65,15.54,8.45,-0.79,1
ACK,B6,491,13.8,10.37,3.05,-0.64,2
ACK,MQ,8,35.5,37.88,0.00,21.06,3
ACK,OO,13,42.83,25.42,7.69,28.39,4
ACT,MQ,175,16.9,16.54,1.71,-1.41,1
ACT,OO,370,18.98,19.3,2.16,0.67,2
ACV,OO,861,17.1,15.33,1.74,0.0,1
ACY,NK,1465,9.97,3.85,2.05,0.0,1
ADK,AS,39,8.24,9.48,15.38,0.0,1
ADQ,AS,401,3.83,2.31,2.00,0.0,1
AEX,9E,413,9.2,4.08,0.73,-5.06,1
AEX,OO,537,18.08,13.91,2.42,3.82,2
AEX,MQ,16,18.81,22.0,0.00,4.55,3
AGS,YX,20,11.65,-0.25,0.00,-4.46,1
AGS,MQ,101,11.96,5.06,1.98,-4.15,2
AGS,9E,792,12.07,6.39,2.53,-4.04,3
AGS,DL,66,12.45,7.09,0.00,-3.66,4
AGS,OH,788,19.56,18.73,2.92,3.45,5
AGS,OO,217,20.99,14.54,1.38,4.88,6
AGS,AA,10,34.2,32.6,0.00,18.09,7
AKN,AS,71,-7.27,-4.86,1.41,0.0,1
ALB,MQ,81,3.21,2.48,0.00,-10.46,1
ALB,9E,492,6.66,-3.56,3.25,-7.01,2
ALB,OO,378,8.23,5.24,0.26,-5.44,3
ALB,YX,156,8.43,5.07,1.92,-5.24,4
ALB,UA,361,8.66,6.47,1.66,-5.01,5
ALB,WN,1768,11.6,4.34,0.96,-2.07,6
ALB,DL,600,14.39,6.2,1.33,0.72,7
ALB,OH,553,15.15,13.25,3.44,1.48,8
ALB,AA,688,20.5,16.25,0.87,6.83,9
ALB,B6,363,21.1,17.04,1.38,7.43,10
ALB,G4,255,29.15,21.65,1.57,15.48,11
ALW,OO,272,-0.03,2.28,3.31,0.0,1
AMA,MQ,1063,8.36,5.85,1.79,-1.12,1
AMA,WN,970,8.91,3.17,0.82,-0.57,2
AMA,AA,92,9.2,9.24,1.09,-0.28,3
AMA,OO,415,13.75,11.91,1.93,4.27,4
ANC,AS,6980,4.39,2.1,1.60,-2.58,1
ANC,UA,584,11.93,3.63,2.57,4.96,2
ANC,DL,1060,14.93,7.67,0.85,7.96,3
ANC,AA,216,37.42,27.94,0.46,30.45,4
APN,OO,306,19.15,13.82,2.61,0.0,1
ASE,OO,3734,28.92,24.66,6.99,0.0,1
ATL,9E,13533,6.64,2.46,1.09,-4.37,1
ATL,YX,595,7.79,5.86,1.68,-3.22,2
ATL,DL,113196,9.28,5.55,0.89,-1.73,3
ATL,AS,646,10.4,6.96,2.32,-0.61,4
ATL,WN,16668,12.46,6.43,0.70,1.45,5
ATL,MQ,337,12.93,10.66,1.48,1.92,6
ATL,UA,3599,13.1,8.23,2.00,2.09,7
ATL,OH,1150,18.67,15.78,1.74,7.66,8
ATL,AA,3748,19.48,15.58,2.03,8.47,9
ATL,OO,4051,20.42,16.97,0.81,9.41,10
ATL,NK,5046,20.43,14.02,1.94,9.42,11
ATL,B6,1499,22.15,17.92,1.33,11.14,12
ATL,F9,5792,25.77,21.86,2.71,14.76,13
ATW,G4,569,8.71,3.93,2.64,-9.67,1
ATW,9E,81,12.59,12.58,0.00,-5.79,2
ATW,DL,176,14.59,7.39,0.57,-3.79,3
ATW,MQ,361,18.31,12.43,1.66,-0.07,4
ATW,OO,1848,21.99,18.79,2.38,3.61,5
AUS,YX,57,0.98,-1.25,0.00,-13.59,1
AUS,AS,1402,10.62,8.09,2.71,-3.95,2
AUS,WN,18698,12.07,5.98,0.63,-2.5,3
AUS,UA,4666,12.07,6.71,1.29,-2.5,3
AUS,MQ,1127,14.54,12.8,1.51,-0.03,5
AUS,DL,5450,14.85,8.15,0.84,0.28,6
AUS,9E,189,15.02,14.71,0.53,0.45,7
AUS,OH,12,18.75,12.17,0.00,4.18,8
AUS,F9,345,19.05,15.88,2.32,4.48,9
AUS,AA,6757,19.48,16.5,1.72,4.91,10
AUS,OO,1824,21.34,17.14,0.38,6.77,11
AUS,G4,542,22.45,19.15,2.03,7.88,12
AUS,NK,545,22.94,16.14,2.39,8.37,13
AUS,HA,82,23.35,27.22,1.22,8.78,14
AUS,B6,359,33.82,26.67,0.84,19.25,15
AVL,YX,560,8.11,3.46,4.64,-9.3,1
AVL,UA,109,8.85,3.05,3.67,-8.56,2
AVL,OH,1003,10.22,10.76,2.39,-7.19,3
AVL,DL,1077,13.98,5.55,2.79,-3.43,4
AVL,9E,308,14.88,7.12,2.60,-2.53,5
AVL,OO,335,20.61,20.03,4.48,3.2,6
AVL,G4,1577,20.92,17.55,3.36,3.51,7
AVL,MQ,576,24.1,22.69,1.91,6.69,8
AVL,B6,33,24.53,24.25,3.03,7.12,9
AVL,AA,233,49.74,44.28,8.58,32.33,10
AVP,OO,15,1.07,-1.53,0.00,-18.35,1
AVP,OH,109,15.55,3.12,1.83,-3.87,2
AVP,MQ,214,17.41,13.24,0.47,-2.01,3
