aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardo_alto,cause_maggiori
ABE,3,155,17,10,['Late Aircraft (1171 min)', 'NAS (515 min)', 'Carrier (201 min)']
ABE,4,127,11,9,['Carrier (943 min)', 'NAS (534 min)', 'Late Aircraft (259 min)']
ABI,8,68,6,1,['Late Aircraft (158 min)', 'NAS (74 min)', 'Carrier (53 min)']
ABI,11,60,3,5,['Weather (235 min)', 'Carrier (208 min)', 'Late Aircraft (165 min)']
ABQ,10,1042,101,40,['Late Aircraft (3338 min)', 'Carrier (2911 min)', 'NAS (1258 min)']
ABQ,11,876,89,42,['Late Aircraft (4222 min)', 'NAS (2878 min)', 'Carrier (1731 min)']
ABR,1,23,4,3,['Weather (302 min)', 'Carrier (98 min)', 'NAS (8 min)']
ABR,2,17,1,1,['Weather (545 min)', 'Carrier (31 min)', 'NAS (0 min)']
ABR,3,13,2,5,['Carrier (581 min)', 'Weather (212 min)', 'NAS (0 min)']
ABR,4,32,1,2,['Weather (344 min)', 'Carrier (184 min)', 'NAS (0 min)']
ABR,7,26,4,4,['Carrier (344 min)', 'NAS (126 min)', 'Weather (42 min)']
ABY,1,25,3,3,['Carrier (1117 min)', 'Weather (324 min)', 'NAS (9 min)']
ABY,7,16,3,6,['Carrier (1307 min)', 'Weather (261 min)', 'NAS (67 min)']
ABY,12,23,1,2,['Carrier (268 min)', 'Weather (153 min)', 'NAS (4 min)']
ACK,8,161,17,29,['Late Aircraft (3104 min)', 'NAS (1439 min)', 'Carrier (1175 min)']
ACT,4,42,5,2,['Weather (187 min)', 'Carrier (105 min)', 'Late Aircraft (84 min)']
ACT,8,37,5,2,['Late Aircraft (221 min)', 'Carrier (109 min)', 'NAS (86 min)']
ACT,12,27,5,8,['Carrier (1033 min)', 'Weather (212 min)', 'NAS (109 min)']
ACV,3,49,12,6,['NAS (520 min)', 'Carrier (203 min)', 'Late Aircraft (162 min)']
ACV,8,66,9,5,['Weather (512 min)', 'Late Aircraft (453 min)', 'Carrier (335 min)']
ACY,2,112,12,6,['NAS (742 min)', 'Carrier (326 min)', 'Late Aircraft (317 min)']
ACY,6,91,16,17,['Carrier (1185 min)', 'NAS (1064 min)', 'Late Aircraft (421 min)']
ACY,7,93,18,9,['Late Aircraft (985 min)', 'Carrier (724 min)', 'NAS (385 min)']
ACY,10,69,9,3,['Late Aircraft (311 min)', 'Carrier (215 min)', 'NAS (121 min)']
ADK,6,3,0,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
ADK,7,3,1,0,['Security (18 min)', 'NAS (4 min)', 'Carrier (0 min)']
