aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
ABE,9E,90,6.08,0.72,0.0,-6.43,1
ABE,G4,173,10.38,4.92,0.58,-2.13,2
ABE,OH,90,17.09,7.58,0.0,4.58,3
ABE,OO,19,48.13,43.8,21.05,35.62,4
ABI,MQ,156,8.28,5.9,1.92,0.0,1
ABQ,DL,144,-1.51,-8.35,0.0,-9.78,1
ABQ,OO,401,1.7,-1.86,0.25,-6.57,2
ABQ,MQ,85,3.23,2.06,1.18,-5.04,3
ABQ,AS,39,3.36,1.05,0.0,-4.91,4
ABQ,UA,197,5.84,1.6,0.51,-2.43,5
ABQ,WN,1168,10.14,3.96,0.6,1.87,6
ABQ,AA,291,15.42,12.73,1.03,7.15,7
ABQ,NK,56,18.48,13.7,0.0,10.21,8
ABQ,B6,23,22.22,19.35,0.0,13.95,9
ABR,OO,53,33.57,26.17,0.0,0.0,1
ABY,OO,84,5.96,6.82,1.19,-3.62,1
ABY,9E,2,159.5,147.0,0.0,149.92,2
ACK,OO,4,1.0,-16.67,25.0,-8.11,1
ACK,B6,97,6.15,2.91,1.03,-2.96,2
ACK,YX,56,15.0,16.76,12.5,5.89,3
ACK,MQ,3,15.67,22.67,0.0,6.56,4
ACT,MQ,35,10.42,9.36,5.71,-2.93,1
ACT,OO,74,14.69,15.94,2.7,1.34,2
ACV,OO,176,14.9,11.97,0.57,0.0,1
ACY,NK,312,9.57,2.9,0.96,0.0,1
ADK,AS,8,17.88,14.25,0.0,0.0,1
ADQ,AS,78,5.76,4.12,2.56,0.0,1
AEX,MQ,3,-2.33,2.33,0.0,-9.35,1
AEX,9E,69,1.84,-4.38,0.0,-5.18,2
AEX,OO,94,11.36,9.48,5.32,4.34,3
AGS,AA,2,-3.0,-3.0,0.0,-21.84,1
AGS,DL,17,-0.35,-7.94,0.0,-19.19,2
AGS,YX,5,12.4,4.6,0.0,-6.44,3
AGS,9E,160,14.18,8.52,1.88,-4.66,4
AGS,MQ,23,19.78,14.96,0.0,0.94,5
AGS,OH,152,22.09,20.39,2.63,3.25,6
AGS,OO,34,37.97,30.67,2.94,19.13,7
AKN,AS,12,-3.17,0.42,0.0,0.0,1
ALB,MQ,19,-0.63,-2.21,0.0,-14.52,1
ALB,YX,32,1.91,-4.63,0.0,-11.98,2
ALB,9E,81,4.91,-2.43,4.94,-8.98,3
ALB,OH,107,8.83,8.51,6.54,-5.06,4
ALB,WN,369,10.0,2.21,1.36,-3.89,5
ALB,UA,83,15.72,14.15,2.41,1.83,6
ALB,DL,108,17.66,8.77,1.85,3.77,7
ALB,B6,73,18.06,12.22,4.11,4.17,8
ALB,OO,76,21.46,19.11,0.0,7.57,9
ALB,G4,52,21.59,12.39,1.92,7.7,10
ALB,AA,128,25.4,22.73,0.78,11.51,11
ALW,OO,50,0.16,3.08,2.0,0.0,1
AMA,WN,203,6.34,0.3,0.99,-2.37,1
AMA,MQ,234,8.75,6.49,1.71,0.04,2
AMA,OO,90,12.66,9.15,1.11,3.95,3
AMA,AA,15,16.4,15.73,0.0,7.69,4
ANC,AS,1425,5.87,3.4,1.96,-2.08,1
ANC,UA,109,12.61,2.58,1.83,4.66,2
