aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardo_alto,cause_maggiori
ABE,3,41,5,1,['Late Aircraft (120 min)', 'Carrier (20 min)', 'Weather (12 min)']
ABE,4,18,1,1,['NAS (289 min)', 'Late Aircraft (36 min)', 'Carrier (2 min)']
ABI,8,11,2,0,['Late Aircraft (53 min)', 'Carrier (2 min)', 'Weather (0 min)']
ABI,11,9,0,1,['Weather (111 min)', 'Late Aircraft (28 min)', 'NAS (4 min)']
ABQ,10,234,19,4,['Security (513 min)', 'Late Aircraft (367 min)', 'Carrier (281 min)']
ABQ,11,168,14,11,['Late Aircraft (1251 min)', 'NAS (886 min)', 'Carrier (370 min)']
ABR,1,4,1,0,['Carrier (15 min)', 'Weather (0 min)', 'NAS (0 min)']
ABR,2,3,1,0,['Carrier (31 min)', 'Weather (0 min)', 'NAS (0 min)']
ABR,3,4,1,1,['Carrier (32 min)', 'Weather (0 min)', 'NAS (0 min)']
ABR,4,2,0,1,['Weather (344 min)', 'Carrier (0 min)', 'NAS (0 min)']
ABR,7,3,0,1,['Carrier (125 min)', 'Weather (0 min)', 'NAS (0 min)']
ABY,1,5,0,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
ABY,7,5,1,2,['Carrier (405 min)', 'Weather (62 min)', 'NAS (18 min)']
ABY,12,5,0,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
ACK,8,28,6,6,['Late Aircraft (626 min)', 'NAS (428 min)', 'Carrier (284 min)']
ACT,4,6,0,0,['NAS (42 min)', 'Carrier (0 min)', 'Weather (0 min)']
ACT,8,3,1,1,['Late Aircraft (70 min)', 'Carrier (39 min)', 'NAS (17 min)']
ACT,12,6,0,1,['Carrier (186 min)', 'Weather (0 min)', 'NAS (0 min)']
ACV,3,12,2,1,['Late Aircraft (80 min)', 'NAS (31 min)', 'Carrier (0 min)']
ACV,8,10,3,0,['NAS (51 min)', 'Late Aircraft (48 min)', 'Weather (10 min)']
ACY,2,17,3,1,['NAS (281 min)', 'Late Aircraft (26 min)', 'Carrier (0 min)']
ACY,6,19,6,0,['NAS (69 min)', 'Carrier (44 min)', 'Weather (14 min)']
ACY,7,26,4,3,['Late Aircraft (318 min)', 'Carrier (92 min)', 'NAS (62 min)']
ACY,10,15,2,1,['Late Aircraft (193 min)', 'NAS (69 min)', 'Carrier (6 min)']
ADK,7,1,0,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
ADQ,2,4,0,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
ADQ,3,5,2,0,['Late Aircraft (29 min)', 'Carrier (0 min)', 'Weather (0 min)']
ADQ,11,2,1,1,['Carrier (782 min)', 'Security (38 min)', 'Weather (0 min)']
ADQ,12,4,1,0,['Carrier (17 min)', 'Weather (0 min)', 'NAS (0 min)']
AEX,6,8,0,1,['Late Aircraft (82 min)', 'NAS (17 min)', 'Carrier (11 min)']
AEX,8,14,1,0,['Weather (0 min)', 'NAS (0 min)', 'Carrier (38 min)']
AEX,11,16,1,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
AGS,1,9,4,5,['Carrier (376 min)', 'Late Aircraft (300 min)', 'Weather (66 min)']
AGS,4,40,4,1,['Late Aircraft (258 min)', 'NAS (60 min)', 'Carrier (0 min)']
AGS,5,25,2,5,['Carrier (696 min)', 'Late Aircraft (117 min)', 'NAS (97 min)']
AKN,5,1,0,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
ALB,6,67,15,7,['Late Aircraft (882 min)', 'Carrier (237 min)', 'NAS (235 min)']
ALB,10,90,14,3,['Carrier (323 min)', 'Late Aircraft (127 min)', 'Weather (120 min)']
ALB,12,67,19,8,['Carrier (921 min)', 'Late Aircraft (514 min)', 'NAS (219 min)']
ALW,2,5,0,0,['NAS (15 min)', 'Carrier (0 min)', 'Weather (0 min)']
ALW,4,9,0,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
AMA,2,43,4,0,['Carrier (79 min)', 'NAS (70 min)', 'Weather (62 min)']
AMA,6,39,7,3,['Late Aircraft (323 min)', 'Weather (191 min)', 'NAS (42 min)']
AMA,11,41,2,0,['Carrier (35 min)', 'NAS (25 min)', 'Late Aircraft (15 min)']
ANC,2,105,10,4,['Late Aircraft (356 min)', 'Carrier (188 min)', 'NAS (179 min)']
ANC,3,84,24,6,['Carrier (559 min)', 'Late Aircraft (450 min)', 'NAS (136 min)']
ANC,8,166,27,10,['Carrier (1280 min)', 'Late Aircraft (538 min)', 'NAS (107 min)']
ANC,10,123,9,5,['Weather (527 min)', 'Late Aircraft (466 min)', 'Carrier (395 min)']
ANC,11,82,15,4,['Carrier (343 min)', 'Late Aircraft (194 min)', 'NAS (142 min)']
APN,2,2,1,1,['Weather (139 min)', 'NAS (55 min)', 'Carrier (0 min)']
APN,6,3,0,2,['Weather (571 min)', 'Carrier (0 min)', 'NAS (0 min)']
APN,7,4,1,1,['Carrier (262 min)', 'NAS (2 min)', 'Weather (0 min)']
APN,11,5,0,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
ASE,1,48,20,7,['Weather (1401 min)', 'Late Aircraft (546 min)', 'NAS (247 min)']
ASE,3,38,26,12,['Late Aircraft (1861 min)', 'Weather (744 min)', 'Carrier (498 min)']
ASE,7,54,14,4,['Late Aircraft (464 min)', 'Weather (367 min)', 'NAS (300 min)']
ATL,8,2292,396,168,['Carrier (15661 min)', 'Late Aircraft (9567 min)', 'NAS (7810 min)']
ATL,11,2436,283,104,['Carrier (10914 min)', 'NAS (5702 min)', 'Late Aircraft (5017 min)']
ATW,5,35,4,5,['Carrier (565 min)', 'NAS (325 min)', 'Late Aircraft (134 min)']
ATW,11,39,4,5,['Weather (715 min)', 'Carrier (166 min)', 'Late Aircraft (160 min)']
AUS,6,520,153,69,['Late Aircraft (7110 min)', 'Carrier (3689 min)', 'NAS (1624 min)']
AUS,11,524,83,29,['Late Aircraft (2918 min)', 'Carrier (1511 min)', 'NAS (1251 min)']
AVL,2,62,4,2,['Carrier (1220 min)', 'Late Aircraft (273 min)', 'NAS (78 min)']
AVP,1,6,1,0,['NAS (45 min)', 'Carrier (28 min)', 'Weather (0 min)']
AVP,5,13,3,4,['Late Aircraft (420 min)', 'Carrier (237 min)', 'NAS (124 min)']
AVP,6,10,1,1,['Late Aircraft (95 min)', 'NAS (19 min)', 'Weather (9 min)']
AVP,8,11,1,2,['Late Aircraft (254 min)', 'NAS (40 min)', 'Security (18 min)']
AVP,10,8,2,1,['Late Aircraft (123 min)', 'NAS (64 min)', 'Carrier (0 min)']
AVP,11,14,1,1,['Late Aircraft (88 min)', 'Weather (21 min)', 'NAS (10 min)']
AZA,5,45,6,0,['NAS (67 min)', 'Carrier (58 min)', 'Late Aircraft (41 min)']
AZA,6,30,2,6,['Carrier (354 min)', 'Late Aircraft (126 min)', 'Weather (81 min)']
AZA,9,28,5,3,['Carrier (331 min)', 'Late Aircraft (42 min)', 'NAS (3 min)']
