aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
ACK,6,55,9,9,"['Carrier (804 min)', 'Late Aircraft (606 min)', 'NAS (307 min)']"
ACK,7,78,16,9,"['NAS (834 min)', 'Carrier (830 min)', 'Late Aircraft (566 min)']"
ACK,8,80,10,14,"['Late Aircraft (1572 min)', 'NAS (685 min)', 'Carrier (370 min)']"
ACK,9,45,2,2,"['Late Aircraft (240 min)', 'NAS (100 min)', 'Carrier (19 min)']"
ACK,10,9,2,0,"['Late Aircraft (39 min)', 'Carrier (0 min)', 'Weather (0 min)']"
ACT,1,18,2,3,"['Carrier (654 min)', 'Weather (105 min)', 'Late Aircraft (42 min)']"
ACT,2,21,0,3,"['Carrier (152 min)', 'Late Aircraft (65 min)', 'NAS (62 min)']"
ACT,3,17,3,1,"['NAS (114 min)', 'Late Aircraft (75 min)', 'Carrier (5 min)']"
ACT,4,22,2,0,"['NAS (52 min)', 'Carrier (45 min)', 'Late Aircraft (25 min)']"
ACT,5,17,0,0,"['NAS (138 min)', 'Late Aircraft (11 min)', 'Carrier (0 min)']"
ACT,6,16,2,5,"['Carrier (439 min)', 'Late Aircraft (146 min)', 'NAS (52 min)']"
ACT,7,18,2,6,"['Carrier (931 min)', 'Late Aircraft (67 min)', 'NAS (15 min)']"
ACT,8,17,3,1,"['Late Aircraft (106 min)', 'NAS (70 min)', 'Carrier (39 min)']"
ACT,9,22,1,2,"['Carrier (380 min)', 'NAS (66 min)', 'Weather (30 min)']"
ACT,10,12,8,4,"['Carrier (503 min)', 'Late Aircraft (126 min)', 'NAS (37 min)']"
ACT,11,23,1,2,"['Late Aircraft (406 min)', 'Carrier (55 min)', 'Weather (0 min)']"
ACT,12,14,2,4,"['Carrier (600 min)', 'NAS (41 min)', 'Weather (0 min)']"
ACV,1,26,4,7,"['Carrier (1208 min)', 'Weather (516 min)', 'Late Aircraft (252 min)']"
ACV,2,24,1,2,"['Late Aircraft (992 min)', 'NAS (114 min)', 'Carrier (108 min)']"
ACV,3,25,3,1,"['Late Aircraft (80 min)', 'NAS (31 min)', 'Carrier (0 min)']"
ACV,4,19,2,3,"['Weather (125 min)', 'Late Aircraft (112 min)', 'Carrier (106 min)']"
ACV,5,22,6,3,"['NAS (491 min)', 'Late Aircraft (140 min)', 'Carrier (61 min)']"
ACV,6,28,2,1,"['Carrier (335 min)', 'NAS (83 min)', 'Weather (0 min)']"
ACV,7,37,3,3,"['Carrier (400 min)', 'Late Aircraft (397 min)', 'Weather (161 min)']"
ACV,8,30,5,2,"['Carrier (273 min)', 'NAS (141 min)', 'Late Aircraft (48 min)']"
ACV,9,23,3,4,"['Carrier (426 min)', 'Late Aircraft (401 min)', 'Weather (256 min)']"
ACV,10,38,5,6,"['Weather (390 min)', 'Late Aircraft (342 min)', 'NAS (150 min)']"
ACV,11,34,3,3,"['Weather (258 min)', 'Carrier (241 min)', 'NAS (124 min)']"
ACV,12,39,3,1,"['NAS (91 min)', 'Weather (63 min)', 'Carrier (35 min)']"
ACY,1,58,3,3,"['NAS (288 min)', 'Carrier (186 min)', 'Late Aircraft (172 min)']"
ACY,2,59,7,4,"['NAS (429 min)', 'Late Aircraft (238 min)', 'Carrier (59 min)']"
ACY,3,48,24,12,"['NAS (1135 min)', 'Late Aircraft (751 min)', 'Carrier (663 min)']"
ACY,4,71,7,3,"['NAS (176 min)', 'Carrier (156 min)', 'Late Aircraft (96 min)']"
