ac.aeroporto_partenza,ac.compagnia,ac.numero_voli,ac.ritardo_medio_partenza,ac.ritardo_medio_arrivo,ac.tasso_cancellazione,differenza,classifica
ABE,9E,935,10.88,3.93,1.50,-3.45,1
ABE,G4,1631,11.05,5.62,1.84,-3.28,2
ABE,OH,999,17.1,8.23,1.50,2.77,3
ABE,OO,283,35.3,29.38,4.24,20.97,4
ABI,MQ,1756,7.27,4.43,0.85,0.0,1
ABQ,DL,1500,2.15,-4.69,0.93,-7.15,1
ABQ,OO,3912,2.31,-1.41,0.46,-6.99,2
ABQ,MQ,901,5.36,3.51,0.67,-3.94,3
ABQ,UA,1806,5.63,-0.03,1.05,-3.67,4
ABQ,AS,409,9.11,5.93,0.98,-0.19,5
ABQ,NK,518,9.43,5.78,1.16,0.13,6
ABQ,WN,11576,10.52,4.46,0.53,1.22,7
ABQ,AA,2994,17.44,14.93,2.10,8.14,8
ABQ,B6,249,50.43,47.05,2.01,41.13,9
ABR,OO,683,21.03,13.69,0.88,0.0,1
ABY,9E,36,10.86,6.36,0.00,-6.57,1
ABY,OO,724,17.76,16.73,0.97,0.33,2
ACK,B6,976,12.61,9.84,4.00,-1.64,1
ACK,YX,602,15.91,16.75,8.64,1.66,2
ACK,MQ,22,21.82,22.68,0.00,7.57,3
ACK,OO,25,33.46,22.63,4.00,19.21,4
ACT,OO,750,14.17,14.08,2.67,-1.36,1
ACT,MQ,336,18.56,18.17,2.08,3.03,2
ACV,OO,1720,19.25,17.63,1.92,0.0,1
ACY,NK,2891,10.04,3.89,1.94,0.0,1
ADK,AS,75,9.27,8.6,10.67,0.0,1
ADQ,AS,804,3.05,1.86,2.11,0.0,1
AEX,9E,871,14.78,9.95,1.03,-2.61,1
AEX,OO,1023,18.91,15.08,2.35,1.52,2
AEX,MQ,33,39.67,39.12,0.00,22.28,3
AGS,MQ,189,8.36,0.96,2.65,-8.65,1
AGS,YX,29,11.21,1.61,0.00,-5.8,2
AGS,9E,1595,12.57,7.17,2.07,-4.44,3
AGS,DL,168,17.85,12.74,0.00,0.84,4
AGS,OH,1543,19.44,18.4,2.79,2.43,5
AGS,OO,428,27.53,21.13,1.17,10.52,6
AGS,AA,23,36.48,34.35,0.00,19.47,7
AKN,AS,169,-5.17,-1.71,0.59,0.0,1
ALB,MQ,175,3.4,3.3,0.00,-10.39,1
ALB,YX,307,4.07,0.5,1.63,-9.72,2
ALB,9E,1047,5.41,-3.14,2.01,-8.38,3
ALB,UA,698,6.81,4.92,1.29,-6.98,4
ALB,OO,776,10.89,7.2,0.26,-2.9,5
ALB,WN,3484,11.62,4.36,0.92,-2.17,6
ALB,DL,1270,14.65,6.35,1.50,0.86,7
ALB,AA,1381,19.69,14.4,0.87,5.9,8
ALB,OH,1069,19.88,18.33,3.37,6.09,9
ALB,B6,725,20.66,16.8,1.38,6.87,10
ALB,G4,519,28.61,21.24,1.54,14.82,11
ALW,OO,544,0.2,2.82,3.31,0.0,1
AMA,WN,1922,7.28,1.3,0.52,-2.19,1
AMA,MQ,2068,7.82,5.58,1.69,-1.65,2
AMA,OO,840,15.42,13.59,1.79,5.95,3
AMA,AA,204,22.81,22.09,2.45,13.34,4
ANC,AS,13950,4.03,1.89,1.67,-2.75,1
ANC,UA,1181,13.45,4.52,2.03,6.67,2
ANC,DL,2148,14.93,7.56,0.84,8.15,3
ANC,AA,452,34.74,24.85,0.44,27.96,4
APN,OO,601,17.57,11.93,3.33,0.0,1
ASE,OO,7424,28.49,24.29,6.95,0.0,1
ATL,9E,26818,6.63,2.54,1.09,-4.5,1
ATL,YX,1208,9.23,6.95,1.82,-1.9,2
ATL,DL,226308,9.31,5.59,0.87,-1.82,3
ATL,AS,1351,10.29,6.86,2.15,-0.84,4
ATL,WN,33311,12.67,6.67,0.66,1.54,5
ATL,UA,7168,13.46,8.55,1.67,2.33,6
ATL,MQ,656,15.85,13.48,1.98,4.72,7
ATL,OH,2393,18.19,15.53,1.67,7.06,8
ATL,AA,7552,20.6,16.93,1.76,9.47,9
ATL,NK,10069,20.66,13.97,1.73,9.53,10
ATL,OO,8216,20.94,17.68,0.77,9.81,11
ATL,B6,2969,22.95,18.36,1.58,11.82,12
ATL,F9,11445,25.88,21.93,2.54,14.75,13
ATW,9E,173,11.07,10.13,0.00,-6.31,1
ATW,G4,1114,11.53,7.36,2.33,-5.85,2
ATW,DL,308,11.92,4.83,0.97,-5.46,3
ATW,MQ,717,14.72,8.92,1.39,-2.66,4
ATW,OO,3581,20.52,17.58,2.12,3.14,5
AUS,YX,114,2.78,-1.38,0.00,-11.78,1
AUS,OH,23,10.65,2.78,0.00,-3.91,2
AUS,UA,9343,10.75,5.42,1.41,-3.81,3
AUS,AS,2765,11.69,9.48,2.64,-2.87,4
AUS,WN,37389,11.83,5.76,0.64,-2.73,5
AUS,MQ,2272,13.15,11.13,1.45,-1.41,6
AUS,DL,10857,14.86,8.17,0.86,0.3,7
AUS,9E,377,15.44,14.4,0.53,0.88,8
AUS,NK,1058,19.23,12.72,2.55,4.67,9
AUS,AA,13648,20.73,17.68,1.51,6.17,10
AUS,G4,1082,21.01,17.85,1.94,6.45,11
AUS,HA,163,22.07,27.23,0.61,7.51,12
AUS,OO,3609,22.31,18.33,0.33,7.75,13
AUS,F9,685,26.14,22.52,1.75,11.58,14
AUS,B6,760,32.94,24.9,1.05,18.38,15
AVL,YX,1075,8.88,4.44,4.65,-7.76,1
AVL,OH,2018,11.73,11.73,2.92,-4.91,2
AVL,9E,637,11.73,4.14,2.20,-4.91,2
AVL,UA,184,11.82,7.02,3.26,-4.82,4
AVL,DL,2180,13.35,5.07,2.61,-3.29,5
AVL,OO,699,17.24,15.4,4.15,0.6,6
AVL,G4,3210,18.49,15.39,3.21,1.85,7
AVL,MQ,1150,23.37,21.51,2.78,6.73,8
AVL,B6,81,26.38,25.41,1.23,9.74,9
AVL,AA,480,47.47,42.29,5.42,30.83,10
AVP,MQ,455,16.69,13.7,1.32,-3.36,1
AVP,AA,805,19.3,14.67,1.12,-0.75,2
AVP,OH,203,20.51,8.7,1.48,0.46,3
AVP,OO,38,76.0,66.83,5.26,55.95,4
AZA,G4,5610,5.25,0.72,0.75,0.0,1
AZO,9E,14,2.64,-2.93,0.00,-8.82,1
AZO,OO,976,11.59,6.29,1.64,0.13,2
BDL,YX,483,-0.58,-6.23,0.41,-13.85,1
BDL,MQ,531,6.11,3.75,1.51,-7.16,2
BDL,UA,2084,6.97,3.65,1.39,-6.3,3
BDL,9E,365,7.25,1.64,3.01,-6.02,4
BDL,DL,3875,8.09,1.04,0.83,-5.18,5
BDL,NK,579,9.85,7.11,1.90,-3.42,6
BDL,WN,4030,10.97,3.5,0.67,-2.3,7
BDL,AA,3846,16.1,11.62,1.69,2.83,8
BDL,B6,3060,17.77,12.64,1.50,4.5,9
BDL,OH,1417,18.18,13.86,2.68,4.91,10
BDL,OO,67,19.38,20.24,1.49,6.11,11
BDL,F9,940,40.9,38.31,3.19,27.63,12
BET,AS,725,8.47,12.1,1.10,0.0,1
BFF,OO,610,10.55,10.38,2.79,0.0,1
BFL,MQ,338,1.46,-4.22,0.30,-5.95,1
BFL,OO,1352,5.58,0.2,0.44,-1.83,2
BFL,AA,915,12.35,7.92,1.09,4.94,3
BGM,9E,341,14.0,10.74,3.52,0.0,1
BGR,9E,1154,3.74,-3.37,4.42,-10.27,1
